run	total_reads	[Bacteroides] pectinophilus group	[Clostridium] innocuum group	[Clostridium] methylpentosum group	[Eubacterium] brachy group	[Eubacterium] eligens group	[Eubacterium] ruminantium group	[Eubacterium] saphenum group	[Eubacterium] siraeum group	[Eubacterium] ventriosum group	Acetanaerobacterium	Acidaminococcus	Actinomyces	Acutalibacter	Adlercreutzia	Agathobacter	Agathobaculum	Akkermansia	Alistipes	Allisonella	Anaerobutyricum	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroplasma	Anaerosporomusa	Anaerostipes	Anaerotignum	Anaerotruncus	Anaerovorax	Angelakisella	Asaccharobacter	ASF356	Asteroleplasma	Aurantimonas	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachyspira	Butyricimonas	CAG-196	CAG-352	CAG-56	CAG-873	Caldicoprobacter	Campylobacter	Candidatus Soleaferrea	Caproiciproducens	Catenibacterium	Catenisphaera	CHKCI001	Christensenella	Christensenellaceae R-7 group	Citrobacter	Cloacibacillus	Clostridioides	Clostridium	Colidextribacter	Collinsella	Coprobacillus	Coprobacter	Coriobacteriaceae UCG-003	Corynebacterium	Cronobacter	Defluviitaleaceae UCG-011	Desulfovibrio	Dialister	Dielma	Dorea	DTU089	Eggerthella	Enhydrobacter	Enorma	Enterobacter	Enterocloster	Enterococcus	Enteroscipio	Eremococcus	Erysipelotrichaceae UCG-003	Erysipelotrichaceae UCG-006	Escherichia-Shigella	Eubacterium	Ezakiella	F0332	Faecalibacterium	Faecalicatena	Faecalitalea	Family XIII AD3011 group	Family XIII UCG-001	FD2005	Fenollaria	Finegoldia	Flavonifractor	Fournierella	Frisingicoccus	Fusicatenibacter	Fusobacterium	Gabonibacter	Gardnerella	GCA-900066755	Gemella	Gemmiger	Gordonibacter	Haemophilus	Harryflintia	Helicobacter	Holdemanella	Holdemania	Howardella	Hoylesella	HT002	Hungatella	Hydrogenoanaerobacterium	Intestinimonas	Klebsiella	Kosakonia	Lachnospira	Lachnospiraceae FCS020 group	Lachnospiraceae ND3007 group	Lachnospiraceae NK3A20 group	Lachnospiraceae UCG-003	Lachnospiraceae UCG-006	Lachnospiraceae UCG-010	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Leyella	Ligilactobacillus	Limosilactobacillus	Macellibacteroides	Marvinbryantia	Massiliomicrobiota	Massiliprevotella	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Methanobrevibacter	Mitsuokella	Mobiluncus	Mogibacterium	Monoglobus	Negativibacillus	Neisseria	Neoscardovia	NK4A214 group	Odoribacter	Oscillibacter	Oscillospira	Oxalobacter	Paeniclostridium	Paludicola	Papillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parolsenella	Parvimonas	Pectobacterium	Peptococcus	Peptoniphilus	Peptostreptococcus	Peribacillus	Phascolarctobacterium	Phocea	Phoenicibacter	Porphyromonas	Prevotellaceae UCG-001	Propionibacterium	Pseudobutyrivibrio	Pseudocitrobacter	Pseudoflavonifractor	Pseudomonas	Pseudoprevotella	Psychrobacter	Pyramidobacter	Ralstonia	Raoultella	Rikenella	Rikenellaceae RC9 gut group	Romboutsia	Roseateles	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	S5-A14a	Salmonella	Sarcina	Scardovia	Schaalia	Segatella	Sellimonas	Senegalimassilia	Serratia	Slackia	Sneathia	Solobacterium	Staphylococcus	Stomatobaculum	Streptococcus	Succiniclasticum	Succinivibrio	Sutterella	Synergistes	Thomasclavelia	TM7x	Tractidigestivibacter	Turicibacter	Tyzzerella	UCG-002	UCG-003	UCG-004	UCG-005	UCG-007	UCG-008	UCG-009	Unassigned	V9D2013 group	Varibaculum	Veillonella	Victivallis	Weissella	Zag_111
ERR2662893	337598	0	93	40	0	49	325	0	2611	23	0	0	0	5591	616	0	434	9	2703	15	15591	0	12	70	0	0	1819	0	33	409	17	0	64	33	0	10795	678	1419	500	31213	315	800	0	10	0	0	4	0	0	49	3298	0	0	23	13341	0	78	0	5881	1007	4962	0	11	52	0	0	64	8743	13	0	4301	113	10	0	0	0	48	0	0	0	311	45	4	0	0	0	4302	0	5	2192	188	64	1	0	1007	290	0	5988	15	0	0	0	0	7267	0	0	6	0	7354	8	74	0	0	148	0	164	0	0	8	168	781	0	462	291	183	63	0	0	8	0	0	3604	0	0	0	559	0	0	6002	48	0	1	61	1188	0	0	365	0	0	0	1995	539	481	56	136	9995	75	29	4596	354	49	276	7	0	15	0	4	0	11413	0	0	0	15	0	766	0	0	0	0	0	0	0	0	0	8569	0	7	0	0	25	345	271	0	0	0	0	17	31276	0	1342	0	547	0	0	0	0	12	0	11844	246	0	4	0	288	306	1	16680	308	221	1946	2	0	83	70473	0	0	0	6	0	468
ERR2662898	273628	0	196	0	62	1785	397	0	0	4	19	0	0	107	98	0	986	0	1948	465	4890	0	0	14	0	0	353	0	4	0	0	43	0	0	0	17256	483	5576	364	51294	0	0	0	0	0	2	0	0	27	13	16204	5	0	0	6	0	0	0	0	77	5558	7	260	0	0	0	0	0	2947	35	4233	7	8	0	0	0	3508	1137	0	0	739	0	862	0	0	0	21041	0	0	318	12	277	0	0	381	0	0	3305	0	0	0	0	3	0	0	22	0	170	15276	74	1	0	7	17	0	60	0	0	215	0	1942	0	359	0	0	13	0	0	18	0	0	0	0	0	0	0	33	2	10636	0	0	26	0	0	0	0	459	0	0	0	0	663	0	484	3	618	35	0	3160	0	0	0	0	0	0	0	10	0	63	0	0	0	0	0	61933	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	6693	21	0	110	0	0	13	6046	0	388	0	136	0	0	23	0	727	0	0	458	0	17	0	0	103	120	361	0	0	0	0	0	0	14771	0	0	0	0	13	0
ERR2662910	178190	0	0	0	0	539	5133	0	532	2119	0	0	0	466	1	0	1375	0	5922	0	1982	0	0	0	0	0	1030	0	20	26	7	0	0	184	0	16373	256	13131	436	8368	0	710	0	9078	0	2038	0	0	9	0	0	0	0	0	972	81	7	0	206	351	755	13	292	16	0	0	22	35	1179	0	1631	0	13	0	0	0	193	0	2	0	454	0	107	0	0	0	17199	0	0	142	22	0	0	0	235	258	0	3519	0	0	0	0	0	2649	24	35	0	0	0	10	0	0	0	3222	0	62	0	0	3662	38	1059	0	1505	0	23	0	0	0	36	1	0	0	2514	0	0	0	0	0	329	0	0	0	5	0	0	1	500	18	0	0	1756	371	100	77	0	1012	50	0	2531	1132	5	0	0	0	0	0	0	0	779	3	29	0	6788	0	1023	0	0	41	0	0	0	0	0	0	0	0	0	7275	0	0	1924	29	0	0	654	0	7	0	0	61	0	0	0	0	0	0	26	0	0	918	0	0	0	0	170	186	5132	230	0	932	0	2	34	31781	0	0	0	0	0	0
ERR2662911	424153	0	0	26	0	1422	14577	0	855	44	0	0	0	2315	0	0	5265	0	147	0	4888	0	0	0	0	0	726	0	25	276	0	190	40	0	0	14737	142	1178	0	34705	0	284	0	0	0	1392	0	0	6	6	5107	4091	0	6	3574	0	0	0	1042	1630	10541	0	28	0	0	0	71	1205	0	0	13772	41	0	0	0	0	372	0	0	0	408	0	0	0	0	0	27715	0	0	926	434	765	0	0	0	64	0	5364	0	24	0	0	0	0	0	0	6	0	4	22	442	0	3	50	0	102	0	0	1304	47	3136	868	3984	8124	0	0	0	0	8	0	0	0	21	0	0	223	5	3812	8693	0	0	0	7	0	0	5	1139	0	0	0	5983	263	134	166	85	22942	37	39	495	375	17	1252	0	0	1515	0	0	0	7147	0	0	0	1630	0	3069	0	0	0	0	0	0	0	5	0	15266	0	0	35748	5	0	8811	11	0	0	565	0	85	13978	0	754	0	2974	0	3432	0	0	368	0	144	404	0	0	0	524	497	7	8428	1218	10	2775	0	5	331	90228	0	0	0	0	0	0
ERR2662912	286679	0	0	14	0	1852	6629	0	1155	32	0	0	0	4306	0	0	1976	0	276	0	3415	0	12	0	0	0	404	0	11	681	4	52	22	0	0	5607	129	821	10	24511	0	100	0	0	0	3931	0	0	8	6	2084	3148	0	15	4402	2495	2	0	2598	1469	10854	0	13	0	0	0	35	1868	0	0	12310	44	0	0	0	0	149	0	0	0	196	0	6	0	0	0	17901	0	0	975	469	753	0	0	0	110	0	2960	0	24	0	0	0	316	0	7	30	0	0	29	309	0	0	58	0	94	0	0	872	81	2376	483	2442	1886	23	0	0	0	12	0	0	0	6	0	0	177	5	1366	3167	0	0	4	15	0	0	10	336	0	0	0	5919	110	254	193	51	21873	30	22	254	78	19	666	0	0	2118	0	0	0	5569	0	0	0	743	0	1633	0	0	0	0	0	0	0	317	0	6446	419	0	17382	0	0	1245	18	0	0	129	0	59	3539	0	540	0	812	0	1715	0	0	52	0	134	143	0	0	0	315	1044	10	7928	449	2	2956	0	10	222	66293	1	0	19	0	0	0
ERR2662913	353740	0	6	9	0	1817	8684	0	0	275	0	0	0	2526	0	0	3759	64	1133	0	18125	0	7	0	0	0	4908	0	11	170	0	0	237	0	0	16555	162	330	27	63050	0	77	10	0	0	146	0	39	19	0	14235	1701	0	19	2980	0	7	0	701	842	4157	0	189	0	0	0	59	31	0	0	14814	8	14	0	0	0	1087	0	0	0	3508	0	3443	0	0	0	24135	0	0	1026	487	640	19	0	75	45	0	7389	0	0	0	0	0	0	0	0	0	0	1	32	498	0	9	207	0	67	0	0	2720	44	2626	76	5399	299	50	64	0	25	40	0	0	0	9	23	0	193	0	139	7726	0	0	0	8	0	5	0	700	0	0	0	2349	273	104	363	18	7433	55	18	1378	478	6	317	0	0	1722	16	0	0	1821	0	0	0	138	0	3528	0	0	0	0	0	0	0	0	0	386	0	8	499	0	0	6524	49	0	0	0	0	19	889	0	638	0	1188	0	1828	1	0	880	0	6	755	0	0	0	72	912	15	12267	340	4	2428	0	9	249	79029	0	0	11	0	0	0
ERR2662914	215462	0	513	25	1	652	773	0	2147	60	0	0	0	1382	0	0	180	5146	2387	53	7980	12	2	28	0	0	1476	0	52	443	13	0	26	0	0	27785	444	2436	37	21379	0	535	0	2244	0	4057	4	0	208	12	0	95	0	20	10110	0	4	0	598	732	2355	0	65	0	0	0	82	1048	0	5	86	65	56	0	0	0	0	7	0	0	2069	0	3698	0	0	0	8554	0	0	1077	182	0	19	0	41	93	0	5101	0	45	4	0	0	1581	15	0	0	0	15272	31	420	8	0	0	21	174	0	0	466	33	197	0	669	4801	29	0	0	0	1	0	0	0	0	15	0	87	22	35	4851	0	0	12	27	0	0	158	113	0	0	0	6808	217	77	189	31	4441	69	31	713	0	87	0	14	0	989	18	10	0	1146	8	0	0	13	0	156	0	0	0	0	0	0	0	0	0	5696	0	0	0	0	0	5150	355	8	0	0	0	60	4	0	0	0	407	0	0	0	0	83	0	0	157	0	17	3	229	13	7	9791	410	33	3148	59	0	114	26958	0	0	2	0	0	0
ERR2662916	322131	669	0	0	2	441	2613	0	418	263	0	0	0	505	494	0	2030	1629	2263	0	4875	0	3	41	0	0	12016	0	45	481	22	6	20	142	0	49642	4284	20119	217	19848	0	519	456	269	0	0	0	0	8	0	0	0	0	9	14111	0	48	0	770	550	2249	0	128	0	0	0	107	152	80	0	1214	25	0	0	0	0	77	0	0	0	843	0	0	0	0	0	19163	0	0	262	147	2	0	0	281	390	0	8901	0	0	0	0	3	17383	0	15	0	0	4958	0	306	0	0	1469	70	182	0	0	191	65	2095	0	576	2012	44	1	0	5	0	0	0	0	5364	0	0	169	0	0	2575	0	0	0	30	0	0	0	1044	0	0	0	4580	887	192	44	46	636	102	26	685	0	878	0	0	0	52	0	0	0	2490	0	0	0	0	0	17465	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10023	42	0	0	12	0	18	0	0	376	0	186	0	0	0	4160	70	0	0	0	0	17	0	0	24	190	3039	243	31	1231	0	0	51	61883	1	0	44	0	0	0
ERR2662921	369519	0	46	6	101	135	14436	0	0	478	18	0	5	159	0	0	3264	6497	20469	0	18727	0	0	0	0	0	2925	0	54	0	0	0	221	0	0	73248	981	12252	996	46397	0	278	0	10579	0	0	0	0	28	83	0	0	0	0	1217	0	0	0	13	742	7414	0	990	0	0	33	150	129	184	0	2001	43	225	0	0	0	0	1321	226	0	3127	0	401	0	0	0	26051	0	0	135	123	0	0	0	373	0	0	1961	0	0	0	0	0	4751	0	138	34	0	0	77	0	0	0	9	0	225	24	0	3793	0	1218	0	1396	0	19	14	0	3	107	0	54	0	2	0	0	0	7	0	1732	0	0	24	1	0	0	0	549	75	0	0	30	2849	80	1061	20	1048	4	0	997	0	143	0	0	0	6	0	0	0	0	15	0	0	0	0	32156	0	0	0	0	0	0	0	0	0	0	0	0	12539	26	0	3004	53	0	389	407	0	22	0	0	0	0	0	0	0	0	0	1402	0	0	0	0	9	2	0	232	1137	5772	49	0	1700	0	0	13	30830	4	0	26	0	0	0
ERR2662925	174063	0	32	9	22	3283	2989	0	2835	188	2	0	0	153	0	0	1145	0	16	0	3489	0	0	6	0	0	1027	0	12	0	0	0	0	0	0	49229	4464	1515	192	12945	0	0	681	20	0	0	0	0	1	1	0	0	7	0	818	0	0	0	436	129	804	0	1	0	0	0	0	0	0	0	3160	59	32	0	0	0	0	0	0	0	1231	0	843	0	0	0	13754	494	0	85	118	0	0	0	11	0	0	6291	3	0	0	0	0	2987	20	128	0	0	0	20	2	0	0	0	0	13	0	0	1311	0	1226	0	1261	0	321	31	0	0	724	0	0	0	0	0	0	0	27	6151	14342	0	0	23	0	0	0	0	2304	27	0	0	672	476	0	79	0	2754	0	10	2388	0	578	0	0	0	15	0	0	0	702	0	0	0	0	0	316	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	1467	32	0	0	0	0	10	0	0	0	0	0	0	0	0	0	206	0	0	322	0	42	4	0	344	1122	1049	0	0	111	0	0	23	17871	0	0	14	0	0	0
