genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
Unassigned	Bacteria					13.5212
Bacteroides	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	10.4315
Blautia	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	10.0692
Faecalibacterium	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	7.3248
Bifidobacterium	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	3.3805
Pseudobutyrivibrio	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	3.294
Mediterraneibacter	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	2.4263
Roseburia	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	2.4125
Alistipes	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	2.3004
Collinsella	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	2.2287
Anaerobutyricum	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	2.2139
Holdemanella	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	2.1258
Christensenellaceae R-7 group	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	2.1238
Gemmiger	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	2.0654
Ruminococcus	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	2.0503
Fusicatenibacter	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	2.021
Anaerostipes	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	1.7902
UCG-002	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	1.7439
Dorea	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	1.4428
Segatella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	1.4271
[Eubacterium] ruminantium group	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	1.3455
Escherichia-Shigella	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1.3279
Catenibacterium	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	1.2661
Paeniclostridium	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	1.2244
CAG-352	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	1.1067
Parabacteroides	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	0.8501
Dialister	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	0.7964
Akkermansia	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	0.6605
Agathobaculum	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	0.6557
Rikenellaceae RC9 gut group	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	0.5944
