run	[Bacteroides] pectinophilus group	[Clostridium] innocuum group	[Clostridium] methylpentosum group	[Eubacterium] brachy group	[Eubacterium] eligens group	[Eubacterium] ruminantium group	[Eubacterium] siraeum group	[Eubacterium] ventriosum group	[Eubacterium] xylanophilum group	[Ruminococcus] gauvreauii group	[Ruminococcus] gnavus group	Achromobacter	Acidaminococcus	Acidovorax	Acinetobacter	Actinoallomurus	Actinobacillus	Actinomyces	Actinotignum	Acutalibacter	Adhaeribacter	Aeribacillus	Aerococcus	Aestuariimicrobium	Afipia	Agathobacter	Agathobaculum	Agrobacterium	Agrococcus	Akkermansia	Alicycliphilus	Alistipes	Alkanindiges	Allisonella	Alloscardovia	Amaricoccus	Aminicella	Aminobacter	Anaerobutyricum	Anaerococcus	Anaerofustis	Anaeroglobus	Anaerostipes	Anaerotignum	Anaerotruncus	Antarcticibacterium	Aquabacterium	Aquamonas	Aquicella	Arcanobacterium	Arcobacter	Arhodomonas	Asaccharobacter	Atopobium	Atopococcus	Atopostipes	Bacillus	Bacteroides	Barnesiella	Bergeyella	Berryella	Bifidobacterium	Bilophila	Blastococcus	Blautia	Bosea	Brachybacterium	Bradyrhizobium	Brevibacterium	Brevundimonas	Brucella	Burkholderia-Caballeronia-Paraburkholderia	Butyribacter	Butyricimonas	CAG-196	CAG-352	CAG-56	Caldicoprobacter	Caldimonas	Campylobacter	Candidatus Soleaferrea	Caproiciproducens	Catenibacillus	Catenibacterium	Catenisphaera	Caulobacter	Cellulomonas	CHKCI002	Christensenellaceae R-7 group	Chryseobacterium	Citricoccus	Citrobacter	Cloacibacillus	Cloacibacterium	Clostridium	Cohnella	Colidextribacter	Collinsella	Comamonas	Conyzicola	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Criibacterium	Crossiella	CSP1-2	Cupriavidus	Curvibacter	Cutibacterium	Dechloromonas	Defluviitaleaceae UCG-011	Deinococcus	Delftia	Dermabacter	Dermacoccus	Desulfovibrio	Dialister	Diaphorobacter	Dielma	Dorea	DTU089	Eggerthella	Eisenbergiella	Enhydrobacter	Enterobacillus	Enterobacter	Enterocloster	Enterococcus	Eremococcus	Erysipelotrichaceae UCG-003	Escherichia-Shigella	Eubacterium	Exiguobacterium	Extibacter	Ezakiella	Facklamia	Faecalibacterium	Faecalicoccus	Faecalimonas	Faecalitalea	Falsochrobactrum	Family XIII AD3011 group	Family XIII UCG-001	Fannyhessea	Fastidiosipila	Faucicola	Fenollaria	Ferrovibrio	Finegoldia	Flavimobilis	Flavobacterium	Flavonifractor	Fontibacillus	Fournierella	Frisingicoccus	Fusicatenibacter	Fusobacterium	Gabonibacter	Gardnerella	GCA-900066575	Gemella	Gemmiger	Geothermomicrobium	Gleimia	Glutamicibacter	Gordonia	Gordonibacter	Granulicatella	Haemophilus	Halomonas	Helcococcus	Herbaspirillum	Holdemanella	Holdemania	Howardella	Hoylesella	HT002	Hungatella	Hydrocarboniphaga	Hydrogenoanaerobacterium	Hydrogenophilus	Hymenobacter	Intestinibacter	Intestinimonas	Jeotgalicoccus	Jonquetella	Kallipyga	Kingella	Kinneretia	Klebsiella	Knoellia	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lachnospiraceae FCS020 group	Lachnospiraceae FE2018 group	Lachnospiraceae NC2004 group	Lachnospiraceae ND3007 group	Lachnospiraceae NK4A136 group	Lachnospiraceae UCG-004	Lachnospiraceae UCG-010	Lacticaseibacillus	Lactobacillus	Lactococcus	Latilactobacillus	Lawsonella	Leifsonia	Leyella	Ligilactobacillus	Limnobacter	Limosilactobacillus	Listeria	Luteimonas	Lysinibacillus	Mailhella	Marinococcus	Marmoricola	Marvinbryantia	Massilia	Massiliomicrobiota	Massiliprevotella	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Mesorhizobium	Metabacillus	Methanobrevibacter	Methanosphaera	Methylobacillus	Methylobacterium	Methylocella	Methylopila	Methylorubrum	Microbacterium	Microcella	Micrococcus	Microlunatus	Microvirga	Mitsuokella	MN 122.2a	Mobiluncus	Modestobacter	Mogibacterium	Monoglobus	Moraxella	Moryella	Mucilaginibacter	Murdochiella	Mycobacterium	Ndongobacter	Negativibacillus	Negativicoccus	Neomicrococcus	Nesterenkonia	Nitrobacter	Nitrosomonas	Nitrospirillum	NK4A214 group	Nocardioides	Nosocomiicoccus	Noviherbaspirillum	Novispirillum	Novosphingobium	Nubsella	Odoribacter	Oligella	Olsenella	Oribacterium	Oscillibacter	Oscillospira	Ottowia	Paenarthrobacter	Paeniglutamicibacter	Paludicola	Pandoraea	Pantoea	Parabacteroides	Paracoccus	Paraprevotella	Parasutterella	Parvimonas	Patulibacter	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Phocaeicola	Phyllobacterium	Pleomorphomonas	Pleurocapsa PCC-7319	Porphyromonas	Prevotella	Prevotellaceae NK3B31 group	Prevotellaceae UCG-001	Propionibacterium	Propioniciclava	Proteus	Pseudarthrobacter	Pseudoalteromonas	Pseudoclavibacter	Pseudoglutamicibacter	Pseudokineococcus	Pseudomonas	Pseudoxanthomonas	Psychrobacillus	Psychrobacter	Pygmaiobacter	Ralstonia	Rarimicrobium	Rathayibacter	Rhizobacter	Rhizobium	Rhizorhapis	Rhodococcus	Rhodocytophaga	Rickettsia	Rikenellaceae RC9 gut group	Robinsoniella	Romboutsia	Roseburia	Roseomonas	Rothia	Rouxiella	Rubellimicrobium	Ruminiclostridium	Ruminococcus	Ruthenibacterium	S5-A14a	Saccharibacillus	Saccharopolyspora	Salmonella	Salsuginibacillus	Schaalia	Segatella	Sellimonas	Senegalimassilia	SH-PL14	Shinella	Shuttleworthia	Slackia	Sneathia	Solirubrobacter	Solobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Sporocytophaga	Staphylococcus	Stenotrophomonas	Streptococcus	Streptomyces	Subdoligranulum	Succinatimonas	Succiniclasticum	Sutterella	Synergistes	Tepidimonas	Terrisporobacter	Tessaracoccus	Thermomonas	Thomasclavelia	Tissierella	Treponema	Trueperella	Tsuneonella	Tundrisphaera	Turicibacter	Tyzzerella	UCG-002	UCG-003	UCG-004	UCG-005	UCG-007	UCG-008	UCG-009	Unassigned	Varibaculum	Variovorax	Veillonella	Vibrio	Victivallis	Vulcaniibacterium	W5053	Weissella	Winkia	Youngiibacter	Zag_111
SRR31465417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.957265934191539	0	0	0	0	0	0	0	0	0	0	0	0	0.100012858796131	0	0	0.121444185681016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.307310939978	0	0	0	0.13001671643497	0	0	0	0	0	0	0	0.168593104827764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0528639396493835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.20924118815276	0	0	0	0	0	0	0	0	0	0.528639396493835	0	0	0	0	0	9.20546927462102	0	0	0	0	0	0	0	0	10.5685016644997	0	0	0	0	0	12.3644468574531	0	0	0	0	0	0	4.06766584275121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06312240145162	0	0	0	0	0	0	0	0	0	0	1.26159077595691	0.0828677972882228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181451900958695	0	0	0.0614364704033376	0	0	0	0	0	0	0	0.0342901230158163	0	0	0	0	0	0	0	0	0	0	0	0	3.06896600991556	0	0	0	0	0	0	0.00142875512565901	0	1.78880141732508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.804389135746024	1.00441485333829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1244159963424	0	0	0	0	0	0	0	0	0	0	0	0.348616250660799	0	0	0	0	0	0	2.77178494377849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09156891600349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94323555885757	0	0	18.1223300138589	0	1.25301824520295	0	0	0	0	0	0	1.49162035118801	0	0	3.03038962152277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68878855852895	0	0	0	0	0	0	0	0	0	0	0
SRR31465420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00160369491307974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.705625761755084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56180640195009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00641477965231894	0	0	0	0	0	0	45.153633972673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40695362114311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.72320225800244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9026236448778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.538135865033	0	0	0	0	0	0	0	0	0	0	0
SRR31465418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020049321330473	0	0	0	0	0	0	0	0	0	0	0	0	2.35379032419753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.62383463319767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601479639914189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00601479639914189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30104055977705	0	0	0	0	0	0	40.2971309421176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.01401447561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00400986426609459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32046835214628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.74567435892295	7.85131423301321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05906530063957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288710227158811	0	10.0527297150991	0	0	0	0	0.0020049321330473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180443891974257	0	0	0	0	0	0	0	0	0	0	0
SRR31465422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57924309358523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.0690336108793	0	0	0	0	0	0	55.2899981677897	0	0	0	0	0	0.00407157834734635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.52427678589605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354227316219132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0488589401681562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0508947293418294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0793957777732538	0	0	0	0	0	0	0	0	0	0	0
SRR31465423	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82377738053947	14.7941623756036	0	0	0	0	0	0	0	0	0	0	0	0	1.95032149622475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.945225580961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58480296683653	0	5.54681038392786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237453643179211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416210880179291	0	0	0	0	3.02019689976255	1.26730876977669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69037645740509	0	0	0	0	0	0	7.13694938768976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08321549585123	0	0	0	0	0	1.52877457912009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73522584776287	0	0	0	0	0	0.0506923507910675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.4245617779675	0.120060830820949	1.95298951468744	0	0.0213441477015021	0	4.60499986659908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06453936661242	0	0	0	0	0	0	0	0	0	0	0
SRR31465425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.9590334824213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.0017641084125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00178192768937437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124734938256206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249469876512411	0	0	0	0	0	0	0	0	0	0	0
SRR31465427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10424111658014	0	0	0	0	0	0	0	0	0	2.00761917605017	0	0	0	0	0	16.4756253792731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.6025217449936	0	0	0	0	0	0	52.186298968377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00337131683635628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168565841817814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00168565841817814	0	0	0	0.564695570089677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0370844851999191	0	0	0	0	0	0	0	0	0	0	0
SRR31465419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25954198473282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37404580152672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267175572519084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86068702290076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93702290076336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68320610687023	0	0	32.2175572519084	0	0	1.20419847328244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72900763358779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00190839694656489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.02862595419847	39.662213740458	0	0	0.00190839694656489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133587786259542	0	0	0	0	0	0	0	0	0	0	0
SRR31465429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202786283535782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101393141767891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.3184353010362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23135887088597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00405572567071563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022306491188936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9227789832296	0.0608358850607345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33680773832458	0	0	0	0	0	0	0	0	0	0	0
SRR31465428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00500776203114828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48730532325104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.621229572504	0	3.84763049393226	0	0	0	10.1073330328676	0	0	0	0	0	0	0	0	0	0	22.7919942577662	0	0	0	0.00166925401038276	0	0	14.1619510240873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1036439815047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168594655048659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.24444555728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3459195085716	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333850802076552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0684394144256932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04149765469812	0	0	0	0	0	0	0	0	0	0	0
