run	total_reads	g__Acrocalymma	g__Alboefibula	g__Allium	g__Alternaria	g__Antrodiella	g__Arabidopsis	g__Arthrocatena	g__Aspergillus	g__Athelia	g__Aureobasidium	g__Auriporia	g__Basidiodendron	g__Bezerromyces	g__Blastobotrys	g__Brassica	g__Brevicellicium	g__Bullera	g__Butyrea	g__Calyptrozyma	g__Camptophora	g__Candida	g__Candolleomyces	g__Ceraceosorus	g__Ceratobasidiaceae_gen_Incertae_sedis	g__Cercozoa_gen_Incertae_sedis	g__Ceriporiopsis	g__Chaetasbolisia	g__Chlorococcum	g__Choanephora	g__Ciboria	g__Cladosporium	g__Clitopilus	g__Conidiobolus	g__Coniothyrium	g__Coprinellus	g__Coprinopsis	g__Coronicium	g__Cryptococcus	g__Cucurbita	g__Cucurbitaceae_gen_Incertae_sedis	g__Curvularia	g__Cutaneotrichosporon	g__Cystobasidiomycetes_gen_Incertae_sedis	g__Cystobasidium	g__Cystofilobasidium	g__Daucus	g__Debaryomyces	g__Debaryomycetaceae_gen_Incertae_sedis	g__Diaporthe	g__Didymella	g__Didymocyrtis	g__Dioszegia	g__Dysphania	g__Ectophoma	g__Efibulobasidium	g__Eichleriella	g__Eidernor	g__Elmerina	g__Elymus	g__Emericellopsis	g__Enterocarpus	g__Epicoccum	g__Eremothecium	g__Erythrobasidium	g__Exidia	g__Exobasidium	g__Exophiala	g__Filobasidium	g__Fomitopsis	g__Fusarium	g__Fuscoporia	g__Ganoderma	g__Gloeophyllum	g__Glycine	g__GS13_gen_Incertae_sedis	g__Gymnopus	g__Hannaella	g__Hansfordia	g__Hericiaceae_gen_Incertae_sedis	g__Holtermannia	g__Hormonema	g__Humicola	g__Hydrangea	g__Hyphoderma	g__Hyphodermataceae_gen_Incertae_sedis	g__Hyphodontia	g__Hypochnicium	g__Indigofera	g__Irpex	g__Irpicaceae_gen_Incertae_sedis	g__Jumillera	g__Kazachstania	g__Knufia	g__Kurtzmaniella	g__Lasiobolidium	g__Lasiobolus	g__Lentinula	g__Lentitheciaceae_gen_Incertae_sedis	g__Lenzites	g__Leptospora	g__Leucosporidium	g__Limtongozyma	g__Linnemannia	g__Lophiostoma	g__Malassezia	g__Maudiozyma	g__Meiorganum	g__Melampsora	g__Meyerozyma	g__Moesziomyces	g__Mortierella	g__Morus	g__Mrakia	g__Mucor	g__Mucronella	g__Musa	g__Mycoaciella	g__Myxarium	g__Naganishia	g__Neoascochyta	g__Neocucurbitaria	g__Neosetophoma	g__Neurospora	g__Nigrograna	g__Nigroporus	g__Nigrospora	g__Nothophoma	g__Odontoefibula	g__Oligophagozyma	g__Oliveonia	g__Omphalotaceae_gen_Incertae_sedis	g__Ophiognomonia	g__Ophiosphaerella	g__Panellus	g__Papiliotrema	g__Paraphoma	g__Parasarocladium	g__Penicillium	g__Peniophora	g__Peniophorella	g__Perenniporia	g__Periconia	g__Peziza	g__Phaeococcomyces	g__Phaeosphaeria	g__Phallus	g__Phanerochaete	g__Phlebia	g__Phlebiopsis	g__Physisporinus	g__Pichia	g__Plantago	g__Pleurotaceae_gen_Incertae_sedis	g__Pleurotus	g__Pluteus	g__Porostereum	g__Prunus	g__Pseudomicrostroma	g__Pseudopithomyces	g__Puccinia	g__Purpureodiscus	g__Pyxidiophora	g__Raphanus	g__Resinicium	g__Resupinatus	g__Retiarius	g__Rhizochaete	g__Rhizoctonia	g__Rhizopus	g__Rhodosporidiobolus	g__Rhodotorula	g__Rigidoporus	g__Russula	g__Saccharomyces	g__Sampaiozyma	g__Schizophyllum	g__Schwanniomyces	g__Scleroconidioma	g__Scopuloides	g__Septobasidium	g__Septoriella	g__Sertulicium	g__Sistotrema	g__Sistotremastrum	g__Skvortzovia	g__Solanum	g__Sporobolomyces	g__Stagonosporopsis	g__Starmera	g__Stemphylium	g__Stereaceae_gen_Incertae_sedis	g__Stereum	g__Streblotrichum	g__Strelitziana	g__Styphnolobium	g__Subulicystidium	g__Suillus	g__Symmetrospora	g__Tamamschjanella	g__Taphrina	g__Tausonia	g__Teichospora	g__Tilletia	g__Tilletiopsis	g__Torula	g__Toxicocladosporium	g__Trametes	g__Trechispora	g__Trichomerium	g__Trichomonascus	g__Trichosporon	g__Triticum	g__Tulasnella	g__Udeniomyces	g__Ustilaginales_gen_Incertae_sedis	g__Ustilaginoidea	g__Uwebraunia	g__Vishniacozyma	g__Waitea	g__Wallemia	g__Wickerhamomyces	g__Xenasmatella	g__Xenopyrenochaetopsis	g__Xeromyces	g__Xylodon	g__Zygoascus	g__Zygosaccharomyces	Unassigned
SRR11426356	3407	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	11	0	0	70	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	69	0	0	0	0	0	0	0	0	2864	0	0	0	0	0	9	0	0	89	0	0	0	0	32	0	0	0	18	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	13	0	0	0	0	0	0	0	46	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
SRR11426369	5221	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	18	29	0	0	0	89	0	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	61	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	9	214	0	0	10	0	0	0	0	0	0	0	0	3840	0	0	0	15	0	0	0	0	0	0	0	0	0	123	0	0	0	27	0	0	14	0	0	0	0	0	0	0	0	26	4	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	23	0	0	121	4	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	7	0	12	0	0	0	0	0	0	0	0	0	65	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	3	34
SRR11426371	14796	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	2	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	5	0	0	0	0	0	0	0	13637	0	0	0	0	0	57	0	0	166	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	41	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	9	0	0	0	0	14	0	0	0	0	0	0	0	128	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
SRR11426372	5924	0	0	13	6	0	7	0	15	0	0	0	0	0	0	0	0	3	0	0	0	814	0	0	0	15	0	0	0	0	0	18	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	30	58	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	21	85	0	0	0	0	0	0	0	0	3951	0	0	0	0	0	0	0	300	100	0	45	0	0	45	0	0	0	59	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	77	4	0	23	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
SRR11426373	1743	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	26	0	0	0	0	0	0	0	0	1355	0	0	0	0	0	9	0	0	34	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	92	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	25
SRR11426374	1472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	1231	0	0	0	0	0	11	0	0	11	0	0	0	0	8	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	5	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
SRR11426377	3886	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3781	0	0	0	0	0	0	0	0	14	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	13	0	0	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR11426379	1273	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	975	0	0	0	0	0	0	0	0	67	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
SRR11426383	18963	0	0	0	0	0	91	0	16	0	23	0	50	30	0	0	0	0	0	0	15	4	0	0	0	0	0	0	0	0	11	216	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	10	108	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	8	16	0	0	0	13	0	0	0	0	0	0	0	24	0	0	4	0	22	0	0	31	0	0	0	0	0	96	0	0	21	0	0	0	0	0	0	16960	0	0	0	0	0	32	0	0	134	0	0	16	0	3	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	122	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	15	0	0	26	0	0	0	0	0	0	0	39	0	0	0	36	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	5	0	12	0	0	166
SRR11426384	8029	0	0	0	12	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	21	0	0	0	0	0	45	0	0	0	0	0	0	9	0	0	7	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	29	233	0	0	9	0	0	148	0	25	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	61	26	0	0	0	0	0	0	0	0	3205	0	0	0	0	0	59	0	0	49	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	34	0	8	26	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	3143	0	0	40	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	417
