run	g__Acrocalymma	g__Alboefibula	g__Allium	g__Alternaria	g__Antrodiella	g__Arabidopsis	g__Arthrocatena	g__Aspergillus	g__Athelia	g__Aureobasidium	g__Auriporia	g__Basidiodendron	g__Bezerromyces	g__Blastobotrys	g__Brassica	g__Brevicellicium	g__Bullera	g__Butyrea	g__Calyptrozyma	g__Camptophora	g__Candida	g__Candolleomyces	g__Ceraceosorus	g__Ceratobasidiaceae_gen_Incertae_sedis	g__Cercozoa_gen_Incertae_sedis	g__Ceriporiopsis	g__Chaetasbolisia	g__Chlorococcum	g__Choanephora	g__Ciboria	g__Cladosporium	g__Clitopilus	g__Conidiobolus	g__Coniothyrium	g__Coprinellus	g__Coprinopsis	g__Coronicium	g__Cryptococcus	g__Cucurbita	g__Cucurbitaceae_gen_Incertae_sedis	g__Curvularia	g__Cutaneotrichosporon	g__Cystobasidiomycetes_gen_Incertae_sedis	g__Cystobasidium	g__Cystofilobasidium	g__Daucus	g__Debaryomyces	g__Debaryomycetaceae_gen_Incertae_sedis	g__Diaporthe	g__Didymella	g__Didymocyrtis	g__Dioszegia	g__Dysphania	g__Ectophoma	g__Efibulobasidium	g__Eichleriella	g__Eidernor	g__Elmerina	g__Elymus	g__Emericellopsis	g__Enterocarpus	g__Epicoccum	g__Eremothecium	g__Erythrobasidium	g__Exidia	g__Exobasidium	g__Exophiala	g__Filobasidium	g__Fomitopsis	g__Fusarium	g__Fuscoporia	g__Ganoderma	g__Gloeophyllum	g__Glycine	g__GS13_gen_Incertae_sedis	g__Gymnopus	g__Hannaella	g__Hansfordia	g__Hericiaceae_gen_Incertae_sedis	g__Holtermannia	g__Hormonema	g__Humicola	g__Hydrangea	g__Hyphoderma	g__Hyphodermataceae_gen_Incertae_sedis	g__Hyphodontia	g__Hypochnicium	g__Indigofera	g__Irpex	g__Irpicaceae_gen_Incertae_sedis	g__Jumillera	g__Kazachstania	g__Knufia	g__Kurtzmaniella	g__Lasiobolidium	g__Lasiobolus	g__Lentinula	g__Lentitheciaceae_gen_Incertae_sedis	g__Lenzites	g__Leptospora	g__Leucosporidium	g__Limtongozyma	g__Linnemannia	g__Lophiostoma	g__Malassezia	g__Maudiozyma	g__Meiorganum	g__Melampsora	g__Meyerozyma	g__Moesziomyces	g__Mortierella	g__Morus	g__Mrakia	g__Mucor	g__Mucronella	g__Musa	g__Mycoaciella	g__Myxarium	g__Naganishia	g__Neoascochyta	g__Neocucurbitaria	g__Neosetophoma	g__Neurospora	g__Nigrograna	g__Nigroporus	g__Nigrospora	g__Nothophoma	g__Odontoefibula	g__Oligophagozyma	g__Oliveonia	g__Omphalotaceae_gen_Incertae_sedis	g__Ophiognomonia	g__Ophiosphaerella	g__Panellus	g__Papiliotrema	g__Paraphoma	g__Parasarocladium	g__Penicillium	g__Peniophora	g__Peniophorella	g__Perenniporia	g__Periconia	g__Peziza	g__Phaeococcomyces	g__Phaeosphaeria	g__Phallus	g__Phanerochaete	g__Phlebia	g__Phlebiopsis	g__Physisporinus	g__Pichia	g__Plantago	g__Pleurotaceae_gen_Incertae_sedis	g__Pleurotus	g__Pluteus	g__Porostereum	g__Prunus	g__Pseudomicrostroma	g__Pseudopithomyces	g__Puccinia	g__Purpureodiscus	g__Pyxidiophora	g__Raphanus	g__Resinicium	g__Resupinatus	g__Retiarius	g__Rhizochaete	g__Rhizoctonia	g__Rhizopus	g__Rhodosporidiobolus	g__Rhodotorula	g__Rigidoporus	g__Russula	g__Saccharomyces	g__Sampaiozyma	g__Schizophyllum	g__Schwanniomyces	g__Scleroconidioma	g__Scopuloides	g__Septobasidium	g__Septoriella	g__Sertulicium	g__Sistotrema	g__Sistotremastrum	g__Skvortzovia	g__Solanum	g__Sporobolomyces	g__Stagonosporopsis	g__Starmera	g__Stemphylium	g__Stereaceae_gen_Incertae_sedis	g__Stereum	g__Streblotrichum	g__Strelitziana	g__Styphnolobium	g__Subulicystidium	g__Suillus	g__Symmetrospora	g__Tamamschjanella	g__Taphrina	g__Tausonia	g__Teichospora	g__Tilletia	g__Tilletiopsis	g__Torula	g__Toxicocladosporium	g__Trametes	g__Trechispora	g__Trichomerium	g__Trichomonascus	g__Trichosporon	g__Triticum	g__Tulasnella	g__Udeniomyces	g__Ustilaginales_gen_Incertae_sedis	g__Ustilaginoidea	g__Uwebraunia	g__Vishniacozyma	g__Waitea	g__Wallemia	g__Wickerhamomyces	g__Xenasmatella	g__Xenopyrenochaetopsis	g__Xeromyces	g__Xylodon	g__Zygoascus	g__Zygosaccharomyces	Unassigned
SRR11426356	0	0	0	0.352216025829175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.645729380686821	0	0	0.322864690343411	0	0	2.05459348400352	0	0	0	0.322864690343411	0	0	0	0	0	0	0	0	0	0	0	0	0.440270032286469	0	0	0	0	0	0	0	0	0	0	0	0	0.440270032286469	0.440270032286469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.410918696800704	2.02524214851776	0	0	0	0	0	0	0	0	84.0622248312298	0	0	0	0	0	0.264162019371881	0	0	2.61226885823305	0	0	0	0	0.939242735544467	0	0	0	0.528324038743763	0	0	0	0	0	0.205459348400352	0	0	0	0	0	0	0	0	0	0	0	0.117405341943058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352216025829175	0	0	0	0	0	0	0.38156736131494	0	0	0	0	0	0	0	1.35016143234517	0	0	0.352216025829175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557675374229527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.821837393601409
SRR11426369	0	0	0	0	0	0.402221796590691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81957479410075	0	0	0	0	0	0	0	0	0	0.612909404328673	0	0	0	0	0	0	0	0.344761539934878	0.55544914767286	0	0	0	1.70465428078912	0	0.325608121049607	0.153227351082168	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517142309902318	0	0	0	0	0	1.16835855200153	0.478835472131776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0957670944263551	0	0	0	0	0.172380769967439	4.098831641448	0	0	0.19153418885271	0	0	0	0	0	0	0	0	73.5491285194407	0	0	0	0.287301283279065	0	0	0	0	0	0	0	0	0	2.35587052288834	0	0	0	0.517142309902318	0	0	0.268147864393794	0	0	0	0	0	0	0	0	0.497988891017047	0.0766136755410841	0	0	0	0	0	0.344761539934878	0	0	0	0	0	0	0	0	0	0	0	0.440528634361234	0	0	2.31756368511779	0.0766136755410841	0	0	0	0	0	0	0	0	0	0	0	0	3.40930856157824	0	0	0.134073932196897	0	0.229841026623252	0	0	0	0	0	0	0	0	0	1.24497222754262	0	0.344761539934878	0	0	0	0	0	0	0	0	0	0	0	0	0.38306837770542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153227351082168	0.019153418885271	0	0	0	0	0	0	0	0	0.0574602566558131	0.651216242099215
SRR11426371	0	0	0.0337929170045958	0	0	0	0	0	0	0	0	0	0	0	0.0743444174101108	0	0	0	0	0	0	0	0	0	0.756961340902947	0	0	0	0	0	0.385239253852393	0	0	0	0	0	0	0	0	0	0	0	0	0.0337929170045958	0	0	0	0.446066504460665	0	0	0	0	0	0	0	0	0	0	0	0	0.101378751013788	0	0	0	0	0	0.0135171668018383	0	0	0.385239253852393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.804271424709381	0.0337929170045958	0	0	0	0	0	0	0	92.1668018383347	0	0	0	0	0	0.385239253852393	0	0	1.12192484455258	0	0	0	0	0	0	0	0	0.391997837253312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351446336847797	0.277101919437686	0	0	0.0337929170045958	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0946201676128683	0	0.0608272506082725	0	0	0	0	0.0946201676128683	0	0	0	0	0	0	0	0.865098675317653	0	0	0.371722087050554	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182481751824818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533928088672614
SRR11426372	0	0	0.219446320054018	0.101282916948008	0	0.118163403106009	0	0.25320729237002	0	0	0	0	0	0	0	0	0.0506414584740041	0	0	0	13.7407157326131	0	0	0	0.25320729237002	0	0	0	0	0	0.303848750844024	0	0	0	0	0	0	0	0	0.0675219446320054	0	0	0	0	0	0	0.506414584740041	0.979068197164078	0	0	0	0	0	0	0	0	0	0	0	0	0.320729237002026	0	0	0	0	0	0	0.202565833896016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72180958811614	0	0	0.354490209318028	1.43484132343011	0	0	0	0	0	0	0	0	66.6948008102633	0	0	0	0	0	0	0	5.0641458474004	1.68804861580014	0	0.759621877110061	0	0	0.759621877110061	0	0	0	0.99594868332208	0	0	0	0	0	0.0675219446320054	0	0	0	0	0	0	0	0	0.0844024307900068	0.202565833896016	0	0	0	0	0	0	0	0	0	0	0	0.62457798784605	0	0	0	0.118163403106009	0	0.101282916948008	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2997974341661	0.0675219446320054	0	0.388251181634031	0	0	0	0	0	0	0	0.168804861580014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286968264686023
SRR11426373	0	0	0	0	0	0.344234079173838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60642570281124	0.286861732644865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83591508892714	0	0	0	0	0	0	0	0	0	0	0	0	0	0.344234079173838	0	0	0	0	0	0.114744693057946	0	1.26219162363741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.745840504876649	1.4916810097533	0	0	0	0	0	0	0	0	77.7395295467585	0	0	0	0	0	0.516351118760757	0	0	1.95065978198508	0	0	0	0	1.14744693057946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4916810097533	0	0	0	0	0	0	0	5.27825588066552	0	0	0.401606425702811	0	0	0	0	0	0	0	0	0	0	0	0	0	0.745840504876649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26219162363741	0	0	0	0	0	0	0	0	0	0	0	1.43430866322433
SRR11426374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611413043478261	0	0	0	0.407608695652174	0	0	0	0	0	0.679347826086957	0	0	0	0	0	0	0	0	0	0	0.203804347826087	0	0	0	0	0	1.97010869565217	0	0	0	0	0	0	0	0	0	0	0	0	0.951086956521739	0	0	0	0	0	0	0.0679347826086956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47554347826087	0	0	0	0	0	0	1.90217391304348	0	0	0	0	0	0	0	0	83.6277173913043	0	0	0	0	0	0.747282608695652	0	0	0.747282608695652	0	0	0	0	0.543478260869565	0	0	0	1.15489130434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611413043478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271739130434783	0	0	0	0	0	0	0	1.90217391304348	0	0	0	0	0	0	0	0	0	0	0.679347826086957	0	0	0	0	0.339673913043478	1.22282608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271739130434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611413043478261
SRR11426377	0	0	0	0.102933607822954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257334019557386	0	0	0	0	0	0	0	0	0	0.283067421513124	0	0	0	0	0	0	0	0	0	0.0257334019557386	0	0	0	0	0	0	0.18013381369017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0514668039114771	0	0	0.0772002058672157	0	0	0	0	0	0	0.154400411734431	0	0	0	0	0	0	0	0	97.2979927946474	0	0	0	0	0	0	0	0	0.36026762738034	0	0	0	0	0.0772002058672157	0	0	0	0.18013381369017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257334019557386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257334019557385	0	0	0	0.102933607822954	0	0	0	0	0	0	0	0.334534225424601	0	0	0.205867215645908	0	0	0	0	0	0	0	0.257334019557385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR11426379	0	0	0	0	0	1.57109190887667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0785545954438335	0	0	0	0.864100549882168	0	0	0	0	0	0.942655145326002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98507462686567	0	0	0	0	0	0	0	0	0	0	0	0	0.864100549882168	0	0	0	0	0	0	0	0	0.628436763550668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67085624509034	0	0	0	0	0	0	0	0	76.5907305577376	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	2.1209740769835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549882168106834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25687352710134	0	0	0	0	0	0	0	1.49253731343284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.314218381775334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80675569520817
SRR11426383	0	0	0	0	0	0.479881875230712	0	0.0843748352054	0	0.121288825607762	0	0.263671360016875	0.158202816010125	0	0	0	0	0	0	0.0791014080050625	0.02109370880135	0	0	0	0	0	0	0	0	0.0580076992037125	1.1390602752729	0	0	0	0	0	0	0.226757369614512	0	0	0	0	0	0	0	0	0.052734272003375	0.56953013763645	0	0	0	0	0	0	0	0	0	0	0	0	0.100195116806412	0	0	0	0	0	0	0.0421874176027	0.0843748352054	0	0	0	0.0685545536043875	0	0	0	0	0	0	0	0.1265622528081	0	0	0.02109370880135	0	0.116015398407425	0	0	0.163476243210462	0	0	0	0	0	0.5062490112324	0	0	0.110741971207087	0	0	0	0	0	0	89.437325317724	0	0	0	0	0	0.1687496704108	0	0	0.706639244845225	0	0	0.0843748352054	0	0.0158202816010125	0	0	0	0.258397932816538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100195116806412	0.643358118441175	0	0	0	0	0	0	0	0	0	0	0	0	0.073827980804725	0	0	0.247851078415862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97753520012656	0	0.0791014080050625	0	0	0.137109107208775	0	0	0	0	0	0	0	0.205663660813162	0	0	0	0.18984337921215	0	0	0	0.02109370880135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0474608448030375	0	0	0	0	0	0	0	0.0474608448030375	0	0	0	0	0.0263671360016875	0	0.06328112640405	0	0	0.875388915256025
SRR11426384	0	0	0	0.149458213974343	0	0.124548511645286	0	0	0	0.112093660480757	0	0	0	0	0	0	0	0	0	0	0.0996388093162287	0	0	0	0.2615518744551	0	0	0	0	0	0.560468302403786	0	0	0	0	0	0	0.112093660480757	0	0	0.0871839581517001	0.0249097023290572	0	0	0	0	0	0	0	0.124548511645286	0	0	0	0	0	0	0	0	0	0	0.361190683771329	2.90198032133516	0	0	0.112093660480757	0	0	1.84331797235023	0	0.311371279113215	0	0	0	0	0	0	0	0	0	0	0.224187320961515	0	0	0	0	0	0	0	0	0	0	0	0	0	0.759745921036244	0.323826130277743	0	0	0	0	0	0	0	0	39.9177979823141	0	0	0	0	0	0.734836218707187	0	0	0.610287707061901	0	0	0	0	3.26317100510649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1743679163034	0	0	0.423464939593972	0	0.0996388093162287	0.323826130277743	0	0	0	0	0	0	0	0.0996388093162287	0	0	0	0	0.0996388093162287	0	0	0	0	0	0	0	0	0	0	0.311371279113215	0	0	0	0	0	39.1455972101133	0	0	0.498194046581143	0	0.0373645534935858	0	0	0	0	0	0	0	0	0	0	0.0498194046581143	0	0	0	0	0.0747291069871715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186822767467929	0.137003362809814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124548511645286	0	0	5.19367293560842
