run	total_reads	g__Acer	g__Acremonium	g__Actinomucor	g__Agaricales_gen_Incertae_sedis	g__Albifimbria	g__Allium	g__Allocryptovalsa	g__Allovahlkampfia	g__Alternaria	g__Amyloporia	g__Anthracina	g__Antrodiella	g__Arabidopsis	g__Arthrocatena	g__Ascotricha	g__Aspergillus	g__Aureobasidium	g__Auricularia	g__Baltazaria	g__Basidiodendron	g__Beauveria	g__Bipolaris	g__Bjerkandera	g__Blumeria	g__Botryotrichum	g__Botrytis	g__Brassica	g__Buckleyzyma	g__Bullera	g__Bulleribasidium	g__Camarops	g__Candida	g__Candolleomyces	g__Cercozoa_gen_Incertae_sedis	g__Cerrena	g__Chaetomium	g__Cheilymenia	g__Chlamydomonas	g__Chlorococcum	g__Chrysothrix	g__Citrus	g__Cladosporium	g__Clitocybe	g__Clonostachys	g__Coleosporium	g__Collariella	g__Colletotrichum	g__Coniosporium	g__Coprinopsis	g__Cordana	g__Coronicium	g__Cryptococcus	g__Cucumis	g__Cucurbita	g__Curvibasidium	g__Curvularia	g__Cutaneotrichosporon	g__Cyanosporus	g__Cylindrobasidium	g__Cystobasidiomycetes_gen_Incertae_sedis	g__Cystobasidium	g__Cystofilobasidium	g__Daedaleopsis	g__Daucus	g__Debaryomyces	g__Debaryomycetaceae_gen_Incertae_sedis	g__Didymella	g__Dioszegia	g__Draba	g__Edenia	g__Elmerina	g__Elymus	g__Enterocarpus	g__Entyloma	g__Epicoccum	g__Erythrobasidium	g__Eukaryota_gen_Incertae_sedis	g__Exophiala	g__Fibroporia	g__Fibulomyces	g__Filobasidium	g__Flammulina	g__Fomitopsis	g__Fusarium	g__Genolevuria	g__Glycine	g__Golubevia	g__Hannaella	g__Harzia	g__Heterobasidion	g__Hexagonia	g__Holtermannia	g__Humicola	g__Humulus	g__Hyphoderma	g__Hyphodontia	g__Hypholoma	g__Hyphopichia	g__Inonotus	g__Ipomoea	g__Irpex	g__Irpicaceae_gen_Incertae_sedis	g__Ischnoderma	g__Jaminaea	g__Kazachstania	g__Knufia	g__Kurtzmaniella	g__Lasiobolidium	g__Lasiobolus	g__Lentinula	g__Lepista	g__Leptodictyum	g__Leptospora	g__Linnemannia	g__Lithohypha	g__Loweomyces	g__Lyomyces	g__Malassezia	g__Marasmius	g__Melanophyllum	g__Meyerozyma	g__Microdochium	g__Moesziomyces	g__Mortierella	g__Mucor	g__Musa	g__Myriangiales_gen_Incertae_sedis	g__Naganishia	g__Neoacremonium	g__Neoascochyta	g__Neocamarosporium	g__Neoceratosperma	g__Neocucurbitaria	g__Neosetophoma	g__Neurospora	g__Nigrospora	g__Nothophoma	g__Ochrocladosporium	g__Oligophagozyma	g__Oxyporus	g__Papiliotrema	g__Paradevriesia	g__Paraphoma	g__Parasarocladium	g__Peltaster	g__Penicillium	g__Peniophora	g__Peniophorella	g__Perenniporia	g__Periconia	g__Peroneutypa	g__Pestalotiopsis	g__Pezizales_gen_Incertae_sedis	g__Phaeococcomyces	g__Phaeosphaeria	g__Phaeosphaeriaceae_gen_Incertae_sedis	g__Phanerochaete	g__Phlebia	g__Pholiota	g__Phomatospora	g__Phyllanthus	g__Physisporinus	g__Pichia	g__Pithomyces	g__Pithya	g__Plectosphaerella	g__Pleurotus	g__Poa	g__Polyporaceae_gen_Incertae_sedis	g__Porostereum	g__Preussia	g__Prunus	g__Pseudeurotium	g__Pseudogymnoascus	g__Pseudomicrostroma	g__Pseudomuriella	g__Puccinia	g__Pyrenochaetopsis	g__Pyricularia	g__Radulomyces	g__Raphanus	g__Rasamsonia	g__Rhizophlyctis	g__Rhodosporidiobolus	g__Rhodotorula	g__Rosa	g__Saccharomyces	g__Saitozyma	g__Sarocladium	g__Sawadaea	g__Scenedesmaceae_gen_Incertae_sedis	g__Schizophyllum	g__Setomelanomma	g__Setophoma	g__Sida	g__Sirobasidium	g__Sistotrema	g__Sistotremastrum	g__Skvortzovia	g__Solicoccozyma	g__Sporisorium	g__Sporobolomyces	g__Stagonosporopsis	g__Stereaceae_gen_Incertae_sedis	g__Stereum	g__Sterigmatomyces	g__Streblotrichum	g__Strobilurus	g__Symmetrospora	g__Tausonia	g__Thermomyces	g__Torula	g__Toxicocladosporium	g__Trametes	g__Trechispora	g__Trichoderma	g__Trichomerium	g__Trichomonascus	g__Trichosporon	g__Trichothecium	g__Triticum	g__Tulasnellaceae_gen_Incertae_sedis	g__Tyromyces	g__Ustilaginoidea	g__Ustilago	g__Uwebraunia	g__Vacuiphoma	g__Vishniacozyma	g__Wallemia	g__Wickerhamomyces	g__Xeromyces	g__Xylodon	g__Zasmidium	g__Zymoseptoria	Unassigned
SRR11604871	8190	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	30	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	56	0	0	0	0	15	0	0	0	6841	0	0	0	0	0	78	70	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	138	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237
SRR11604872	120815	0	0	0	0	0	0	0	0	50	0	0	0	3282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1313	0	0	109	0	0	1095	2007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2746	0	0	0	0	0	0	0	0	0	0	0	931	0	0	0	0	0	0	0	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012	0	0	0	91949	0	0	0	0	0	0	3037	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	0	0	0	0	0	0	0	0	0	10405
SRR11604873	140642	0	0	0	207	0	6	0	0	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5320	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	527	0	0	0	0	0	0	0	0	0	0	0	5540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5233	0	0	0	0	0	0	0	0	93989	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	2770	384	0	0	0	0	0	0	0	0	0	0	0	0	0	11450	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2109	0	0	1318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3030	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	292	0	0	0	0	0	0	5349
SRR11604876	13101	0	0	21	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	1174	0	0	0	131	0	0	6	2	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	956	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	63	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	2507	0	0	0	0	283	0	0	0	1608	0	0	0	0	0	504	1335	0	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	97	0	0	0	63	0	0	0	0	0	0	0	0	0	0	26	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1494
SRR11604877	4527	0	0	0	0	0	0	0	0	36	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	191	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	30	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	74	0	3	83	0	0	0	0	0	0	0	0	0	0	0	193	0	0	82	50	0	0	0	0	0	0	0	0	1730	0	0	0	0	0	0	13	0	0	155	0	0	0	0	0	0	8	0	0	131	0	0	259	0	80	0	0	65	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	244	0	0	92	96	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	10	276
SRR11604879	21015	0	0	0	0	0	0	0	0	5	0	0	17	0	0	0	76	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	49	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	19	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18725	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	185	0	66	0	0	100	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	47	0	0	0	0	32	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	10	0	572
SRR11604884	11778	0	0	0	0	0	0	0	0	59	0	0	0	142	0	0	55	0	0	0	0	0	0	0	0	75	0	740	0	0	0	0	0	0	268	0	0	0	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	6817	0	127	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	109	0	26	0	0	0	0	0	0	0	0	0	609	0	0	0	0	0	0	30	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
SRR11604886	25982	0	48	0	0	0	0	0	0	906	0	0	0	0	0	0	86	101	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	705	0	0	0	12	0	0	0	3535	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	503	0	99	0	0	0	0	1116	0	161	0	0	0	0	1	0	0	109	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	925	0	0	0	0	98	50	0	0	5669	0	0	0	0	0	1076	1217	0	0	0	0	0	0	0	0	0	579	137	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	310	0	0	0	0	0	0	0	483	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	4760
SRR11604887	5380	0	0	0	0	0	0	28	0	111	0	0	0	27	0	0	107	0	0	0	0	0	0	0	11	0	74	0	0	0	0	0	0	0	77	14	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	20	0	0	0	0	0	5	0	0	21	0	0	0	0	0	0	0	49	0	36	0	0	0	0	0	74	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	57	0	0	0	1945	0	0	0	0	0	1	50	0	0	194	0	0	0	0	0	0	19	0	0	0	36	0	0	0	0	0	0	0	0	94	0	558	0	0	0	0	0	0	69	0	0	7	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1	0	0	127	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	969
SRR11604890	80751	0	0	0	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	7206	0	0	0	1364	0	0	0	123	0	0	0	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1477	0	0	0	0	0	0	9886	0	0	0	0	0	0	0	375	0	0	1430	0	0	0	0	0	0	0	656	1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1666	13852	64	0	0	0	1689	0	0	0	12037	0	0	0	0	0	2070	5902	0	0	256	0	0	0	0	0	0	1068	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	404	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	132	0	0	0	0	0	0	107	0	0	0	0	115	0	0	1646	0	0	620	0	0	0	759	0	0	0	0	0	0	0	0	0	0	2441	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	9905
