run	total_reads	g__Acrocalymma	g__Alboefibula	g__Allium	g__Alternaria	g__Amyloporia	g__Antrodiella	g__Arabidopsis	g__Ascodesmidaceae_gen_Incertae_sedis	g__Aspergillus	g__Athelia	g__Aureobasidium	g__Auriporia	g__Basidiodendron	g__Bezerromyces	g__Bullera	g__Butyrea	g__Camptophora	g__Candida	g__Candolleomyces	g__Ceraceosorus	g__Cercozoa_gen_Incertae_sedis	g__Ceriporiopsis	g__Chlorococcum	g__Chrysothrix	g__Ciboria	g__Cladophialophora	g__Cladosporium	g__Conidiobolus	g__Coprinellus	g__Coprinopsis	g__Coriolopsis	g__Crepidotus	g__Cryptococcus	g__Cucurbitaceae_gen_Incertae_sedis	g__Curvibasidium	g__Curvularia	g__Cutaneotrichosporon	g__Cystobasidiomycetes_gen_Incertae_sedis	g__Cystobasidium	g__Cystofilobasidium	g__Dacryobolus	g__Daucus	g__Debaryomyces	g__Debaryomycetaceae_gen_Incertae_sedis	g__Didymella	g__Dioszegia	g__Ectophoma	g__Elmerina	g__Enterocarpus	g__Epicoccum	g__Erythrobasidium	g__Exidia	g__Exophiala	g__Fibricium	g__Filobasidium	g__Fomitopsis	g__Fusarium	g__Ganoderma	g__Gloeophyllum	g__Glycine	g__Golubevia	g__GS13_gen_Incertae_sedis	g__Hannaella	g__Hansfordia	g__Hericiaceae_gen_Incertae_sedis	g__Holtermannia	g__Hormonema	g__Humicola	g__Hyphoderma	g__Hyphodontia	g__Irpex	g__Irpicaceae_gen_Incertae_sedis	g__Kazachstania	g__Kneiffiella	g__Knufia	g__Lasiobolidium	g__Lasiobolus	g__Lentinula	g__Lentitheciaceae_gen_Incertae_sedis	g__Lenzites	g__Leptospora	g__Limtongozyma	g__Linnemannia	g__Lophiostoma	g__Lophodermium	g__Malassezia	g__Meiorganum	g__Meira	g__Meyerozyma	g__Moesziomyces	g__Mortierella	g__Mrakia	g__Mucor	g__Mucronella	g__Musa	g__Mycoaciella	g__Myxarium	g__Naganishia	g__Nakaseomyces	g__Neoascochyta	g__Neocucurbitaria	g__Neosetophoma	g__Neovaginatispora	g__Neurospora	g__Nigroporus	g__Nigrospora	g__Nothophoma	g__Odontoefibula	g__Oligophagozyma	g__Oliveonia	g__Omphalotaceae_gen_Incertae_sedis	g__Ophiognomonia	g__Ophiosphaerella	g__Pallidohirschioporus	g__Panellus	g__Papiliotrema	g__Penicillium	g__Peniophora	g__Peniophorella	g__Perenniporia	g__Periconia	g__Pezizales_gen_Incertae_sedis	g__Phaeosphaeria	g__Phanerochaete	g__Phlebia	g__Phlebiopsis	g__Pleurotaceae_gen_Incertae_sedis	g__Podosphaera	g__Polyporales_gen_Incertae_sedis	g__Porostereum	g__Powellomyces	g__Prunus	g__Pseudochaetosphaeronema	g__Pseudopithomyces	g__Pseudozyma	g__Puccinia	g__Raphanus	g__Resinicium	g__Resupinatus	g__Retiboletus	g__Rhizochaete	g__Rhizoctonia	g__Rhodosporidiobolus	g__Rhodotorula	g__Russula	g__Saccharomyces	g__Schizophyllum	g__Schizoporaceae_gen_Incertae_sedis	g__Septobasidium	g__Sertulicium	g__Sistotrema	g__Sistotremastrum	g__Spissiomyces	g__Sporobolomyces	g__Stagonosporopsis	g__Stemphylium	g__Stereaceae_gen_Incertae_sedis	g__Stereum	g__Sterigmatomyces	g__Streblotrichum	g__Suillus	g__Symmetrospora	g__Taphrina	g__Tetradesmus	g__Tilletia	g__Torula	g__Toxicocladosporium	g__Trametes	g__Tricellula	g__Trichomerium	g__Trichomonascus	g__Trichosporon	g__Triticum	g__Tulasnella	g__Udeniomyces	g__Ustilaginoidea	g__Vishniacozyma	g__Wallemia	g__Wickerhamomyces	g__Xenopyrenochaetopsis	g__Xylodon	g__Zasmidium	Unassigned
SRR12968645	11321	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	21	0	37	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	123	745	0	0	0	122	0	0	0	0	0	0	0	87	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	8815	0	0	14	97	0	0	214	0	0	0	0	88	0	0	0	0	0	114	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	102	0	0	0	0	0	0	0	47	69	0	0	0	0	11	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
SRR12968648	1834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	35	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	24	0	0	0	0	0	0	0	0	1437	0	0	0	0	10	0	42	0	0	0	0	9	0	0	0	0	0	62	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	67	0	21	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
SRR12968651	3564	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	20	12	0	0	0	0	0	0	0	0	3316	0	0	0	0	9	0	58	0	0	0	0	5	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	17
SRR12968653	5356	0	0	0	28	0	0	67	0	21	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	90	0	0	0	0	27	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	4228	0	0	0	0	0	0	189	0	0	0	0	22	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	4	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	20	0	0	0	0	0	0	0	0	40	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	11	0	56
SRR12968659	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	41	26	0	0	0	0	0	0	0	0	1253	0	0	0	0	11	0	29	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	41
SRR12968662	62658	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	44	0	0	83	0	0	0	0	6	134	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	74	104	0	0	0	0	147	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	263	0	0	0	0	0	0	0	0	59790	0	0	0	0	36	0	511	0	0	0	0	118	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	20	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	179	0	0	0	0	0	0	296	0	98	0	0	0	31	0	0	0	0	62	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147
SRR12968677	15708	0	0	0	21	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	15	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	10	0	0	0	0	0	0	0	0	0	0	0	0	15154	0	0	0	0	0	0	48	0	0	0	0	30	0	0	0	0	0	15	0	0	33	0	0	0	0	0	0	0	0	0	38	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	27	90	0	18	7	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
SRR12968682	5169	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	64	0	0	0	0	39	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	17	0	0	0	0	0	0	5	0	3971	0	0	66	0	87	0	156	0	0	0	0	108	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	175	0	80	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18
SRR12968690	9146	0	0	0	2	0	0	0	0	36	0	6	6	0	0	0	0	0	94	0	0	0	0	0	0	0	0	56	0	0	0	6	0	0	0	0	24	17	0	0	4	0	0	6	16	0	0	0	0	0	0	0	0	0	0	4	0	43	27	0	0	0	0	0	0	0	0	0	0	0	1	6	0	24	0	7	48	25	0	0	0	0	0	0	0	0	7807	0	0	0	0	0	0	60	0	0	0	0	113	0	23	0	0	0	82	0	10	0	0	0	0	0	0	0	0	0	0	0	0	28	28	221	0	33	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	66	0	0	20	0	0	7	0	0	0	18	18	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	47	0	0	0	0	82
SRR12968691	15206	0	37	0	299	0	6	39	0	5	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	122	0	0	0	0	0	0	0	0	51	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	49	0	0	0	14	0	0	0	0	13690	0	0	0	0	20	173	109	0	0	0	0	46	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	17	0	28	0	0	2	0	0	0	0	0	0	0	0	59	0	0	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	12	0	169
