run	g__Acrocalymma	g__Alboefibula	g__Allium	g__Alternaria	g__Amyloporia	g__Antrodiella	g__Arabidopsis	g__Ascodesmidaceae_gen_Incertae_sedis	g__Aspergillus	g__Athelia	g__Aureobasidium	g__Auriporia	g__Basidiodendron	g__Bezerromyces	g__Bullera	g__Butyrea	g__Camptophora	g__Candida	g__Candolleomyces	g__Ceraceosorus	g__Cercozoa_gen_Incertae_sedis	g__Ceriporiopsis	g__Chlorococcum	g__Chrysothrix	g__Ciboria	g__Cladophialophora	g__Cladosporium	g__Conidiobolus	g__Coprinellus	g__Coprinopsis	g__Coriolopsis	g__Crepidotus	g__Cryptococcus	g__Cucurbitaceae_gen_Incertae_sedis	g__Curvibasidium	g__Curvularia	g__Cutaneotrichosporon	g__Cystobasidiomycetes_gen_Incertae_sedis	g__Cystobasidium	g__Cystofilobasidium	g__Dacryobolus	g__Daucus	g__Debaryomyces	g__Debaryomycetaceae_gen_Incertae_sedis	g__Didymella	g__Dioszegia	g__Ectophoma	g__Elmerina	g__Enterocarpus	g__Epicoccum	g__Erythrobasidium	g__Exidia	g__Exophiala	g__Fibricium	g__Filobasidium	g__Fomitopsis	g__Fusarium	g__Ganoderma	g__Gloeophyllum	g__Glycine	g__Golubevia	g__GS13_gen_Incertae_sedis	g__Hannaella	g__Hansfordia	g__Hericiaceae_gen_Incertae_sedis	g__Holtermannia	g__Hormonema	g__Humicola	g__Hyphoderma	g__Hyphodontia	g__Irpex	g__Irpicaceae_gen_Incertae_sedis	g__Kazachstania	g__Kneiffiella	g__Knufia	g__Lasiobolidium	g__Lasiobolus	g__Lentinula	g__Lentitheciaceae_gen_Incertae_sedis	g__Lenzites	g__Leptospora	g__Limtongozyma	g__Linnemannia	g__Lophiostoma	g__Lophodermium	g__Malassezia	g__Meiorganum	g__Meira	g__Meyerozyma	g__Moesziomyces	g__Mortierella	g__Mrakia	g__Mucor	g__Mucronella	g__Musa	g__Mycoaciella	g__Myxarium	g__Naganishia	g__Nakaseomyces	g__Neoascochyta	g__Neocucurbitaria	g__Neosetophoma	g__Neovaginatispora	g__Neurospora	g__Nigroporus	g__Nigrospora	g__Nothophoma	g__Odontoefibula	g__Oligophagozyma	g__Oliveonia	g__Omphalotaceae_gen_Incertae_sedis	g__Ophiognomonia	g__Ophiosphaerella	g__Pallidohirschioporus	g__Panellus	g__Papiliotrema	g__Penicillium	g__Peniophora	g__Peniophorella	g__Perenniporia	g__Periconia	g__Pezizales_gen_Incertae_sedis	g__Phaeosphaeria	g__Phanerochaete	g__Phlebia	g__Phlebiopsis	g__Pleurotaceae_gen_Incertae_sedis	g__Podosphaera	g__Polyporales_gen_Incertae_sedis	g__Porostereum	g__Powellomyces	g__Prunus	g__Pseudochaetosphaeronema	g__Pseudopithomyces	g__Pseudozyma	g__Puccinia	g__Raphanus	g__Resinicium	g__Resupinatus	g__Retiboletus	g__Rhizochaete	g__Rhizoctonia	g__Rhodosporidiobolus	g__Rhodotorula	g__Russula	g__Saccharomyces	g__Schizophyllum	g__Schizoporaceae_gen_Incertae_sedis	g__Septobasidium	g__Sertulicium	g__Sistotrema	g__Sistotremastrum	g__Spissiomyces	g__Sporobolomyces	g__Stagonosporopsis	g__Stemphylium	g__Stereaceae_gen_Incertae_sedis	g__Stereum	g__Sterigmatomyces	g__Streblotrichum	g__Suillus	g__Symmetrospora	g__Taphrina	g__Tetradesmus	g__Tilletia	g__Torula	g__Toxicocladosporium	g__Trametes	g__Tricellula	g__Trichomerium	g__Trichomonascus	g__Trichosporon	g__Triticum	g__Tulasnella	g__Udeniomyces	g__Ustilaginoidea	g__Vishniacozyma	g__Wallemia	g__Wickerhamomyces	g__Xenopyrenochaetopsis	g__Xylodon	g__Zasmidium	Unassigned
SRR12968645	0	0	0	0	0	0	0.282660542354916	0	0	0	0	0	0	0	0	0	0	0	0.185495980920413	0	0.326826252097871	0	0	0	0	0	0.63598622029856	0	0	0	0	0	0	0	0	0	0	0	0.565321084709831	0	0	0	0	1.08647645967671	6.58069075170038	0	0	0	1.07764331772812	0	0	0	0	0	0	0	0.768483349527427	0.273827400406325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18364102111121	0	0	0	0	0	0	0	0	77.8641462768307	0	0	0.123663987280276	0.856814769013338	0	0	1.8902923769985	0	0	0	0	0.777316491476018	0	0	0	0	0	1.00697818213939	0	0	0	0	0.0618319936401378	0	0.0706651355887289	0	0	0	0	0	0	0	0	0.23849483261196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27197244059712	0	0.900980478756294	0	0	0	0	0	0	0	0.415157671583782	0.609486794452787	0	0	0	0	0.0971645614345023	0.247327974560551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.600653652504196
SRR12968648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218102508178844	0	0	0.654307524536532	0	0	0	0	0	0.218102508178844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599781897491821	0	0	0	0	1.90839694656489	0	0	0	0	0.218102508178844	0	0	0.327153762268266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19956379498364	1.30861504907306	0	0	0	0	0	0	0	0	78.3533260632497	0	0	0	0	0.54525627044711	0	2.29007633587786	0	0	0	0	0.490730643402399	0	0	0	0	0	3.38058887677208	0	0.599781897491821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218102508178844	0	0	0	0	0	0	3.65321701199564	0	1.14503816793893	0	0	0	0	0	0	0	0	0	0	0.109051254089422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56270447110142
SRR12968651	0	0	0	0.0561167227833895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.869809203142537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308641975308642	0	0	0	0	0.140291806958474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252525252525253	0	0	0	0	0.561167227833894	0.336700336700337	0	0	0	0	0	0	0	0	93.0415263748597	0	0	0	0	0.252525252525253	0	1.62738496071829	0	0	0	0	0.140291806958474	0	0	0	0	0	0.617283950617284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420875420875421	0	0	0	0	0	0	0.364758698092031	0	0	0	0	0	0	0	0	0	0	0.196408529741863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280583613916947	0	0	0	0	0.0561167227833895	0	0	0	0	0	0	0.47699214365881
SRR12968653	0	0	0	0.522778192681105	0	0	1.25093353248693	0	0.392083644510829	0	0	0	0	0	0	0	0	0	0	0	0.840179238237491	0	0	0	0	0	1.56833457804332	0	0	0	0	0	0	0	0	0	0.0373412994772218	0	0	0	0	0	0	1.68035847647498	0	0	0	0	0.504107542942494	0.261389096340553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989544436146378	0	0	0	0	0	0	0	0	78.9395070948469	0	0	0	0	0	0	3.52875280059746	0	0	0	0	0.41075429424944	0	0	0	0	0	1.45631067961165	0	0	0	0	0	0	0	0	0	0	0	0	0.709484690067214	0	0	0	0	0	0.0746825989544436	0	0	0	0	0	0.989544436146378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02464525765497	0	0.373412994772218	0	0	0	0	0	0	0	0	0.746825989544436	0.149365197908887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298730395817774	0	0	0	0	0.20537714712472	0	1.04555638536221
SRR12968659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526662277814351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.460829493087558	0	0	0	0	0.987491770901909	0	0	0	0	0	0	0	0	0	0	0.658327847267939	0	0	0	0	0	0	0	0	0	2.69914417379855	1.71165240289664	0	0	0	0	0	0	0	0	82.4884792626728	0	0	0	0	0.724160631994733	0	1.90915075707702	0	0	0	0	0.724160631994733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81830151415405	0	0	0	0	0	0	0	0	0	0	0.394996708360764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197498354180382	0	0	0	0	0	0	0	0	2.69914417379855
SRR12968662	0	0	0	0	0	0	0.0558587889814549	0	0	0	0	0	0	0	0	0	0	0.0702224775766861	0	0	0.132465128156022	0	0	0	0	0.00957579239682084	0.213859363528999	0	0	0	0	0	0	0	0	0.0175556193941715	0	0	0	0	0	0	0.11810143956079	0.165980401544895	0	0	0	0	0.234606913722111	0	0	0	0	0	0	0	0.0989498547671486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0925659931692681	0.419738900060647	0	0	0	0	0	0	0	0	95.4227712343196	0	0	0	0	0.057454754380925	0	0.815538319129241	0	0	0	0	0.188323917137476	0	0	0	0	0	0.306425356698267	0	0	0	0	0	0	0	0	0	0	0	0.0319193079894028	0	0.11650547416132	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0446870311851639	0	0	0	0	0.285677806505155	0	0	0	0	0	0	0.472405758243161	0	0.156404609148074	0	0	0	0.0494749273835743	0	0	0	0	0.0989498547671486	0	0	0	0	0.0893740623703278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234606913722111
SRR12968677	0	0	0	0.133689839572192	0	0	0.108225108225108	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133689839572192	0	0	0	0	0	0.190985485103132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12095747389865	0	0	0	0	0.0954927425515661	0	0	0	0	0	0	0	0.0954927425515661	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108225108225108	0	0.0636618283677107	0	0	0	0	0	0	0	0	0	0	0	0	96.4731347084288	0	0	0	0	0	0	0.305576776165011	0	0	0	0	0.190985485103132	0	0	0	0	0	0.0954927425515661	0	0	0.210084033613445	0	0	0	0	0	0	0	0	0	0.241914947797301	0	0	0.0572956455309397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089126559714795	0	0	0	0	0	0.171886936592819	0.572956455309397	0	0.114591291061879	0.0445632798573975	0	0	0	0	0	0	0.0509294626941686	0	0.0318309141838554	0	0	0	0	0	0	0	0	0	0.114591291061879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184619302266361
SRR12968682	0	0	0.251499322886438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.812536273940801	0	0	0	0	0	0.290191526407429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290191526407429	1.2381505126717	0	0	0	0	0.754497968659315	0	0	0	0	0	0	0	1.02534339330625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4062681369704	0.328883729928419	0	0	0	0	0	0	0.0967305088024763	0	76.8233700909267	0	0	1.27684271619269	0	1.68311085316309	0	3.01799187463726	0	0	0	0	2.08937899013349	0	0	0	0	0	2.16676339717547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328883729928419	0	0	0	0	0	0	0	0	0	0	0	0	0	0.986651189785258	0	0	0	0	0	0	3.38556780808667	0	1.54768814083962	0	0	0	0	0	0	0	0	0.73515186689882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116076610562972	0	0	0	0	0	0	0	0	0	0	0.348229831688915
SRR12968690	0	0	0	0.0218674830527006	0	0	0	0	0.393614694948611	0	0.0656024491581019	0.0656024491581019	0	0	0	0	0	1.02777170347693	0	0	0	0	0	0	0	0	0.612289525475618	0	0	0	0.0656024491581019	0	0	0	0	0.262409796632408	0.185873605947955	0	0	0.0437349661054013	0	0	0.0656024491581019	0.174939864421605	0	0	0	0	0	0	0	0	0	0	0.0437349661054013	0	0.470150885633064	0.295211021211459	0	0	0	0	0	0	0	0	0	0	0	0.0109337415263503	0.0656024491581019	0	0.262409796632408	0	0.0765361906844522	0.524819593264815	0.273343538158758	0	0	0	0	0	0	0	0	85.3597200962169	0	0	0	0	0	0	0.656024491581019	0	0	0	0	1.23551279247759	0	0.251476055106057	0	0	0	0.896566805160726	0	0.109337415263503	0	0	0	0	0	0	0	0	0	0	0	0	0.306144762737809	0.306144762737809	2.41635687732342	0	0.36081347036956	0	0	0.0218674830527006	0	0	0	0	0	0	0	0	0	0	0.0656024491581019	0	0	0	0	0	0	0.721626940739121	0	0	0.218674830527006	0	0	0.0765361906844522	0	0	0	0.196807347474306	0.196807347474306	0	0	0	0	0	0	0	0	0	0.0765361906844522	0	0	0	0	0	0.109337415263503	0	0	0	0	0	0	0.513885851738465	0	0	0	0	0.896566805160726
SRR12968691	0	0.243325003288176	0	1.96632908062607	0	0.0394581086413258	0.256477706168618	0	0.0328817572011048	0	0	0	0	0	0	0	0	0	0	0	0.190714191766408	0	0	0	0	0	0.802314875706958	0	0	0	0	0	0	0	0	0.335393923451269	0	0	0.124950677364198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0328817572011048	0.0526108115217677	0	0	0	0	0	0	0.322241220570827	0	0	0	0.0920689201630935	0	0	0	0	90.030251216625	0	0	0	0	0.131527028804419	1.13770879915823	0.716822306984085	0	0	0	0	0.302512166250164	0	0.828620281467842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177561488885966	0	0	0	0	0	0.131527028804419	0	0	0	0	0	0	0	0	0	0	0.0723398658424306	0	0	0	0	0.111797974483756	0	0.184137840326187	0	0	0.0131527028804419	0	0	0	0	0	0	0	0	0.388004734973037	0	0	0	0	0	0.0526108115217677	0	0	0	0	0	0.0394581086413258	0	0	0	0	0	0	0	0	0	0	0	0	0.0789162172826516	0	1.11140339339734
