genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Malassezia	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	86.1585
g__Rhodotorula	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	2.2789
g__Mucor	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	1.5851
g__Naganishia	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	0.7669
g__Lasiobolus	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascodesmidaceae	0.7386
g__Debaryomycetaceae_gen_Incertae_sedis	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	0.6998
g__Cladosporium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	0.6647
Unassigned						0.6616
g__Neurospora	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariaceae	0.6344
g__Mortierella	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	0.434
g__Saccharomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.4273
g__Cercozoa_gen_Incertae_sedis	k__Rhizaria	p__Cercozoa	c__Cercozoa_cls_Incertae_sedis	o__Cercozoa_ord_Incertae_sedis	f__Cercozoa_fam_Incertae_sedis	0.4096
g__Fusarium	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	0.3926
g__Lasiobolidium	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pseudombrophilaceae	0.3736
g__Enterocarpus	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	0.3498
g__Penicillium	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	0.3058
g__Arabidopsis	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Brassicales	f__Brassicaceae	0.218
g__Raphanus	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Brassicales	f__Brassicaceae	0.1974
g__Stagonosporopsis	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.1923
g__Didymella	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.1426
g__Alternaria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	0.1394
