genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Malassezia	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	74.5908
g__Aspergillus	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	2.9518
g__Candida	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	2.8511
g__Oligophagozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	2.0777
Unassigned	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Rosales	f__Moraceae	1.4915
g__Triticum	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	1.2863
g__Zea	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	1.1304
g__Styphnolobium	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	1.1077
g__Alternaria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	0.975
g__Didymella	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.9688
g__Cladosporium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	0.8833
g__Cryptococcus	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	0.6331
g__Naganishia	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	0.6261
g__Brassica	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Brassicales	f__Brassicaceae	0.5309
g__Penicillium	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	0.5235
g__Rhodotorula	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	0.4348
g__Humulus	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Rosales	f__Cannabaceae	0.3325
g__Aureobasidium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Saccotheciaceae	0.318
g__Mortierella	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	0.2869
g__Artemisia	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	0.2397
g__Vacuiphoma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.2229
g__Solanum	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Solanales	f__Solanaceae	0.2066
g__Cucurbita	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Cucurbitales	f__Cucurbitaceae	0.1918
g__Trichophyton	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Arthrodermataceae	0.1532
g__Rhizopus	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Rhizopodaceae	0.1493
