genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Malassezia	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	38.4187
Unassigned	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	26.0178
g__Cladosporium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	8.1188
g__Alternaria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	2.6129
g__Wallemia	k__Fungi	p__Basidiomycota	c__Wallemiomycetes	o__Wallemiales	f__Wallemiaceae	2.3943
g__Candida	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	1.6461
g__Naganishia	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	1.4261
g__Aspergillus	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	1.4183
g__Didymella	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	1.294
g__Vishniacozyma	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	1.1931
g__Fusicolla	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	0.8915
g__Schizophyllum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Schizophyllaceae	0.8558
g__Epicoccum	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.8273
g__Curvularia	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	0.8204
g__Fusarium	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	0.7295
g__Oligophagozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.7077
g__Filobasidium	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	0.6374
g__Nigrospora	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Apiosporaceae	0.573
g__Cutaneotrichosporon	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	0.5097
g__Trichosporon	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	0.5097
g__Rhodotorula	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	0.4961
g__Meyerozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	0.4283
g__Hannaella	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	0.3644
g__Cystobasidium	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiales	f__Cystobasidiaceae	0.2866
g__Kodamaea	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Metschnikowiaceae	0.2707
g__Symmetrospora	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiomycetes_ord_Incertae_sedis	f__Symmetrosporaceae	0.2449
