genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Trichosporon	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	53.626
Unassigned	k__Fungi	p__Ascomycota	c__Dothideomycetes			16.8061
g__Cladosporium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	3.8786
g__Candida	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	2.9178
g__Malassezia	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	2.7439
g__Paecilomyces	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Thermoascaceae	2.1191
g__Geotrichum	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	1.3339
g__Meyerozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	1.1896
g__Cucurbita	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Cucurbitales	f__Cucurbitaceae	1.0154
g__Trichoderma	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	0.8222
g__Rhodotorula	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	0.7684
g__Prototheca	k__Viridiplantae	p__Chlorophyta	c__Trebouxiophyceae	o__Chlorellales	f__Chlorellaceae	0.7458
g__Alternaria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	0.7423
g__Saccharomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.7417
g__Betula	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fagales	f__Betulaceae	0.6689
g__Eukaryota_gen_Incertae_sedis	k__Eukaryota_kgd_Incertae_sedis	p__Eukaryota_phy_Incertae_sedis	c__Eukaryota_cls_Incertae_sedis	o__Eukaryota_ord_Incertae_sedis	f__Eukaryota_fam_Incertae_sedis	0.6514
g__Debaryomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	0.6081
g__Penicillium	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	0.479
g__Cercozoa_gen_Incertae_sedis	k__Rhizaria	p__Cercozoa	c__Cercozoa_cls_Incertae_sedis	o__Cercozoa_ord_Incertae_sedis	f__Cercozoa_fam_Incertae_sedis	0.4766
g__Imleria	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Boletaceae	0.4473
g__Prunus	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Rosales	f__Rosaceae	0.4454
g__Hormonema	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Dothideales_fam_Incertae_sedis	0.376
g__Lentitheciaceae_gen_Incertae_sedis	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lentitheciaceae	0.3737
g__Pichia	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	0.3119
g__Nakazawaea	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	0.2877
g__Urtica	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Rosales	f__Urticaceae	0.2505
g__Diplodia	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Botryosphaeriaceae	0.2488
g__Neptunomyces	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	0.2401
g__Cucumis	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Cucurbitales	f__Cucurbitaceae	0.2205
g__Solanum	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Solanales	f__Solanaceae	0.2179
g__Aspergillus	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	0.2095
g__Phaeosphaeria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	0.2013
g__Triticum	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	0.1526
g__Baeospora	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Agaricales_fam_Incertae_sedis	0.1333
g__Sporobolomyces	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	0.13
g__Naganishia	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	0.1294
g__Amyloxenasma	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Amylocorticiales	f__Amylocorticiaceae	0.1157
g__Barnettozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	0.0914
g__Kurtzmaniella	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	0.0898
g__Coelastrella	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Sphaeropleales	f__Scenedesmaceae	0.0893
g__Dipodascaceae_gen_Incertae_sedis	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	0.0769
g__Deschampsia	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	0.0734
g__Piskurozyma	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	0.0734
g__Pseudomerulius	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Tapinellaceae	0.0707
g__Cladophialophora	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	0.0682
g__Yarrowia	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	0.0682
g__Symmetrospora	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiomycetes_ord_Incertae_sedis	f__Symmetrosporaceae	0.0656
g__Cutaneotrichosporon	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	0.0652
g__Allium	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Asparagales	f__Amaryllidaceae	0.0597
g__Peniophora	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	0.0563
g__Bullera	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	0.0551
g__Starmerella	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	0.053
g__Aureobasidium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Saccotheciaceae	0.0529
g__Cryptococcus	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	0.0506
g__Buckleyzyma	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Buckleyzymales	f__Buckleyzymaceae	0.0491
g__Pseudopithomyces	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	0.0487
g__Filobasidium	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	0.0486
g__Neoascochyta	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.0474
g__Exophiala	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	0.047
g__Linum	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Malpighiales	f__Linaceae	0.0442
g__Itersonilia	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	0.0441
g__Valerianella	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Dipsacales	f__Caprifoliaceae	0.0438
g__Brassica	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Brassicales	f__Brassicaceae	0.0434
g__Pleurotus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pleurotaceae	0.0418
g__Atheliaceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	0.0349
