ASV	SRR11426356	SRR11426357	SRR11426369	SRR11426371	SRR11426372	SRR11426373	SRR11426374	SRR11426377	SRR11426379	SRR11426383	SRR11426384	SRR11426385	SRR11426387	SRR11426388	SRR11426391	SRR11426394	SRR11426399	SRR11426402	SRR11426403	SRR11426404	SRR11426407	SRR11426354	SRR11426410	SRR11426412	SRR11426355	SRR11426358	SRR11426359	SRR11426360	SRR11426362	SRR11426363	SRR11426364	SRR11426366	SRR11426367	SRR11426368	SRR11426375	SRR11426380	SRR11426381	SRR11426382	SRR11426392	SRR11426395	SRR11426401	SRR11426405	SRR11426408	SRR11426409	SRR11426413	SRR11426361	SRR11426365	SRR11426370	SRR11426376	SRR11426378	SRR11426386	SRR11426389	SRR11426390	SRR11426393	SRR11426396	SRR11426397	SRR11426398	SRR11426400	SRR11426406	SRR11426411
ASV0001	20429	13	301	765	69	212	1150	28485	41	39816	1153	5629	1761	4	829	1333	33	169	566	415	3194	8496	49625	3722	34159	12647	295	123	228	1270	2508	5085	91	4532	11563	14755	57147	19225	6538	2595	5351	349	23628	14056	1461	170	1198	29472	250	44731	10	1226	926	518	344	3670	344	9294	10640	9390
ASV0002	317	0	411	10862	0	9746	2411	6	147	196	0	1	2742	0	3863	2	0	39504	1974	15	4488	4	31	1965	0	0	207	26	12	12	23	18875	17878	0	4180	10585	0	10	7	4585	3	13	130	10	1054	32	6013	1484	7	9	3	5722	14916	7	6050	17627	3	1543	601	12415
ASV0003	341	0	13	145	1312	3	75	73	10	3191	12860	394	519	0	171	31	0	23	2741	0	60	0	7141	22130	111	0	19	79	120	72	28826	1329	16	146	17331	4959	0	266	0	1044	609	26	380	117	27858	14	12783	488	17	17630	0	165	194	191	1199	974	15	522	6732	9983
ASV0004	864	8	249	4224	1080	199	1732	5991	99	5265	612	14092	839	0	4506	1079	193	577	672	36	1140	2285	4488	1225	61	467	168	287	320	4761	4215	6463	72	2057	6063	2448	3373	47	278	1540	430	265	4927	2615	2384	120	10971	8629	198	1882	2	401	265	462	975	8184	479	3627	1486	2268
ASV0005	44	0	47	3445	128	1333	296	0	27	505	7	1	594	0	932	8	12	7410	772	44	937	220	0	201	6	0	13	25	4	6	108	3363	3858	0	527	1937	801	0	27	852	14	0	69	4	486	3	889	131	0	11	0	625	2238	8	768	3030	16	169	68	2060
ASV0006	482	0	89	9426	221	2189	86	16	0	2973	63	19	155	0	2352	420	18	196	922	305	76	367	136	10	19	2	141	55	77	362	867	729	0	117	874	88	1022	0	126	1749	312	17	155	7	3045	19	53	59	24	74	0	871	80	113	7	622	19	1076	155	148
ASV0007	0	0	0	0	26	0	0	0	0	68	51	0	0	0	0	1	0	0	86	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5816	0	0	0	0	3116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22251
ASV0008	63	2	0	4565	285	41	39	55	34	246	28	8	20	0	9997	20	0	515	799	1	41	312	213	2	5	0	437	166	11	6	3749	578	19	28	296	91	932	20	352	1938	25	4	515	25	0	45	45	54	41	113	0	1156	5	22	10	243	153	379	149	103
ASV0009	3066	0	21	16	1	9	58	554	17	12573	0	15	22	0	518	0	6	15	19	60	2	29	115	3	29	0	14	3	34	3	12	20	3	21	347	74	27	39	7	265	69	61	121	282	11	0	46	87	3	72	0	89	16	90	5	9	9	929	49	24
ASV0010	374	0	9	1023	14	40	97	18	0	1914	35	2404	37	0	1073	135	4	222	73	29	73	892	2201	96	4	219	45	29	66	137	115	144	20	220	262	167	993	4	72	130	27	74	45	19	449	17	41	72	16	365	0	233	82	56	9	105	40	598	155	337
