ASV	SRR14277122	SRR14277130	SRR14277133	SRR14277136	SRR14277138	SRR14277139	SRR14277140	SRR14277146	SRR14277147	SRR14277148	SRR14277149	SRR14277158	SRR14277162	SRR14277165	SRR14277166	SRR14277167	SRR14277181	SRR14277182	SRR14277190	SRR14277196	SRR14277197	SRR14277198	SRR14277203	SRR14277209	SRR14277211	SRR14277212	SRR14277214	SRR14277217	SRR14277118	SRR14277119	SRR14277120	SRR14277121	SRR14277124	SRR14277126	SRR14277127	SRR14277128	SRR14277134	SRR14277135	SRR14277137	SRR14277141	SRR14277143	SRR14277145	SRR14277150	SRR14277153	SRR14277154	SRR14277156	SRR14277160	SRR14277170	SRR14277171	SRR14277172	SRR14277173	SRR14277174	SRR14277180	SRR14277187	SRR14277188	SRR14277189	SRR14277191	SRR14277194	SRR14277202	SRR14277204	SRR14277206	SRR14277207	SRR14277210	SRR14277213	SRR14277215	SRR14277216	SRR14277123	SRR14277125	SRR14277129	SRR14277131	SRR14277132	SRR14277142	SRR14277144	SRR14277151	SRR14277152	SRR14277155	SRR14277157	SRR14277159	SRR14277161	SRR14277163	SRR14277164	SRR14277168	SRR14277169	SRR14277175	SRR14277176	SRR14277177	SRR14277178	SRR14277179	SRR14277183	SRR14277184	SRR14277185	SRR14277186	SRR14277192	SRR14277193	SRR14277195	SRR14277199	SRR14277200	SRR14277201	SRR14277205	SRR14277208	SRR14277218	SRR14277219
ASV0001	52473	45372	26775	16749	27427	15340	49402	31986	34052	32685	29358	15814	29927	21207	28772	14093	37822	23828	8643	2720	5644	6122	44644	48387	17499	30207	41884	17141	41878	28289	21585	11642	24028	17249	26831	11265	19536	32553	47402	5893	10509	13273	56346	34500	34464	12594	18703	1419	1647	62892	15541	18422	11346	196	10173	13070	3697	45048	51685	25369	25063	48247	29489	40471	15595	17599	21885	33953	40314	24913	65699	11826	15455	41808	28342	13176	27522	18300	27045	38366	35086	33356	26739	35385	17166	14167	7057	7880	45384	13642	6486	1949	33003	47586	6625	41382	47902	50555	13394	35084	38984	34628
ASV0002	2350	41	2884	1810	1193	403	5255	550	110	1210	5733	632	594	1808	2544	1773	53	2241	2651	234	5398	156	3237	1636	9638	1766	4215	76	3648	3209	4184	2177	1547	174	271	2218	7204	7252	965	291	704	2964	1326	1628	1366	2404	5888	4924	3880	589	160	256	1596	35	134	656	624	1259	713	1822	3160	1149	11388	7537	11823	9150	897	2005	305	198	432	2430	2921	222	363	2088	715	4698	2216	1739	4257	1120	986	723	572	1649	1317	1058	936	753	882	194	3135	5062	7642	6137	2059	3737	497	6249	1706	4160
ASV0003	4581	1886	20655	3533	2105	776	1485	4984	1225	9100	3525	5195	581	176	2013	712	179	528	236	365	317	32	124	228	46	11148	257	120	641	585	1133	864	1257	726	435	979	16489	2463	1082	4901	169	1023	730	860	1708	6383	6226	82	11	2373	197	1708	18	14	57	221	72	1303	100	114	8924	2595	121	3492	861	442	1452	389	5068	2077	4169	798	2821	1173	4671	6103	2978	7546	2927	416	247	2178	803	182	173	401	1289	73	314	809	350	72	821	2929	681	244	525	142	2251	194	846	1175
ASV0004	344	0	0	34	14470	17745	40	0	0	12	4	379	0	19170	28	238	3	7	3211	0	41	17	4	0	15274	14	5	24	11	2	196	913	9	21	0	25616	14	33	1260	478	480	61	3537	6	84	7	457	22731	7337	12	53	10	0	0	11	46	2268	575	0	3	8	4	100	58	90	65	4607	8	40	2	0	127	47	0	4	7	38	316	15125	45	1753	0	0	0	39	1	1	0	486	43	44	3	69	2918	17	26	1072	0	55	14	11	27
ASV0005	1114	17	9	112	441	169	3389	15	0	25	28	70	9	71	1802	15	47	84	6060	1077	4274	107	2571	16	70	114	2	13	536	271	2808	2068	181	12743	12449	424	91	84	167	2975	0	170	15	157	71	61	59	326	272	124	726	1673	508	37	135	477	4203	151	695	47	15	0	793	83	52	50	310	420	50	259	734	96	674	161	715	38	77	147	154	86	30	40	57	942	786	124	161	3036	857	362	838	514	112	1437	5859	565	875	2671	454	55	12	196
ASV0006	0	23	331	678	0	501	106	115	66	191	850	414	156	67	281	0	44	139	256	113	0	43	1057	2321	0	454	2316	101	544	707	830	1530	575	814	1805	122	684	265	0	118	0	765	80	518	1331	1853	592	4118	3520	26	137	673	1021	9	80	363	249	0	1788	3486	239	178	1231	253	6060	5298	0	0	77	49	703	0	2964	0	0	1221	227	3528	198	171	79	50	6	582	627	808	639	1285	1073	582	401	108	50	798	137	230	127	1180	2169	5202	300	1521
ASV0007	2106	0	0	6	171	6656	6	8	0	0	7	410	27	797	111	8	35	2740	21	5	42	5251	414	8	0	307	1078	6673	26	25	387	11808	10	17	51	6311	27	0	18	0	198	51	0	146	2566	20	2	729	2633	145	0	0	53	0	0	128	19	75	568	152	14	7	394	145	3516	5109	4627	5	118	0	0	0	0	2	0	8	212	26	33	87	998	0	0	11	28	9	5	61	131	49	344	13	28	427	108	0	0	540	3078	2	12	0
ASV0008	25	0	8	14807	6	58	2	0	0	0	0	0	0	4	0	0	0	0	79	0	12	0	0	0	0	36	0	0	290	697	0	0	0	0	0	108	0	5854	0	0	0	0	21	0	0	0	441	11	0	0	0	0	0	13	9094	30865	161	21	0	0	45	0	8	3	2	0	52	0	0	6	18	69	55	33	77	0	5	443	52	0	0	0	0	15	0	0	0	0	26	2298	2651	111	190	2023	21	0	0	0	0	0	4	0
ASV0009	434	6	451	180	846	43	613	364	83	258	110	613	125	198	201	355	18	1202	214	170	458	0	87	4283	44	3561	2172	13	153	78	372	158	610	130	56	99	319	1243	668	140	48	789	24	350	187	1672	2118	110	63	116	642	1358	3790	7	147	229	87	101	658	29	4520	319	260	89	361	720	177	1040	28	118	88	590	1132	45	191	1281	426	3757	0	265	163	67	59	582	348	592	445	2470	103	226	4	46	174	31	426	1178	5296	103	457	8252	335	222
ASV0010	0	44	0	88	434	261	121	1624	506	501	68	16	48	1077	85	126	0	0	11	0	0	0	0	393	0	12722	74	35	0	0	37	49	0	0	0	834	0	0	109	45	126	104	123	248	116	1294	0	0	5	981	0	0	0	0	91	214	21	323	1507	6	10571	2633	88	222	174	126	0	0	45	15	116	53	112	457	7014	393	56	44	0	100	1058	0	0	41	0	645	3053	0	220	0	0	32	102	19	0	50	23	12	52	167	30	251
