ASV	SRR11605061	SRR11605064	SRR11605067	SRR11605068	SRR11605073	SRR11605080	SRR11605081	SRR11605082	SRR11605083	SRR11605084	SRR11605085	SRR11605086	SRR11605087	SRR11605089	SRR11605090	SRR11605091	SRR11605054	SRR11605055	SRR11605056	SRR11605058	SRR11605063	SRR11605065	SRR11605066	SRR11605070	SRR11605071	SRR11605074	SRR11605075	SRR11605076	SRR11605077	SRR11605088	SRR11605095	SRR11605057	SRR11605059	SRR11605060	SRR11605062	SRR11605069	SRR11605072	SRR11605078	SRR11605079	SRR11605092	SRR11605093	SRR11605094
ASV0001	4062	104	2042	638	395	750	2010	7397	1003	563	16136	3683	3849	1508	0	1009	290	3423	151	627	1610	7255	8290	922	19567	543	1104	639	10554	12863	151506	429	1191	606	11674	86	574	701	1626	2699	1802	44301
ASV0002	25831	60	10588	2636	1213	636	2578	13605	11185	10201	688	211	184	285	0	230	52	23496	134	3420	571	2444	13908	503	4197	1244	5234	570	70420	1194	0	235	4992	303	39839	1109	2282	153	2527	411	1268	176
ASV0003	87	45	362	136	848	219	350	11490	3512	184	130	128	114	272	37	157	192	318	143	4294	266	108	241	370	9870	686	5274	597	3712	141	59	295	4154	211	30	202	972	79	293	380	621	1550
ASV0004	11	3	20	0	0	0	101	0	2358	30735	0	0	0	0	0	14	4	0	8	0	0	46	1088	11	21	16	730	0	0	0	0	11	1659	0	0	6	0	16143	0	0	0	0
ASV0005	0	0	0	0	0	5	22654	31	0	0	9	2918	1	167	11231	1661	0	0	0	0	0	0	4	0	0	0	0	0	0	9	0	0	1087	0	0	0	8	0	0	0	1955	0
ASV0006	909	82	317	535	4534	64	2038	2640	569	538	474	144	824	1365	60	673	174	880	423	885	173	339	5452	151	565	101	837	256	884	237	5144	178	1220	79	165	125	511	58	1222	190	144	3303
ASV0007	110	0	0	0	0	20	134	427	0	275	0	236	456	27	0	226	266	273	118	0	94	71	127	62	22041	0	0	0	0	0	68	209	38	100	0	0	0	0	19	443	1365	3242
ASV0008	1	0	207	182	886	121	83	8516	62	47	74	29	27	131	10	48	61	37	59	2526	91	0	70	132	39	558	3884	372	2839	47	9	94	2965	78	0	83	811	63	83	83	0	0
ASV0009	2	0	141	123	676	110	159	8053	35	34	74	42	29	160	5	51	58	57	40	2911	77	0	59	96	24	680	3968	472	2583	26	14	141	3143	128	0	107	880	48	78	44	0	0
ASV0010	92	0	0	0	0	0	132	261	0	46	0	50	0	0	0	50	134	146	72	0	73	101	94	20	15225	0	0	0	0	0	46	134	46	70	0	0	0	0	4	217	633	2409
ASV0011	4	211	0	917	1	129	95	0	0	6	933	3962	0	6231	0	0	0	8	2	0	2972	0	5	5	0	17	0	9	1913	0	1532	0	28	9	0	33	0	0	18	10	748	36
ASV0012	0	0	111	85	467	20	50	6196	17	84	48	6	21	72	6	35	62	49	74	1573	45	0	70	140	29	386	2362	263	1858	52	2	89	2021	68	0	55	411	26	70	16	0	0
ASV0013	2	0	55	56	394	19	62	5128	20	82	86	20	33	97	8	27	15	33	23	1495	29	0	60	98	48	113	2467	361	1912	60	10	76	1983	53	0	59	421	47	81	18	0	0
ASV0014	0	0	103	93	430	99	110	4639	6	59	21	31	5	90	3	12	3	51	42	1552	15	0	58	82	11	321	2202	172	1598	61	0	30	1626	36	0	48	450	32	59	59	0	0
ASV0015	44	0	0	0	0	8	101	127	0	56	0	68	19	0	0	61	121	91	27	0	61	57	39	28	10529	0	0	0	0	0	25	108	22	38	0	0	0	0	0	184	395	1616
ASV0016	8	3	15	196	225	51	56	2045	654	21	51	7	22	29	6	2673	9	25	26	655	10	7	69	87	61	99	971	93	637	38	1	6	736	0	2541	19	324	13	24	46	13	7
ASV0017	11	7	93	50	257	22	85	3172	322	37	5	15	2	79	0	26	28	99	48	1059	61	9	62	122	346	144	1407	83	1445	46	2	27	1289	53	4	15	415	17	61	22	68	55
ASV0018	452	123	503	168	59	129	298	166	84	322	325	270	192	706	62	591	90	425	483	1	526	391	318	359	265	208	60	159	235	315	57	238	47	324	767	15	102	134	217	217	464	165
ASV0019	98	0	0	1	0	34	112	65	3778	146	0	84	279	13	0	117	106	85	22	3	37	56	34	36	4698	0	6	0	11	0	32	29	12	6	0	0	0	0	21	67	170	806
ASV0020	0	1	42	118	211	73	61	3538	17	51	45	22	0	56	17	30	11	11	51	1082	26	0	57	88	0	153	1612	123	1175	0	0	39	1399	25	0	58	293	46	22	1	0	0
ASV0021	0	0	71	14	265	50	10	3548	14	50	27	23	0	11	6	22	23	0	18	1027	40	0	37	51	6	234	1721	198	1121	18	15	48	1250	26	0	7	384	14	19	42	0	0
ASV0022	1	0	27	35	349	17	2	3443	27	51	70	35	25	33	0	21	27	14	15	1053	35	0	19	61	60	134	1722	201	1066	0	11	49	1315	35	0	59	278	17	23	8	0	0
ASV0023	440	40	794	338	33	16	85	83	9	93	94	15	384	48	0	14	53	63	15	4	85	234	1171	7	115	0	9	64	16	61	623	62	9	24	180	3	29	49	78	32	12	4499
ASV0024	2	0	44	51	239	65	38	3431	17	38	28	55	0	44	34	24	33	15	86	1021	29	0	24	17	11	296	1518	132	781	12	4	17	1155	13	0	17	310	0	34	21	0	0
ASV0025	2	0	119	78	305	19	36	3161	20	20	35	9	70	56	29	29	12	40	34	1017	31	0	15	69	18	110	1439	89	1061	25	3	6	1007	30	0	38	279	32	60	51	7	0
ASV0026	0	0	33	36	253	38	11	3456	30	0	28	16	11	69	1	0	11	31	46	885	0	0	8	47	17	340	1403	136	925	46	0	25	1098	36	0	58	295	13	19	33	0	0
ASV0027	1	0	30	54	272	20	13	2802	23	61	12	32	56	11	0	28	31	1	0	931	19	0	11	38	12	215	1126	119	910	66	7	26	1031	19	1	31	134	36	21	2	0	0
ASV0028	0	0	93	14	130	21	56	2692	27	13	12	8	23	45	0	7	31	34	14	722	31	0	12	47	27	175	1060	124	755	6	0	19	937	7	0	25	214	0	7	4	0	0
ASV0029	238	0	56	96	174	26	15	2419	13	45	28	1	10	11	0	7	8	4	7	592	78	2	30	32	28	221	960	100	867	31	0	0	856	37	0	31	184	33	31	3	0	26
ASV0030	57	0	0	0	0	0	70	89	0	23	0	11	0	0	0	20	22	51	25	1	26	70	30	0	5389	0	0	0	0	0	13	99	8	5	0	0	0	0	0	125	231	733
ASV0031	2	0	25	30	187	42	11	2223	31	6	18	4	29	76	9	29	16	2	22	789	4	0	47	39	44	39	1087	90	944	7	5	50	953	39	0	30	114	3	21	18	0	1
ASV0032	1	0	53	23	214	0	29	2459	0	12	40	0	16	69	0	9	11	13	17	636	17	0	16	14	5	101	1102	67	947	25	0	30	732	21	0	29	266	5	0	21	0	0
ASV0033	0	0	42	39	179	15	63	2170	24	0	18	0	0	53	10	43	23	0	26	678	0	0	26	59	21	124	928	134	758	19	3	45	854	18	0	18	142	20	0	14	0	0
ASV0034	0	0	74	21	206	26	11	2224	5	5	43	20	0	77	10	0	4	14	12	703	30	0	26	9	7	117	932	86	605	3	9	21	830	19	0	8	284	9	47	0	0	0
ASV0035	0	0	55	14	131	14	12	2135	10	39	43	26	6	38	0	23	2	45	12	728	22	0	0	94	9	36	899	120	686	11	0	38	683	3	0	37	180	23	4	19	0	0
ASV0036	32	8	0	0	0	6	61	61	0	136	0	83	281	10	0	86	77	91	31	0	17	40	67	0	4009	0	0	0	0	0	12	76	6	9	0	0	0	0	0	31	187	633
ASV0037	1	5	6	4	148	57	50	1966	0	11	9	23	0	56	0	23	24	41	3	577	0	0	8	32	10	123	793	78	591	25	0	21	726	15	0	35	188	22	11	5	0	0
ASV0038	0	0	63	40	213	8	33	1653	7	0	13	0	20	19	0	33	2	0	35	632	56	0	0	72	10	128	813	42	721	20	0	0	575	10	0	8	205	10	39	26	0	0
ASV0039	0	0	31	21	129	0	20	1764	0	9	0	8	4	36	0	6	18	5	15	462	4	0	10	51	0	102	836	114	630	22	0	4	518	27	0	47	157	11	28	2	0	0
ASV0040	0	0	8	6	153	9	0	1531	0	6	14	14	33	0	0	43	14	6	28	474	6	0	21	87	6	126	668	85	585	4	0	13	584	3	0	23	122	16	16	13	0	0
ASV0041	0	0	59	31	184	30	24	1512	0	0	10	0	15	0	0	23	12	0	0	456	25	0	0	22	0	79	604	83	583	4	0	21	553	0	0	6	170	5	42	0	0	0
ASV0042	0	0	0	0	0	4	0	0	4456	0	0	19	24	0	0	0	7	0	0	0	0	0	0	23	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
ASV0043	30	8	37	406	15	11	158	542	13	459	95	7	12	33	27	14	16	29	58	187	9	131	14	25	26	21	201	10	137	20	16	18	235	195	708	35	107	9	240	63	15	38
ASV0044	7	0	9	32	245	11	31	1398	4	9	15	44	0	40	0	26	0	9	13	435	0	0	8	16	53	111	634	90	438	5	0	0	447	35	13	26	127	8	61	8	0	0
ASV0045	33	29	19	6	36	77	36	583	106	18	11	19	14	7	0	36	7	37	3	194	29	0	22	0	1685	33	259	50	177	25	13	9	164	9	12	10	82	7	13	2	123	263
ASV0046	0	0	46	12	64	37	41	1589	6	0	0	9	16	9	0	0	0	0	0	384	5	0	35	25	3	91	586	58	402	8	1	23	427	17	0	8	54	43	6	12	0	0
ASV0047	0	0	36	3	54	28	41	1233	0	26	12	0	38	12	0	8	4	0	7	467	33	0	0	25	6	81	644	43	505	15	2	18	376	17	0	32	149	0	10	0	0	1
ASV0048	12	0	0	0	0	4	12	72	0	20	0	0	0	0	0	11	32	2	16	0	8	7	32	0	2668	0	0	0	0	0	6	60	12	0	0	0	0	0	0	53	170	527
