ASV	SRR11604871	SRR11604872	SRR11604873	SRR11604876	SRR11604877	SRR11604879	SRR11604884	SRR11604886	SRR11604887	SRR11604890	SRR11604892	SRR11604904	SRR11604905	SRR11604908	SRR11604870	SRR11604874	SRR11604878	SRR11604882	SRR11604888	SRR11604889	SRR11604891	SRR11604894	SRR11604895	SRR11604896	SRR11604900	SRR11604902	SRR11604906	SRR11604907	SRR11604910	SRR11604911	SRR11604875	SRR11604880	SRR11604881	SRR11604883	SRR11604885	SRR11604893	SRR11604897	SRR11604898	SRR11604899	SRR11604901	SRR11604903	SRR11604909
ASV0001	5979	69891	71075	1175	1031	12436	5608	4135	1136	7570	1842	2956	15835	25144	49135	22978	11388	3094	23793	16242	803	6378	7836	11060	2291	9433	115315	4035	2391	198568	0	0	4073	33068	5465	9215	1174	6277	468	130738	6486	4253
ASV0002	56	0	1872	2023	50	0	137	528	22	9837	27228	15	283	20	0	2996	0	1	0	11421	5724	3585	395	2205	199	67	2364	40	0	0	50143	328	0	76	35	3439	221	511	4114	1211	0	0
ASV0003	0	0	191	0	0	0	0	0	25	1459	0	0	0	200	0	0	0	0	0	849	0	64	114	525	0	0	0	0	0	112541	0	7	0	0	11	0	0	0	0	0	0	0
ASV0004	0	0	0	0	5	429	0	0	0	0	0	36401	46327	0	0	0	0	0	37	0	0	0	0	0	71	209	0	390	0	0	0	0	0	0	0	2	50	0	0	569	4242	0
ASV0005	70	0	0	1335	13	0	485	1217	50	5550	14817	33	0	67	0	0	0	0	0	3334	4402	2137	296	0	204	0	1439	26	0	0	30162	283	0	9	19	346	170	0	2395	0	0	84
ASV0006	0	0	0	0	0	0	0	0	0	0	0	0	0	42	2599	0	0	34	0	47553	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	34
ASV0007	51	1637	830	522	19	0	82	0	5	5777	8789	19	0	12	0	0	0	0	0	5151	3435	1117	218	1588	30	0	727	12	0	0	16135	179	0	24	0	619	120	206	1082	0	71	23
ASV0008	0	0	0	0	0	0	0	100	0	0	0	92	0	0	49	4300	0	0	0	1394	0	0	0	0	0	0	7607	59	0	16198	0	0	0	0	603	0	0	0	0	6415	0	0
ASV0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35497	0	0	0	0	0	0	0	0	0	0
ASV0010	78	0	0	405	0	0	0	1076	1	1590	6125	0	218	0	0	0	0	0	0	2901	2040	596	95	1838	192	0	4124	0	0	0	10557	105	0	0	0	830	123	0	976	202	0	107
ASV0011	173	6679	9325	33	112	700	373	0	418	320	379	0	298	343	211	305	1293	451	505	367	0	114	155	730	613	0	3425	46	667	3185	0	128	469	74	414	0	595	0	0	1139	0	24
ASV0012	23	0	0	274	27	0	268	0	0	2284	6746	0	0	0	68	1156	0	0	0	6327	1187	371	240	0	0	0	0	0	0	0	12615	0	0	0	0	0	170	0	628	0	0	61
ASV0013	22	1092	635	355	11	0	39	1	0	3030	6067	9	0	0	0	0	0	0	0	2782	2411	794	108	874	14	0	518	13	0	0	11267	124	0	14	5	396	52	131	567	0	33	7
ASV0014	0	0	0	314	2	0	163	483	1	1646	5473	0	0	0	0	2127	0	0	0	2690	1713	511	157	0	229	0	0	0	0	0	8249	0	0	0	26	0	0	0	765	0	0	19
ASV0015	8	0	0	335	0	0	0	287	0	1530	3286	0	77	0	0	0	78	0	45	2950	2289	566	0	0	0	0	0	0	0	0	10787	0	0	53	3	558	0	0	801	0	11	31
ASV0016	0	0	2770	454	8	0	0	579	19	1068	3975	15	77	36	0	0	0	0	0	1881	2452	618	0	0	0	25	0	20	0	0	7431	90	0	10	0	883	0	0	503	0	25	0
ASV0017	0	1550	0	272	7	0	0	0	0	455	4392	0	60	0	0	0	0	0	0	1188	3420	465	0	686	29	0	693	0	0	0	6861	0	0	0	6	1302	0	0	405	0	0	0
ASV0018	0	0	0	374	1	0	0	0	122	1746	4830	0	0	68	0	0	0	32	0	940	1847	520	0	0	210	0	824	0	0	0	7999	0	0	0	17	311	0	0	878	0	25	0
ASV0019	0	640	0	108	50	837	28	0	0	39	0	98	0	126	576	1020	197	20	1209	138	0	11	143	0	72	0	5393	0	620	5486	0	880	0	0	10	0	21	0	1974	0	37	21
ASV0020	30	730	3	266	83	0	0	146	38	511	5003	0	0	0	54	0	0	0	0	898	1686	821	81	584	0	0	0	0	0	0	7002	0	0	0	0	530	0	302	325	0	0	0
ASV0021	0	1453	9960	0	9	37	452	0	0	205	0	110	139	318	40	536	104	42	126	282	0	160	37	713	0	0	0	622	67	2271	0	506	33	78	0	0	30	0	115	295	0	59
ASV0022	0	0	0	371	0	0	0	192	0	75	4851	0	0	0	0	0	53	0	120	770	1520	558	0	0	0	0	1473	0	0	0	7657	0	0	0	7	652	0	0	341	0	0	0
ASV0023	0	0	1475	433	0	0	0	0	0	1468	3186	0	0	0	0	0	0	0	177	480	3039	282	66	0	0	0	14	0	0	0	6995	127	0	0	14	0	0	0	728	0	0	0
ASV0024	0	0	0	208	82	0	0	0	0	1666	2773	0	0	4	0	0	0	0	0	3689	624	496	131	1765	0	0	0	7	0	0	6131	0	0	50	0	0	0	276	440	0	0	0
ASV0025	0	0	0	0	0	372	0	0	0	82	0	0	57	66	0	0	0	16	645	0	0	10	0	397	0	82	14010	0	126	204	0	65	259	0	95	0	0	0	0	0	313	46
ASV0026	0	4581	0	0	0	0	0	3009	482	0	0	0	8	0	0	0	2149	0	54	0	0	168	24	2341	1885	0	0	0	0	0	0	0	23	0	8	0	0	1829	30	0	30	0
ASV0027	128	1863	0	86	0	0	0	0	0	663	1881	0	0	0	0	0	0	0	0	0	757	78	0	4213	0	0	1	0	0	0	5710	0	0	0	0	0	0	0	513	468	9	0
ASV0028	0	0	10626	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	2399	0	0	0	0	858	0	150	0	0	57	0	219	0	59	0	0	0
ASV0029	15	531	0	137	0	0	0	26	24	502	2272	0	24	0	0	0	0	0	0	674	1760	344	57	0	0	18	0	0	0	0	6284	0	0	5	0	417	17	0	363	114	0	0
ASV0030	0	0	0	215	3	0	0	0	0	599	2915	0	0	0	0	0	0	0	0	0	3567	320	0	0	42	0	0	0	0	0	4026	0	0	0	0	830	0	0	343	0	22	0
ASV0031	0	11087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0032	0	0	0	0	0	1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
ASV0033	18	0	506	0	90	96	403	233	167	87	0	0	379	343	0	923	78	571	85	760	421	13	558	2336	244	206	164	164	0	460	59	18	323	91	223	250	99	199	75	320	0	0
ASV0034	0	0	0	131	0	0	0	12	0	1364	2256	0	0	108	0	1577	0	0	0	0	0	440	0	0	0	0	0	0	0	0	4069	179	0	0	3	0	140	0	253	0	1	0
ASV0035	0	0	0	139	0	0	0	0	0	284	2593	0	0	16	0	0	0	0	0	0	0	247	0	0	356	0	0	0	0	0	5584	0	0	0	19	553	0	0	448	0	13	0
ASV0036	0	0	0	170	0	0	0	705	0	751	1733	0	0	0	65	0	0	0	0	1647	0	222	0	0	0	0	0	0	0	0	4333	0	0	0	0	314	0	0	189	0	0	0
ASV0037	4	0	0	157	0	0	0	0	0	1605	1903	0	0	0	0	0	0	0	0	2079	29	217	0	0	0	0	0	0	0	0	3479	0	0	0	0	0	0	0	498	0	0	0
ASV0038	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	9019	0	0	191	0	0	79	0	0	0	17	40	0	0	80	7	0	12	0
ASV0039	0	3026	0	0	0	0	0	1383	227	0	0	0	0	0	0	0	1394	0	30	0	0	98	8	1182	1021	0	0	0	0	0	0	0	8	0	6	0	0	875	13	0	18	0
ASV0040	0	0	0	127	0	0	142	0	27	205	2745	0	0	25	0	0	0	0	0	1541	0	270	0	0	0	0	0	0	0	0	3869	0	1	0	0	0	108	0	193	0	0	17
ASV0041	0	0	0	77	28	0	0	554	68	673	2392	0	0	0	13	0	0	0	0	457	0	258	30	0	0	0	0	10	0	0	3727	0	0	0	0	511	0	0	307	0	0	0
ASV0042	0	0	1839	54	0	0	0	426	88	392	1564	0	0	10	0	0	0	0	0	0	0	280	0	0	0	0	0	4	0	0	3976	0	0	44	9	1	12	0	322	0	0	7
ASV0043	0	0	0	101	55	0	0	0	46	1193	903	0	0	0	0	0	0	0	0	1455	0	367	0	0	0	0	0	7	0	0	4551	0	0	0	0	0	85	0	241	0	0	0
ASV0044	0	817	1643	2	78	145	109	507	19	0	256	4	42	0	10	1591	202	115	110	284	330	48	100	616	113	45	64	0	171	962	0	120	20	59	52	66	14	236	8	12	0	0
ASV0045	0	366	755	0	108	51	244	1386	49	0	124	0	0	7	0	675	93	262	56	716	154	27	272	1722	144	59	0	0	245	471	0	49	23	46	82	42	12	606	0	0	0	11
ASV0046	24	0	0	85	5	0	0	0	0	264	872	0	0	0	0	0	0	0	3	3359	0	170	0	0	0	0	0	0	0	0	3835	0	0	0	0	0	0	0	132	0	0	0
ASV0047	0	340	0	103	0	0	0	14	14	217	1437	0	24	0	0	0	0	0	0	314	1149	200	31	0	0	14	0	0	0	0	4239	0	0	0	0	280	6	0	211	88	0	0
ASV0048	0	186	0	0	0	274	51	0	0	56	0	30	0	137	157	251	51	13	346	262	0	0	305	0	153	0	1661	4	889	1668	0	276	0	28	0	0	25	0	1169	0	51	25
ASV0049	0	0	0	76	0	0	0	0	0	404	1262	0	0	0	0	0	0	0	0	1051	2731	314	0	0	0	0	0	0	0	0	1525	0	0	4	0	0	231	0	191	0	0	0
ASV0050	0	0	0	0	59	0	0	0	0	0	0	2572	0	74	0	0	0	0	450	0	0	18	0	0	0	0	3889	0	0	0	0	0	149	0	0	149	0	0	0	0	0	0
ASV0051	0	141	0	43	0	0	0	58	19	888	814	0	0	0	0	0	0	0	0	1598	691	121	158	0	0	0	0	0	0	0	1904	0	0	0	0	181	34	0	248	59	0	0
ASV0052	0	0	0	15	0	0	0	585	0	1624	1515	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	2423	0	0	0	0	0	0	0	144	142	0	0
