ASV	SRR12968645	SRR12968648	SRR12968651	SRR12968653	SRR12968659	SRR12968660	SRR12968662	SRR12968669	SRR12968673	SRR12968677	SRR12968682	SRR12968690	SRR12968691	SRR12968694	SRR12968696	SRR12968698	SRR12968701	SRR12968702	SRR12968706	SRR12968709	SRR12968710	SRR12968646	SRR12968647	SRR12968649	SRR12968650	SRR12968656	SRR12968658	SRR12968664	SRR12968666	SRR12968668	SRR12968670	SRR12968672	SRR12968674	SRR12968680	SRR12968683	SRR12968684	SRR12968687	SRR12968688	SRR12968689	SRR12968693	SRR12968697	SRR12968699	SRR12968700	SRR12968703	SRR12968704	SRR12968705	SRR12968707	SRR12968708	SRR12968652	SRR12968654	SRR12968655	SRR12968657	SRR12968661	SRR12968663	SRR12968665	SRR12968667	SRR12968671	SRR12968675	SRR12968676	SRR12968678	SRR12968679	SRR12968681	SRR12968685	SRR12968686	SRR12968692	SRR12968695
ASV0001	1462	139	44350	9342	5568	36413	82385	20071	140	12571	1761	7184	8410	2440	25	9313	43404	15441	5310	916	5461	30118	53	9008	28241	19066	1151	9397	23790	4983	4	7344	14779	29248	6446	131	9228	49369	16755	20284	41	14090	163	30400	10738	13184	3692	2742	13568	1299	56953	39310	5810	3671	18175	808	0	8879	46231	5236	221511	14646	23450	13854	33881	4510
ASV0002	2372	52	1873	12004	14054	26167	20557	2312	78	467	839	5475	2249	4199	22	2268	3374	2697	417	263	2772	3511	18	29719	5957	47	565	201	1285	3268	0	2681	789	8628	173	49	3613	4389	5978	845	97	5381	16	44418	3499	313	1202	1534	8477	90	3342	5200	7649	95	2937	407	0	10007	2163	875	18969	2416	4927	2558	57	2042
ASV0003	27634	0	17508	125	392	865	550	686	4759	0	519	40	0	13919	0	9915	175	15257	591	194	1555	0	133	935	73	267	12770	0	26659	2504	0	11801	0	488	818	10	520	7094	340	339	10	38	6	0	2012	243	21930	2142	245	15	0	3166	725	0	24807	0	8	256	0	13857	0	4929	377	109	107	145
ASV0004	1087	7007	9	74	1	140	28	1929	0	0	2790	5	4	0	0	12566	997	9	3	14976	1987	1977	12	6	6	10	0	0	1167	8	0	296	0	1488	260	35	1550	31	122	319	143	4	0	0	2167	6801	1986	0	172	206	0	196	121	0	3725	11	0	0	23	0	40	10751	130	10	0	0
ASV0005	449	147	365	232	2399	2484	1067	29	17	219	37	247	892	253	0	337	217	93	27	82	17	182	0	55	18	4	34	6	186	218	0	488	41	72	0	230	598	2159	949	374	0	384	3	20477	440	41	96	68	470	13	992	1914	235	12	181	76	0	911	102	32	294	167	45	19	4	220
ASV0006	0	3	0	0	0	0	0	0	0	0	0	0	0	6314	0	22235	0	0	3116	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	29	0	0	0	0	0	68	0	0	7	0	0	0	0	4	0	5816	0	0	0	0
ASV0007	3045	20	74	1938	19	1158	51	26	65	2	155	2490	364	619	5	142	37	21	305	80	17	29	0	80	16	0	63	0	83	18	0	130	6	59	13	8	1076	135	7973	482	0	19	3	608	160	0	10	34	9359	0	1013	2973	316	12	0	0	0	57	11	0	162	84	144	7	19	114
ASV0008	31	0	1003	178	134	0	1953	0	0	287	48	168	188	0	0	197	997	387	118	20	128	757	2	219	698	482	28	226	610	122	0	153	310	693	139	5	229	1143	0	505	0	344	5	701	261	276	85	70	304	35	1301	893	0	94	434	25	0	196	1033	136	5029	319	568	327	850	89
ASV0009	11	0	71	195	15	3	48	88	0	0	22	498	29	17	0	23	3	18	69	16	28	4	0	64	554	35	0	0	53	0	0	139	0	84	0	8	921	114	111	3053	17	19	0	414	37	0	3	15	17	12	27	12570	4132	2	31	0	0	31	1138	19	83	74	121	282	27	21
ASV0010	0	0	6	0	0	0	4013	21	0	0	84	0	164	0	0	156	490	154	0	10	0	0	0	4553	286	0	0	27	69	0	0	0	0	67	0	0	64	27	103	60	0	868	0	3459	0	22	0	0	1385	0	118	233	51	0	85	45	0	78	128	2	1559	179	409	319	0	0
