ASV	SRR12968645	SRR12968648	SRR12968651	SRR12968653	SRR12968659	SRR12968660	SRR12968662	SRR12968669	SRR12968673	SRR12968677	SRR12968682	SRR12968690	SRR12968691	SRR12968694	SRR12968696	SRR12968698	SRR12968701	SRR12968702	SRR12968706	SRR12968709	SRR12968710	SRR12968646	SRR12968647	SRR12968649	SRR12968650	SRR12968656	SRR12968658	SRR12968664	SRR12968666	SRR12968668	SRR12968670	SRR12968672	SRR12968674	SRR12968680	SRR12968683	SRR12968684	SRR12968687	SRR12968688	SRR12968689	SRR12968693	SRR12968697	SRR12968699	SRR12968700	SRR12968703	SRR12968704	SRR12968705	SRR12968707	SRR12968708	SRR12968652	SRR12968654	SRR12968655	SRR12968657	SRR12968661	SRR12968663	SRR12968665	SRR12968667	SRR12968671	SRR12968675	SRR12968676	SRR12968678	SRR12968679	SRR12968681	SRR12968685	SRR12968686	SRR12968692	SRR12968695
ASV0001	6457	1034	2946	2897	855	0	54829	7	0	14237	3198	3985	11512	8	11281	841	1322	14763	6115	1945	2111	5137	0	455	721	4206	2224	52	17474	838	2001	1784	542	854	1878	281	6705	5828	10	1921	684	3175	3598	3579	2282	451	882	6668	22288	548	31015	10026	0	6596	1923	628	6	4953	5014	1044	11830	1677	17882	5850	3579	3167
ASV0002	326	201	80	317	70	0	681	0	0	201	142	165	697	0	436	88	161	405	291	264	224	198	0	19	27	443	254	0	347	151	149	55	19	51	196	37	186	189	0	206	36	122	416	461	298	18	163	315	568	40	232	509	0	296	131	171	0	118	609	87	723	139	1689	67	257	215
ASV0003	208	87	0	358	111	0	317	0	0	30	153	1579	77	0	514	19	67	302	150	138	158	167	0	0	0	340	302	5	283	68	68	246	0	90	138	54	494	0	0	182	97	0	290	123	0	43	58	1566	196	0	0	1594	0	432	0	37	0	0	292	65	158	0	1055	43	136	128
ASV0004	142	72	72	175	23	0	215	0	0	85	286	114	338	0	216	35	80	196	272	276	31	306	0	16	26	335	135	0	164	109	141	53	0	91	125	24	338	205	0	152	0	48	0	112	127	34	26	371	244	21	164	0	0	0	0	0	2	570	243	62	486	61	982	28	173	158
ASV0005	313	0	31	122	0	0	500	0	0	0	38	594	283	0	112	0	0	0	478	0	0	83	0	0	336	0	117	0	0	29	0	149	0	15	0	0	64	0	0	61	0	85	82	0	95	0	0	720	297	109	243	493	0	77	0	0	0	0	129	0	345	0	161	427	27	376
ASV0006	0	0	0	0	41	0	162	0	0	0	0	0	1	0	85	0	18	16	12	0	33	187	0	0	1138	0	4	0	21	0	0	0	46	0	47	0	0	0	0	52	0	0	0	86	0	0	0	0	809	0	0	1066	0	0	0	0	0	53	94	0	47	0	0	961	12	569
ASV0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5451	0	0	0	0	0	0	0	0
ASV0008	0	0	95	112	44	0	524	0	0	0	30	512	71	0	398	0	19	16	228	0	8	138	0	0	819	0	39	0	34	0	18	5	79	14	11	0	167	46	0	9	10	61	44	0	0	0	71	16	254	9	45	164	0	23	22	4	0	0	4	15	1	0	0	889	7	182
ASV0009	214	42	58	189	29	0	511	0	0	48	156	60	57	0	85	4	64	49	141	144	63	111	0	0	14	66	49	0	45	47	83	23	41	22	74	10	118	61	1	89	66	106	68	101	177	9	72	255	119	19	0	134	0	25	25	21	0	133	41	12	178	16	416	38	23	73
ASV0010	89	42	9	105	37	0	203	0	0	51	96	29	17	0	47	9	12	36	6	31	13	33	0	4	8	49	2048	2	8	52	55	30	8	4	8	9	87	28	0	24	13	6	29	87	105	0	43	22	97	40	21	61	0	10	49	37	0	127	208	17	118	35	90	14	11	94
ASV0011	0	0	0	0	0	0	414	0	0	0	0	0	0	0	565	0	0	106	0	0	0	0	0	0	0	62	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	1316	510	0	63	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	424	0	77	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	22	0	0	0	0	0	16	0	452	0	0	0	0	0	142	0	0	0	0	1062	69	0	0	0	96	72	132	637	20	0	0	0
ASV0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	1201	0	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0014	0	0	47	68	0	0	232	0	0	0	0	316	25	0	186	0	9	0	136	0	4	55	0	0	460	5	25	1	17	0	0	0	53	13	8	0	78	24	0	0	0	28	15	10	0	0	0	0	140	0	25	94	0	0	0	0	0	62	0	0	0	0	0	581	0	104
ASV0015	0	0	0	0	0	0	1453	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	594	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0016	123	11	11	90	0	0	104	0	0	19	64	16	0	0	107	0	18	28	33	30	85	46	0	3	7	93	0	0	13	18	30	21	8	0	39	7	44	0	0	15	38	47	61	59	76	3	29	51	71	10	48	108	0	20	0	9	0	133	62	0	9	14	497	10	76	50
ASV0017	5	0	0	0	43	0	0	0	0	0	0	0	25	0	0	8	15	45	1	0	0	25	0	0	99	0	0	0	0	0	0	0	0	27	0	0	235	0	0	0	2	0	112	0	0	0	0	18	32	0	22	139	0	287	0	0	0	36	0	4	0	0	517	510	2	313
ASV0018	55	25	4	57	21	0	93	0	0	39	40	15	11	0	37	7	5	16	3	30	5	28	0	0	5	28	1061	0	8	26	40	10	9	5	3	0	46	14	0	22	6	3	11	44	53	5	18	12	50	10	14	24	0	8	32	27	0	65	118	7	62	19	22	14	6	60
ASV0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	2081	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0020	4	0	0	24	9	0	24	0	0	4	0	169	605	0	34	87	0	47	128	0	0	117	0	3	0	0	0	0	37	0	19	51	9	0	16	0	0	4	0	8	0	0	21	7	20	0	0	123	0	9	189	120	0	14	0	0	0	0	0	0	50	228	0	18	0	40
ASV0021	92	47	17	47	0	0	146	0	0	15	87	76	0	0	80	0	22	34	0	0	8	29	0	0	7	13	0	0	29	30	19	40	18	0	38	11	24	33	0	7	0	5	44	2	0	0	20	42	141	0	19	14	0	39	0	11	0	31	148	0	102	26	214	15	0	0
ASV0022	134	24	12	36	23	0	263	0	0	0	0	25	44	0	0	0	121	0	40	54	15	34	0	0	0	25	26	0	30	17	0	23	0	0	48	15	68	0	0	33	11	0	8	0	46	0	42	100	0	20	30	0	0	12	0	0	0	35	70	9	80	0	103	11	13	13
ASV0023	0	15	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	53	0	13	0	105	0	23	0	0	0	0	14	0	0	117	0	0	0	11	0	0	0	0	0	0	181	0	0	0	0	33	0	107	7	108	65	0	555
ASV0024	57	6	0	0	8	0	74	0	0	15	70	43	30	0	85	7	7	26	52	25	38	14	0	4	0	25	80	0	9	25	17	8	5	16	0	13	41	0	0	24	11	21	52	0	12	0	9	40	15	0	41	0	0	6	22	13	0	24	23	0	70	16	347	9	0	31
ASV0025	48	0	0	0	0	0	88	0	0	0	54	0	0	0	0	0	0	32	71	0	22	0	0	6	0	55	38	0	13	0	0	0	0	0	24	0	65	0	0	0	17	7	38	0	48	0	0	41	0	0	0	75	0	0	41	28	0	231	78	0	74	0	214	0	38	30
ASV0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1231	170	0	0	0	0	0	0	0	0	0	0	0
ASV0027	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0028	37	12	0	45	0	0	83	0	0	21	42	0	29	0	39	8	14	15	0	22	36	37	0	0	0	0	21	0	0	0	41	0	6	0	0	0	106	39	0	0	11	0	72	9	29	0	21	0	25	0	0	0	0	9	27	0	0	31	0	0	90	23	126	0	18	67
ASV0029	31	47	0	18	32	0	147	0	0	13	18	46	0	0	0	0	0	12	106	0	16	0	0	0	0	9	17	0	0	5	4	17	0	0	0	0	0	51	0	0	13	12	8	0	0	6	8	51	0	0	0	162	0	0	0	0	0	11	84	0	0	0	66	0	0	1
