ASV	ERR2662893	ERR2662898	ERR2662910	ERR2662911	ERR2662912	ERR2662913	ERR2662914	ERR2662916	ERR2662921	ERR2662925	ERR2662927	ERR2662930	ERR2662932	ERR2662933	ERR2662936	ERR2662937	ERR2662939	ERR2662941	ERR2662945	ERR2662895	ERR2662896	ERR2662897	ERR2662899	ERR2662901	ERR2662902	ERR2662904	ERR2662905	ERR2662906	ERR2662908	ERR2662922	ERR2662924	ERR2662929	ERR2662938	ERR2662940	ERR2662942	ERR2662943	ERR2662944	ERR2662894	ERR2662900	ERR2662903	ERR2662907	ERR2662909	ERR2662915	ERR2662917	ERR2662918	ERR2662919	ERR2662920	ERR2662923	ERR2662926	ERR2662928	ERR2662931	ERR2662934	ERR2662935
ASV0001	3965	20915	8904	23986	15627	22731	7857	12137	14784	0	30979	34020	13529	15293	14750	0	9907	2008	0	19472	26233	16160	23028	17014	10284	11638	57957	14199	10611	0	16664	26852	7013	8108	0	19626	25892	0	18272	12315	37102	6615	11853	7413	10839	8966	12073	6957	19565	19192	8229	21510	0
ASV0002	24435	0	4809	23389	14595	35428	15464	11524	29018	0	0	0	9052	16070	16249	7073	8370	22983	0	25351	11666	32755	9167	6590	2473	13114	26625	19064	3737	0	0	0	26119	10316	12779	0	14989	0	9311	22918	21122	8336	23434	15080	13754	18149	22937	0	0	0	9008	7037	0
ASV0003	766	61933	1023	3069	1633	3528	156	17465	32156	316	1510	37009	9297	12339	19671	0	21	3426	3955	6119	7663	2933	7506	1546	5934	9404	4508	4363	6608	10028	12594	7376	0	16836	8058	1818	5100	595	3367	18124	6213	10860	771	11746	13950	18079	14125	11614	28	7304	12932	12839	25845
ASV0004	0	0	7275	35748	17382	0	0	0	12539	0	16102	0	0	0	15614	0	0	0	18500	0	22884	0	11219	0	0	0	29164	27461	9101	0	8082	14833	0	0	0	30179	20058	0	8881	0	10202	9393	0	2091	0	0	0	6406	0	11569	0	0	0
ASV0005	4804	4756	755	9701	10162	3897	2355	2249	7414	804	2468	16660	15850	13035	4004	9821	3832	25215	22155	5404	9037	7308	8661	6350	3	0	2253	1125	1527	4496	5595	3510	4957	3989	2584	30251	20904	2631	4105	0	1889	2708	5400	1109	772	3719	5947	1577	1152	3046	9972	6252	2818
ASV0006	7267	0	2649	0	0	0	1569	17232	4751	2987	3393	34900	8990	18892	10763	2185	646	18886	3866	7259	0	0	4441	6223	5392	6713	0	0	4866	7002	9826	6596	4156	3796	1692	2029	886	5197	4294	20769	0	4500	13067	13172	6314	2625	5980	2412	5206	6806	5294	7047	14051
ASV0007	1294	0	11664	527	440	207	0	8440	10435	26	0	3578	9303	35094	8107	5073	796	9267	6741	73	12260	1648	6225	5469	243	915	11426	4363	4663	6863	1910	7431	2168	11867	7620	1385	20245	2055	1203	2351	1622	5280	0	0	601	1785	2407	1380	0	7725	13807	29750	18782
ASV0008	7112	13730	0	0	0	1	1207	3762	0	0	0	6662	0	4	23053	0	0	0	0	35037	14827	25787	0	0	9885	38726	0	0	0	0	3208	0	0	0	0	0	0	13452	0	23791	0	0	2062	3546	2069	0	0	0	0	2456	0	21705	0
ASV0009	0	28464	0	0	0	0	0	0	0	6553	11669	35213	0	0	0	0	0	0	16949	0	0	0	0	0	0	0	0	0	0	21906	26577	8283	0	0	0	16059	0	21591	0	0	0	0	0	0	0	0	0	11171	9032	6209	0	0	17936
ASV0010	5988	0	3519	5364	2960	7389	5101	8901	1961	0	14755	4923	2040	1501	10643	0	639	2153	0	12240	8084	7163	4980	2469	1247	3882	13822	12744	1901	0	0	0	3149	6695	0	2802	4895	0	7142	5659	8331	1683	11364	6049	2164	2803	4138	0	0	2716	4055	9993	0
ASV0011	15591	0	1982	4888	3415	18050	7701	4640	0	0	2808	0	5358	0	5386	0	0	4366	0	7901	3101	5467	6170	11383	1602	14996	7716	6430	3022	0	8690	0	0	4341	0	0	2932	0	8826	8884	10019	3089	7996	0	3595	7705	5305	0	0	0	3589	3581	0
ASV0012	2207	0	2044	8005	6694	8351	4564	2183	12031	0	2654	8285	2271	2074	6046	6372	3903	8941	2524	4790	4506	9659	3999	2037	3612	2814	3923	2373	1941	0	0	0	8374	3363	4442	4442	4171	0	2644	15607	5158	2702	8744	2457	2847	7036	10555	0	0	0	2437	2564	0
ASV0013	4488	0	0	3021	3076	18204	1021	4624	4769	0	0	0	5702	0	0	0	0	0	0	4529	16778	14245	9815	31349	989	10202	8626	8026	0	0	0	0	0	0	0	0	0	0	12149	11254	9925	0	1412	7454	5678	4144	4367	0	0	0	5402	0	0
ASV0014	3298	14990	0	5107	2084	14235	0	0	0	0	0	54079	0	2	2828	0	0	0	0	12756	17058	8924	0	0	0	0	0	0	0	9296	11903	14102	0	0	0	0	0	2883	0	0	0	0	0	7	0	0	0	3731	2	9179	1	8252	5093
ASV0015	2054	0	6490	0	0	711	0	0	9428	2007	0	5814	11960	11662	6515	3322	2566	3714	7608	1426	0	0	0	0	0	2155	0	0	5152	6392	7580	0	2671	4228	2617	6483	6618	6040	0	2910	0	6428	0	0	0	5716	5473	3774	0	0	8663	10823	20036
ASV0016	2845	1680	1954	417	151	3420	1139	1984	0	4930	13347	695	111	5	2138	1356	4204	31368	6322	789	1484	2194	906	4674	0	0	31097	23640	1467	417	454	299	1901	156	113	2507	1743	838	1402	1	4130	230	1983	4107	8400	0	0	332	2289	245	571	2776	4881
ASV0017	9995	618	1012	22942	21873	7433	4441	636	1048	0	303	4797	5830	1444	0	187	9	3899	0	537	2323	4747	324	0	3672	146	3133	319	6408	8004	563	941	141	5198	262	2584	1904	11814	11	2648	0	13334	354	384	227	7011	4822	0	0	0	5774	9086	409
ASV0018	337	0	8295	3494	2244	0	523	0	11267	2007	2547	6021	1703	1493	1997	10461	4526	6143	1438	4180	6	0	8159	1917	3173	1493	3748	701	5904	3029	2547	7207	8523	3252	1683	1102	1301	0	2532	5063	0	6549	1118	0	5174	6088	10317	1807	2392	4690	1137	5414	2591
ASV0019	1104	0	87	1688	1061	4423	11068	0	9237	21786	0	0	837	901	2952	0	0	3698	0	328	2159	2132	91	247	2351	2520	3608	1316	0	922	1747	254	2605	0	864	0	0	850	0	4967	0	88	4702	0	19924	5769	3055	209	43139	848	4767	4354	4437
ASV0020	53	0	1078	0	1	283	95	276	2016	3	0	3	213	57	333	0	0	43912	0	13	0	0	2075	7208	42034	27908	873	205	461	234	136	2	0	3865	13192	0	0	23	3206	11893	1978	230	2114	219	145	372	598	52	0	0	365	25	431
ASV0021	3916	4233	0	13772	12310	14814	86	1214	2001	0	0	0	4468	5808	4100	0	0	500	0	10390	1878	5871	5268	7493	0	0	2401	3465	2201	0	0	0	4982	2032	0	0	0	10392	5338	0	3327	4176	69	1601	1073	2590	2506	0	0	0	4119	6667	0
ASV0022	2310	0	0	8693	3167	7726	636	195	1732	0	2299	8507	6447	6361	367	0	0	1370	0	2463	3323	6513	5288	3271	7024	6120	2254	3759	1172	0	2810	0	1510	1131	954	0	6744	0	2042	13155	5502	939	7801	277	377	1018	1111	0	0	3249	2828	1101	0
ASV0023	0	17670	1062	0	0	0	0	0	0	2920	7426	5846	0	5855	9468	5118	1392	1785	4646	0	0	0	0	0	0	0	0	0	1763	2980	5344	4892	6259	1387	800	3595	4706	8409	0	0	0	3336	0	0	0	0	0	2048	7303	3365	0	8583	9860
ASV0024	1819	0	0	726	0	4908	1476	12016	2925	0	0	0	1405	0	0	0	0	0	0	5742	274	267	2589	11927	6547	5582	5492	4517	0	0	0	0	0	0	0	0	0	0	5820	22978	3727	0	1164	6503	3790	13923	7406	0	0	0	1930	1639	0
ASV0025	0	353	999	0	404	0	0	0	0	898	4508	499	0	2531	996	2271	4140	2660	5967	0	0	0	0	0	0	0	0	0	3521	5179	2075	522	9848	6229	2016	6661	13242	41468	0	0	0	3322	0	0	0	0	0	1375	1431	249	0	0	2665
ASV0026	6365	2191	0	5861	7335	9909	1189	2769	5690	0	0	0	0	0	0	0	0	0	0	5264	3499	4392	6485	4343	0	10603	5741	3218	0	0	0	0	0	0	0	0	0	0	8655	0	3123	0	7027	2467	3914	4425	5290	0	0	0	4746	0	0
ASV0027	0	4890	0	0	0	0	0	0	18727	3489	0	6453	0	11039	0	4936	4205	0	6138	0	0	0	0	0	0	0	0	0	0	10587	0	1712	2274	0	3008	5762	0	7722	0	0	0	0	0	3702	0	0	0	2688	4933	2083	0	0	12190
ASV0028	206	0	1778	10714	4523	5464	0	990	14135	0	0	0	980	0	0	0	0	0	26	0	7199	3793	0	0	6859	10018	0	0	925	0	0	0	0	44	337	115	0	0	0	32786	0	405	0	1023	2505	2287	5745	0	884	0	334	5	0
ASV0029	3692	0	0	0	0	0	4215	2380	0	0	0	7655	3677	0	0	0	7876	210	0	11154	0	21937	0	5642	4769	7238	0	0	0	0	0	0	6928	0	0	0	0	0	0	0	0	0	8810	0	1795	11550	0	0	0	0	3847	0	0
ASV0030	119	0	3355	3636	2063	3220	773	1623	301	0	39	16878	1801	5132	0	0	0	49	6666	16144	0	0	0	0	471	6301	0	0	2824	0	2853	0	0	2481	956	4790	6544	0	0	3463	0	2396	251	1306	4980	73	0	0	4223	2893	1649	0	0
ASV0031	3838	0	0	18948	7892	12718	1247	3324	2151	0	0	0	12106	0	0	0	0	0	0	4297	1615	2431	2073	1586	3997	824	0	0	0	0	0	0	0	0	0	0	0	0	1486	7493	0	0	968	1624	2242	2911	2688	0	0	0	0	3730	0
ASV0032	0	3547	2202	0	0	0	0	0	0	1711	2862	3101	0	0	3834	941	728	943	7123	0	0	0	0	0	0	0	0	0	4575	10335	7701	2413	2039	1521	1042	5413	7040	11356	0	0	0	4090	0	0	0	0	0	6363	1959	1649	0	0	4163
ASV0033	4	0	0	0	0	2536	3698	0	401	0	0	0	0	0	3420	0	0	0	0	0	42	128	159	1637	0	0	81	55	0	0	0	0	0	0	0	0	0	0	77	0	2723	0	1313	0	254	0	0	0	0	0	80231	0	0
ASV0034	0	0	9078	0	0	0	2244	269	10544	0	0	0	413	4239	18322	0	0	0	0	0	0	0	0	0	0	0	0	0	5481	0	0	0	0	0	0	0	0	0	0	0	0	5099	7263	631	2056	2776	5711	0	0	0	825	3753	16164
ASV0035	1045	0	6303	298	269	219	3166	2237	309	0	436	3058	1230	802	640	1784	401	0	911	1427	5191	6302	2962	3914	1978	1101	459	0	2581	0	2297	0	1052	674	0	1329	490	0	10738	4613	1047	5530	673	3305	1574	642	6320	742	0	2088	980	41	0
ASV0036	0	858	106	0	6	0	0	0	0	843	0	222	20858	317	0	0	19087	1027	35	0	0	0	0	0	16130	0	0	0	22	1640	18024	0	0	0	7136	3505	774	0	0	827	0	0	0	0	0	0	0	612	116	0	0	21	492
ASV0037	109	581	850	651	377	123	2436	5889	1737	1408	2443	2745	413	476	739	5111	2281	9060	1077	14	1060	753	1161	2488	811	1664	829	234	3255	4996	2828	916	2608	2320	88	830	732	1015	569	4391	71	3264	3631	1806	294	903	1357	1806	403	757	377	2454	1249
ASV0038	0	0	0	0	0	0	0	0	0	11470	0	0	0	0	0	5674	0	0	25555	0	0	0	0	0	0	0	0	0	0	10742	0	0	0	0	11467	0	0	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23121
ASV0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62342	3466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20640	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0040	4301	4	2293	2798	3098	6620	4004	845	1503	145	218	4236	2737	874	585	635	71	493	601	1251	0	0	4183	4526	0	0	214	0	1677	2533	3782	105	510	1653	65	1629	1253	0	3265	0	186	1406	3147	2242	1779	846	684	721	288	388	2654	114	621
ASV0041	9	0	0	0	0	64	0	1629	6186	0	0	0	0	0	117	0	0	0	33	0	0	0	1214	11419	16547	18438	0	0	0	712	2028	0	0	0	0	716	20	0	2338	13377	1	0	0	666	327	226	226	217	1	0	0	0	0
ASV0042	24	0	502	18	11	181	137	0	0	0	0	0	49	140	1757	9587	9210	16329	147	5	0	0	40	1225	4037	3781	0	0	43	301	803	0	6026	1626	4399	445	168	0	0	7962	0	7	196	0	0	0	0	176	0	0	378	172	5512
ASV0043	0	0	0	0	0	15176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2528	0	0	0	0	0	22145	0	0	0	0	0	0	22806	0	0	0	0	11650	0
ASV0044	458	0	994	5335	4231	8994	0	0	0	5	0	12483	0	0	1551	0	0	106	198	147	0	0	0	0	17301	5936	0	0	605	0	0	90	0	2107	2946	714	1137	57	0	4670	0	732	0	0	0	0	0	0	0	1033	0	350	76
ASV0045	0	2081	130	2664	840	2835	1037	1298	0	0	0	0	0	0	0	0	0	0	0	0	2092	6404	0	0	0	0	11852	12102	0	0	0	0	0	182	0	0	0	0	0	0	13980	156	7824	2274	4000	0	29	0	0	0	0	0	0
