ASV	ERR5924077	ERR5924080	ERR5924083	ERR5924084	ERR5924089	ERR5924096	ERR5924102	ERR5924104	ERR5924105	ERR5924107	ERR5924108	ERR5924109	ERR5924110	ERR5924115	ERR5924116	ERR5924119	ERR5924120	ERR5924121	ERR5924122	ERR5924127	ERR5924136	ERR5924141	ERR5924147	ERR5924149	ERR5924075	ERR5924079	ERR5924081	ERR5924085	ERR5924087	ERR5924091	ERR5924092	ERR5924094	ERR5924100	ERR5924106	ERR5924113	ERR5924114	ERR5924117	ERR5924124	ERR5924126	ERR5924129	ERR5924130	ERR5924131	ERR5924132	ERR5924134	ERR5924135	ERR5924142	ERR5924143	ERR5924144	ERR5924145	ERR5924146	ERR5924148	ERR5924076	ERR5924078	ERR5924082	ERR5924086	ERR5924088	ERR5924090	ERR5924093	ERR5924095	ERR5924097	ERR5924098	ERR5924099	ERR5924101	ERR5924103	ERR5924111	ERR5924112	ERR5924118	ERR5924123	ERR5924125	ERR5924128	ERR5924133	ERR5924137	ERR5924138	ERR5924139	ERR5924140
ASV0001	1095	784	1318	2828	4761	1417	1918	7762	1284	3791	2900	7995	2396	1797	3387	3433	1891	1744	2246	4701	17622	11228	5948	20991	8416	4328	8974	1885	1462	2673	815	3983	6002	9469	2162	9995	4710	7270	1441	24846	3601	16616	1237	23948	4581	14257	14712	9695	5759	12383	13693	496	2034	1717	1806	39	2590	3992	1238	1729	3518	10545	805	4443	7352	5112	4494	6600	17167	10851	13828	12484	4395	29989	5010
ASV0002	6802	10563	4718	6150	5749	8783	269	25	124	243	117	287	529	0	0	0	0	130	0	2	6	281	181	286	9312	12828	8311	6158	7219	5206	9238	3374	84	67	0	0	0	0	0	8	8	3	9	8	7	1453	587	96	544	1187	264	11567	8448	9448	6945	10270	5165	6506	7127	5932	7056	7646	61	31	0	0	0	0	7	7	9	57	7	29	9
ASV0003	235	677	107	3266	723	127	523	2058	1036	3227	603	4125	897	2966	1873	5006	3967	490	2034	591	2164	2467	2130	13489	1105	510	760	1807	390	962	107	919	4404	6217	1097	3723	451	4616	1905	1084	3255	11784	1015	10982	1793	953	7069	6201	1460	328	597	251	286	560	897	141	1357	2883	2538	953	714	3586	2023	2421	1358	868	5438	3678	12729	1930	939	7825	2454	3312	4444
ASV0004	4674	7619	3305	4186	4245	6839	0	0	0	0	11	13	0	18	0	0	0	0	0	2	6	0	6	33	6353	9560	5700	4133	5410	3639	6719	2102	19	28	0	0	0	6	3	48	8	0	3	0	2	140	9	9	49	7	0	8365	6176	6608	4836	8162	3484	4450	5120	4335	5126	5361	0	8	16	0	3	15	5	3	19	7	28	17	103
ASV0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9790	0	0	0	8899	0	0	32386	22311	0	0	0	0	0	0	6976	4	0	3	0	0	0	0	0	4	0	2	0	0	0	0	3	0	0	0	0	587	0	0	0	0	0	0	0	0	6521	0	0	0	0	0	0	0	677	3	0	0	0	0	0	0
ASV0006	1271	274	99	56	170	121	2351	389	610	444	223	298	614	154	1187	46	337	2831	1657	10467	4414	466	212	118	38	171	217	89	65	151	23	0	531	440	3309	509	3520	330	1536	898	1419	557	1559	1446	554	1611	2859	8	1346	3224	238	102	546	74	188	51	201	122	30	28	59	173	1244	504	1929	211	1767	297	21	2184	511	1806	5081	6228	796
ASV0007	0	0	3	0	241	341	0	1036	2	22	0	0	0	5063	555	0	5708	347	1	0	0	2690	0	413	0	308	6	750	0	466	0	0	0	37	253	0	0	125	1	2730	4	20	0	0	0	1	0	3	28578	1155	4876	0	0	0	0	1	3477	0	4712	9	687	55	8	230	0	0	0	2002	0	0	8	3	96	0	9991
ASV0008	0	6	7108	0	0	0	6	0	0	1215	10393	0	0	1	0	114	801	0	150	3	0	13	332	1034	3	0	0	22	0	0	0	136	0	5	0	0	0	232	5	0	1	1	7	0	0	0	0	86	5044	92	13069	8	0	0	0	0	0	0	1161	140	1459	152	4	0	12	0	5	4775	2	0	25697	38	0	0	0
ASV0009	155	225	79	130	131	192	621	392	247	443	287	785	2027	84	225	61	120	916	183	2146	498	647	234	286	254	358	157	113	158	101	159	75	112	377	1339	1767	2239	160	1136	2349	1477	588	225	962	4364	6208	1189	153	904	2931	605	234	175	234	99	260	60	127	130	115	197	134	434	225	458	1861	266	754	336	815	740	2217	2493	760	135
ASV0010	1205	1833	903	1194	980	1884	42	75	0	0	0	92	0	0	0	0	0	0	0	0	0	1	4	34	1687	2265	1530	1234	1249	980	1895	744	0	0	0	0	0	0	0	0	78	0	2	1	0	95	23	1	3	0	57	1925	1731	2030	1201	1758	957	1284	1448	1128	1309	1406	1	0	0	0	0	0	1	5	0	2	0	37	2
