ASV	ERR5237551	ERR5237555	ERR5237560	ERR5237565	ERR5237572	ERR5237575	ERR5237577	ERR5237579	ERR5237582	ERR5237589	ERR5237591	ERR5237594	ERR5237604	ERR5237608	ERR5237612	ERR5237613	ERR5237616	ERR5237619	ERR5237623	ERR5237626	ERR5237629	ERR5237631	ERR5237632	ERR5237633	ERR5237638	ERR5237640	ERR5237641	ERR5237648	ERR5237650	ERR5237653	ERR5237654	ERR5237658	ERR5237659	ERR5237665	ERR5237666	ERR5237670	ERR5237683	ERR5237684	ERR5237685	ERR5237700	ERR5237702	ERR5237703	ERR5237706	ERR5237707	ERR5237709	ERR5237710	ERR5237713	ERR5237722	ERR5237723	ERR5237725	ERR5237726	ERR5237727	ERR5237731	ERR5237733	ERR5237739	ERR5237747	ERR5237755	ERR5237757	ERR5237758	ERR5237762	ERR5237767	ERR5237776	ERR5237777	ERR5237779	ERR5237784	ERR5237786	ERR5237787	ERR5237791	ERR5237792	ERR5237795	ERR5237797	ERR5237800	ERR5237801	ERR5237804	ERR5237808	ERR5237809	ERR5237813	ERR5237815	ERR5237825	ERR5237826	ERR5237827	ERR5237829	ERR5237830	ERR5237832	ERR5237833	ERR5237841	ERR5237847	ERR5237850	ERR5237855	ERR5237858	ERR5237859	ERR5237864	ERR5237867	ERR5237869	ERR5237871	ERR5237875	ERR5237876	ERR5237878	ERR5237881	ERR5237882	ERR5237884	ERR5237885	ERR5237886	ERR5237887	ERR5237890	ERR5237891	ERR5237893	ERR5237895	ERR5237897	ERR5237901	ERR5237908	ERR5237912	ERR5237916	ERR5237917	ERR5237918	ERR5237919	ERR5237920	ERR5237922	ERR5237924	ERR5237927	ERR5237930	ERR5237932	ERR5237933	ERR5237938	ERR5237939	ERR5237942	ERR5237944	ERR5237947	ERR5237950	ERR5237951	ERR5237952	ERR5237955	ERR5237958	ERR5237961	ERR5237963	ERR5237965	ERR5237966	ERR5237974	ERR5237976	ERR5237984	ERR5237550	ERR5237553	ERR5237986	ERR5237554	ERR5237988	ERR5237557	ERR5237558	ERR5237992	ERR5237561	ERR5237997	ERR5237562	ERR5237566	ERR5238007	ERR5237568	ERR5238009	ERR5237569	ERR5237570	ERR5238013	ERR5237571	ERR5237573	ERR5237574	ERR5237576	ERR5237578	ERR5237580	ERR5237581	ERR5237586	ERR5237587	ERR5237588	ERR5237590	ERR5237592	ERR5237593	ERR5237595	ERR5237597	ERR5237598	ERR5237600	ERR5237601	ERR5237602	ERR5237605	ERR5237610	ERR5237615	ERR5237617	ERR5237618	ERR5237620	ERR5237625	ERR5237627	ERR5237635	ERR5237636	ERR5237637	ERR5237639	ERR5237643	ERR5237644	ERR5237647	ERR5237649	ERR5237651	ERR5237652	ERR5237655	ERR5237656	ERR5237660	ERR5237661	ERR5237662	ERR5237669	ERR5237673	ERR5237675	ERR5237676	ERR5237680	ERR5237681	ERR5237682	ERR5237687	ERR5237688	ERR5237692	ERR5237693	ERR5237694	ERR5237695	ERR5237696	ERR5237697	ERR5237698	ERR5237699	ERR5237705	ERR5237714	ERR5237715	ERR5237719	ERR5237720	ERR5237721	ERR5237736	ERR5237740	ERR5237751	ERR5237754	ERR5237756	ERR5237759	ERR5237766	ERR5237770	ERR5237773	ERR5237774	ERR5237778	ERR5237780	ERR5237781	ERR5237782	ERR5237783	ERR5237785	ERR5237788	ERR5237790	ERR5237793	ERR5237796	ERR5237798	ERR5237799	ERR5237803	ERR5237805	ERR5237807	ERR5237810	ERR5237812	ERR5237816	ERR5237817	ERR5237822	ERR5237824	ERR5237828	ERR5237838	ERR5237840	ERR5237843	ERR5237845	ERR5237848	ERR5237851	ERR5237852	ERR5237854	ERR5237856	ERR5237860	ERR5237862	ERR5237866	ERR5237868	ERR5237870	ERR5237872	ERR5237874	ERR5237879	ERR5237883	ERR5237894	ERR5237899	ERR5237905	ERR5237906	ERR5237910	ERR5237921	ERR5237931	ERR5237934	ERR5237935	ERR5237936	ERR5237940	ERR5237941	ERR5237943	ERR5237953	ERR5237954	ERR5237956	ERR5237960	ERR5237964	ERR5237969	ERR5237972	ERR5237973	ERR5237975	ERR5237982	ERR5237987	ERR5237989	ERR5237990	ERR5237996	ERR5238000	ERR5238001	ERR5238006	ERR5238010	ERR5238012	ERR5238015	ERR5237552	ERR5237556	ERR5237559	ERR5237563	ERR5237564	ERR5237567	ERR5237583	ERR5237584	ERR5237585	ERR5237596	ERR5237599	ERR5237603	ERR5237606	ERR5237607	ERR5237609	ERR5237611	ERR5237614	ERR5237621	ERR5237622	ERR5237624	ERR5237628	ERR5237630	ERR5237634	ERR5237642	ERR5237645	ERR5237646	ERR5237657	ERR5237663	ERR5237664	ERR5237667	ERR5237668	ERR5237671	ERR5237672	ERR5237674	ERR5237677	ERR5237678	ERR5237679	ERR5237686	ERR5237689	ERR5237690	ERR5237691	ERR5237701	ERR5237704	ERR5237708	ERR5237711	ERR5237712	ERR5237716	ERR5237717	ERR5237718	ERR5237724	ERR5237728	ERR5237729	ERR5237730	ERR5237732	ERR5237734	ERR5237735	ERR5237737	ERR5237738	ERR5237741	ERR5237742	ERR5237743	ERR5237744	ERR5237745	ERR5237746	ERR5237748	ERR5237749	ERR5237750	ERR5237752	ERR5237753	ERR5237760	ERR5237761	ERR5237763	ERR5237764	ERR5237765	ERR5237768	ERR5237769	ERR5237771	ERR5237772	ERR5237775	ERR5237789	ERR5237794	ERR5237802	ERR5237806	ERR5237811	ERR5237814	ERR5237818	ERR5237819	ERR5237820	ERR5237821	ERR5237823	ERR5237831	ERR5237834	ERR5237835	ERR5237836	ERR5237837	ERR5237839	ERR5237842	ERR5237844	ERR5237846	ERR5237849	ERR5237853	ERR5237857	ERR5237861	ERR5237863	ERR5237865	ERR5237873	ERR5237877	ERR5237880	ERR5237888	ERR5237889	ERR5237892	ERR5237896	ERR5237898	ERR5237900	ERR5237902	ERR5237903	ERR5237904	ERR5237907	ERR5237909	ERR5237911	ERR5237913	ERR5237914	ERR5237915	ERR5237923	ERR5237925	ERR5237926	ERR5237928	ERR5237929	ERR5237937	ERR5237945	ERR5237946	ERR5237948	ERR5237949	ERR5237957	ERR5237959	ERR5237962	ERR5237967	ERR5237968	ERR5237970	ERR5237971	ERR5237977	ERR5237978	ERR5237979	ERR5237980	ERR5237981	ERR5237983	ERR5237985	ERR5237991	ERR5237993	ERR5237994	ERR5237995	ERR5237998	ERR5237999	ERR5238002	ERR5238003	ERR5238004	ERR5238005	ERR5238008	ERR5238011	ERR5238014
ASV0001	1737	770	2145	4011	1270	918	1006	1720	626	6202	671	74	8586	7569	4360	459	2364	566	1654	6490	657	7285	2886	3060	2844	3022	134	756	2529	1172	1149	202	2793	178	331	367	10449	6942	710	684	5660	1219	436	471	1419	2027	451	1371	1177	204	3110	17513	25575	543	1671	2363	357	972	334	1418	462	133	4783	148	18	2517	3463	13425	891	639	38	592	7379	182	2943	275	3396	547	2099	9966	10199	113	401	645	238	355	10018	4792	11304	10647	21227	2855	445	3632	2430	2579	7041	2039	604	5657	2723	7148	10557	5218	2188	378	19203	7572	1797	868	379	673	4764	4972	12372	6362	238	10035	36060	4148	4308	105	1826	376	2853	1990	1753	3392	900	1268	8554	1931	150	98	22327	7207	891	145	1940	1840	2932	46091	57	1847	211	56	1130	3642	2559	21723	3949	1252	291	1763	623	8996	844	188	8280	548	2713	431	667	189	53	1698	1913	203	207	3517	1269	722	8028	204	1925	556	1159	1364	71	1445	6054	136	1280	1096	126	435	156	2379	3859	1247	653	3073	7090	167	1246	461	4466	2000	900	1282	1315	852	1197	200	732	1184	2612	10606	504	387	5034	576	718	288	11278	1380	1682	727	9274	3049	7427	77	423	857	7	6249	2421	268	1175	113	2980	2275	11437	824	3123	91	816	19858	18294	10	2654	1639	1836	600	494	11	2058	9968	10112	635	64	3909	2706	892	10493	305	14642	4511	1959	1351	4703	7478	4221	31	10484	6279	1775	7244	18979	6543	1015	14282	6218	24546	7773	2250	2977	55	71	597	368	427	1067	412	3288	3329	119	1352	7296	66	2448	43	2216	245	148	544	169	1253	3281	958	516	195	939	573	1837	2779	381	1339	397	870	102	604	389	11810	559	5171	2914	1813	364	1512	1063	966	1306	33	1180	5779	1370	1199	1069	2688	1577	211	933	940	2807	272	2376	5931	507	197	490	6671	191	1766	587	1492	5994	2748	794	1073	10667	42457	1385	199	1398	612	3436	509	247	2389	11223	1256	3767	23587	864	557	407	2053	82	5748	1107	366	6882	40	470	171	1179	4300	1417	199	155	1745	15737	1144	183	444	2962	2903	23844	128	5156	599	13	1689	614	10364	3595	3072	1534	6808	1981	557	538	5474	10673	326	6259	1745	2752	8833	22198	9046	481	1922	12595	7128	7876	13575	3054	14183	1764	4929	1381	1201	3866	1879	1382	5010	3611	1295	197	416	3948	569	1709	4299	3080	161	210	470	149	564	2543	609	222	2293	350	2664	422	274	5357	432	1427	905	1697	25919	308	705	146	527	65	153	770	1936	1078	684
ASV0002	14	10	7	3368	17	176	61	7622	110	904	62	91	888	7	155	155	831	22	8	1667	1921	823	5909	7709	100	130	26	101	121	122	319	242	92	18	35	446	444	143	15	21	135	1741	136	44	4270	603	16	103	2074	2076	375	41544	11	0	72855	11394	46385	5792	52	140	46	28	25	9	15	55	1111	1947	12080	310	36	112	72	7579	0	34502	3	918	205	20	42	22	1	15327	0	0	4	2	26852	2093	7623	4931	12	15	33	2	16	13	2120	25	24	5071	5	8	4	10	14	3198	4340	4	11238	3	1366	485	2	0	683	19	46	3	5	0	2	15	2	14	3	30	548	233	3	14	0	17	6	32	165	39	8	45	240	3393	9	87	0	13278	29	6	59	4	1656	18243	20	2356	7	8617	112	11	0	862	23619	1080	4937	3483	52	215	4172	49	76	49	19976	7	29177	13827	390	338	10	14	13607	16279	33	12	7	41198	42826	263	357	1295	27	1853	59759	492	4	2271	11	54	806	26042	2246	2751	155	165	1	53	806	1922	14650	560	136	40	6015	41	3352	0	813	129	5	5	6	18627	1643	73	14045	141	1931	2011	12510	48	26	39597	932	3258	26	8	635	1841	337	13	4594	2	12	4	6	718	2387	930	14	1725	6727	501	36	14214	2722	3935	27948	1	0	0	3	33	2973	403	13	2	20	419	3	0	16	25	34489	2142	5764	2	128	1	1	6	0	1	0	0	19	1	0	0	0	34	394	4	5	37	3	22	31	8	0	18	39	22	22	5	1	2	5	17	2494	26	30320	2517	142	1978	19037	12	2541	4440	11582	647	557	3423	1512	10698	154	31341	11299	2548	347	673	229	1392	30	962	1700	1253	536	42	15933	50521	8545	909	562	8	1439	78	1	17	13772	853	5833	33	51	10	142	15	517	29	678	146	173	623	15	20	372	18171	3710	5162	4983	1052	95	20	2508	2278	162	11	265	33	58	26	16556	83	21466	1805	19696	6	16681	13789	9662	30	68	26	17123	88	42281	5659	81612	2147	2399	8	1	3	28	144	0	7	0	935	5	1532	21	29	70	1215	7	16	25	25368	16	2	508	1620	6	8845	0	679	12	0	397	2	744	2	12	33	5	65	152	0	0	12	0	17	15	0	9	9	0	224	34	25	15	39	0	0	6	12	1	2	29	0	14	0	6	1	5	37	0	66
ASV0003	1400	2	885	1172	3	568	86	3550	189	64	369	135	1980	243	10228	89	1217	1020	1184	169	454	1324	202	22	932	51852	55	3587	15382	229	1331	7	886	5875	64	73	339	18	191	1157	463	264	2190	62	2506	739	18397	7067	1303	2564	46	6	3194	8276	16	25	0	20	25	43	63	42	37	8	0	59	2	36	22	12	13	26	934	13	36	6	2	0	172	105	226	5	2	483	56	4	4	109	0	39	56	0	5	0	170	64	34	0	41	38	107	166	57	13	100	64	163	5	212	21	25	14	84	18	277	93	112	176	4298	31240	7186	169	28570	99	746	3804	818	1260	144	1493	10506	2636	32	653	24617	2314	166	897	531	4041	4838	22	1365	5597	2807	23	264	125	78	733	7323	26	32376	138	496	394	221	29527	2019	142	677	37	179	57	442	531	125	183	40	2224	41	7	847	130	147	2	1455	137	45	782	10776	28153	141	115	0	208	840	1388	803	129	11	33	549	24	266	111	2404	36	226	690	2046	1000	15	568	924	108	0	1682	573	1259	25	664	25	243	461	1540	672	14190	1276	1081	4371	6	39	50	0	276	29	0	2	123	33	0	7	5528	22	10	20	20	13	0	556	5	15	4	0	64	1210	172	20	227	11	153	0	43	332	0	6	17	76	105	57	61	4	2	6	1353	100	23	0	39	12	0	438	268	227	25	478	36466	21	2524	60	13996	975	21877	5601	716	43166	4065	75	33907	1746	57072	22223	239	351	12592	1274	997	2372	2608	33435	258	590	17708	3852	5761	173	3213	110	188	7	605	82	740	50	313	19	478	237	686	190	112	970	9	21	184	628	811	262	0	4486	193	135	12	964	8	4820	44	161	0	306	4195	0	324	124	320	1548	1304	137	632	99	16	9	326	27	2755	447	415	787	375	66	1207	433	8	10	28	10	81	4	93	6	6	321	0	25	6	138	356	7	84	69	117	0	10	0	0	25	5	5458	2	20	0	0	32	231	47	0	13	198	121	49	33	63	42	28	5	44	6	11	83	190	789	91	9	98	188	187	21	35	214	3	12	0	372	71	22	7	33	953	37	6096	698	15798	1226	6705	1384	10005	10467	8555	1040	11759	31	2431	6050	119	332	33	504	16042	1999	648	5262	4047	2923	96715	99	198	379	18814	6	63	17414	230	56905	31497	7935
ASV0004	3	6	0	25	20	0	13	63	0	12	0	0	269	0	0	24	0	0	216	10	0	0	0	0	3	16	59	0	2	0	52	0	430	0	75	15	32	907	0	9	0	81	20	25145	12	55	0	21	0	3	19	10	16	0	0	0	0	120	16933	0	22080	57	8656	12168	16414	30734	6002	6	14640	0	23071	12368	655	21526	0	3128	0	0	5378	0	0	32846	17	7285	10734	14475	0	2750	13	13210	7	0	0	17371	9	1203	12864	7	0	1195	0	617	3	2749	1366	7068	8492	10112	0	912	4499	2974	2785	18	4	0	25559	731	29	13	22	0	0	0	0	5	0	0	149	2	0	3	0	58	0	2	0	18	15	36	12	4	0	5	0	44	0	0	7	177	27	27	5	39	0	53	104	6	8	33	2	10	28	2	11	44	9	0	24	9	4	19	56	7	392	4	0	11	0	2	102	1	0	17	0	0	10	0	8	11	0	15	2	39	0	5	26	10	39	13	3	7	0	0	1	0	3	171	0	12	7	0	92	4	8	75	8	4	5	3	5	32354	13	10	29371	203	2831	8466	1628	2389	6	0	830	3	5	26707	5994	0	6	228	5	13170	0	32627	1690	9752	10	0	0	0	4727	6	10	0	8	8223	0	0	0	9206	1101	4	843	2521	7	6782	7114	0	14472	28628	0	10	0	2	12	264	1221	7	4147	0	0	0	0	0	136	6	15	91	5	0	64	7	6	15	0	10	60	8	113	57	11	8	12	0	43	61	11	0	0	5	5	9	0	17	0	1755	3	0	0	4	146	2	0	9	0	430	40	0	0	20	0	0	7	27034	112	27759	2	0	0	48	0	0	0	8	0	377	12	7	84	9	16247	0	21	8	21580	0	0	0	7	0	1099	0	12	81	2	4	5	0	14275	0	15347	902	583	10	9061	12444	6	1	2675	1	16124	24430	12	7139	5371	4432	0	4	14	5798	7	0	0	6	18	0	1482	3634	10703	0	0	0	0	0	5	12780	7	2677	14518	25090	13	522	4	0	13547	111	2636	0	919	0	4	13	17235	5	4	6	126	4	5452	2691	28	0	0	6	0	20	0	0	35	0	0	1012	0	10	0	0	1	0	1	0	133	24	67	0	14	0	3	6	8	0	3	10	9	0	7	6
ASV0005	12184	12425	3447	723	1549	105	860	6998	556	5827	2668	78	32	21717	29089	1386	5128	73	154	11177	365	744	10904	15000	182	191	23	347	1369	452	4184	957	349	60	710	22360	3207	541	926	337	52053	601	502	32	5124	4995	384	20316	619	204	2793	653	0	258	39	52	60	4286	89	30	4161	4479	33	121	49	737	437	119	24	405	27	33	11376	575	264	251	144	301	33	6	70	9	36	545	35	0	26	0	121	14	40	383	261	13	45	140	770	1277	328	262	782	40	194	15	161	17	196	0	90	68	269	81	317	53	52	55	35	1418	518	109	1494	264	22	168	31	839	101	51	6	722	91	1037	75	117	138	632	713	290	1133	459	1561	3373	42	444	24	240	169	363	4131	14213	1058	1452	12	7767	278	11794	638	2619	26	5135	110	19389	3447	2043	2580	63	3027	1397	852	9518	644	219	535	1045	201	79	261	391	765	4359	5819	8	4054	3193	2487	331	38115	93	2761	143	12	4241	14545	514	516	1295	1843	4092	884	8404	14	5048	1345	146	42	2850	1136	2337	155	3905	4543	191	350	524	3112	137	425	17	23306	2574	7846	145	15348	141	5	0	3268	42	19	303	802	1030	21	125	6120	20	146	110	256	4	99	38	1326	92	28	42	54	221	710	5611	43	177	454	1382	1551	31	102	75	32	46	3954	104	8	0	1057	576	36	1361	11	49	39	88	53	0	262	1243	117	18	35	326	481	210	1769	37	1639	245	6	1193	291	8	647	7	30	474	139	16	12	406	791	359	100	95	370	50	339	918	215	3267	59	31	486	905	2507	1007	4042	12970	2758	1366	29	1662	1338	283	957	146	959	4454	3185	813	810	48	630	100	181	291	2067	219	252	477	3882	1040	3478	882	11536	7743	376	613	629	2236	33468	814	4159	0	193	84	46	161	716	219	1811	621	258	10	420	13468	48	42	2812	166	14	56	158	231	55	47	51	57	1156	56	3219	4130	136	3139	109	18	232	0	47	50	11745	62	32971	48	20	440	477	53	49	60	14	182	213	384	202	213	0	13	145	1614	35	365	38	903	0	300	123	296	736	45	718	670	462	54	22	920	46	336	137	353	10	1078	30	19	30	801	126	90	137	0	852	28	3	0	113	315	1282	1319	24	2315	15890	378	148	39	458	188	555	8779	443	210	374	76	36	28	1312	56	42	133
ASV0006	0	0	0	0	281	0	0	0	0	67	0	0	11	8	0	0	17	0	19	24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	2266	0	0	8	0	27	405	0	59	0	0	0	0	0	0	0	0	0	0	0	25	14212	0	5584	2	18445	0	4192	32428	37208	0	0	0	0	865	347	15320	0	0	8367	4175	0	0	0	14	0	716	0	0	0	0	0	2506	0	24726	0	1906	0	7043	22562	40954	0	1938	0	104	0	0	0	0	0	2527	0	3357	1937	19574	680	6498	8845	0	872	4522	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	156	0	0	0	0	0	0	19	0	0	0	0	10	117	0	0	1708	15	0	0	20	13	57	0	10	0	9	0	0	0	0	15	0	0	0	0	235	0	0	0	0	1046	6	0	65	1	0	79	0	3	0	24	0	0	0	0	0	0	9	0	8	63	0	8	0	0	16	0	0	0	0	0	0	0	0	0	11	128	68	0	55	0	16	53	3	0	0	0	0	0	112	0	0	22138	13999	62200	0	0	0	0	0	25196	0	1354	268	0	21498	0	26077	0	834	0	342	0	0	0	0	0	0	0	0	0	1782	958	0	0	0	8804	0	0	4352	6015	0	642	192	23142	0	0	0	4317	0	0	32371	0	0	0	149	0	0	0	0	0	12	69	0	136	0	0	5	0	0	0	0	0	11	0	9	8	0	8	11	0	0	0	0	0	0	0	27	15	0	11	549	34	9	75	0	0	6	0	15	0	0	0	0	0	7	0	0	4	0	42	0	16	0	0	0	6	0	0	137	0	0	0	0	37	0	0	30	0	12	0	0	0	0	0	0	0	0	0	0	0	0	6	0	260	5744	18744	0	2685	0	0	0	0	17	9361	7	40	0	695	0	0	0	9752	0	0	28474	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	17055	9408	10306	9161	0	15346	0	0	0	7533	1964	0	8	0	8	16953	2249	0	194	0	0	6682	3424	0	0	28	0	0	20	0	210	0	0	246	0	0	560	0	35	0	0	1	3	0	33	0	0	0	0	89	2	4	0	0	0	0	17	0	14	20	8
ASV0007	2	0	2	34	255	0	3	286	0	0	23	2	198	0	7	4	37	0	130	24	0	0	3	0	0	132	10	5	0	3	0	0	888	0	83	0	0	654	6	0	0	183	37	0	10	44	1	10	0	0	0	0	0	0	0	18	8534	50	10834	0	6539	47	0	3952	166	97847	1	0	15682	0	14815	28634	322	6773	351	49564	0	0	13213	0	4	4291	0	1693	410	3081	0	0	21	1828	0	0	0	20333	292	0	2177	10	0	107	594	7	0	0	0	0	3971	10497	0	107	15549	1095	465	17	10	0	5967	132	0	3	109	0	2	0	0	2	0	0	0	0	0	7	3	113	6	8	0	0	15	475	13	0	0	11	0	86	0	0	0	137	3	0	1	62	1	44	18	32	0	4	0	0	10	7	131	390	7	0	17	3	0	3	0	14	109	53	3	0	2	0	73	0	0	5	0	46	10	0	0	0	0	10	0	41	5	6	6	6	53	15	1	311	0	7	0	13	0	85	0	10	0	0	47	0	4	54	1	0	0	27	11	20704	14	0	4	0	9689	8821	497	0	0	0	3635	0	0	8045	778	0	0	12	0	30	0	0	310	0	0	0	0	0	1188	3	123	0	7	4310	0	0	4	15305	1034	0	13	1297	0	4376	2489	0	44	23626	0	21	0	0	16	328	1697	0	3651	7	0	0	29	0	0	1	0	204	0	0	0	3	7	1	0	0	0	0	5	85	51	0	0	0	0	64	0	5	0	0	7	29	1	30	0	0	0	0	0	0	206	0	0	11	0	0	9	505	2	11	0	0	6	20353	262	5843	0	1	0	5	0	0	0	0	0	141	8	0	12	7	8191	0	3	0	0	0	0	0	0	0	30	0	0	6	17	0	0	5	15052	0	5695	7	0	36	28619	2701	0	0	1218	0	203	22526	0	21474	9768	1163	22	0	0	3165	0	42	0	9	99	0	188	0	541	0	2917	0	3952	3292	0	0	0	1648	3321	8173	4	0	285	0	15653	0	9527	4	0	3	0	21	9445	0	0	0	29	0	0	298	24	0	0	11	0	0	0	0	24	0	7	0	0	6	0	0	0	0	0	3	0	0	151	1	0	4	0	0	3	0	2	4	3	0	0	0
ASV0008	220	1087	4476	1050	1998	384	1407	3135	80	1028	461	988	1222	3258	385	694	2385	881	2100	380	488	150	1285	1221	393	544	379	972	4106	1024	3532	232	829	131	1203	651	2561	1057	667	1137	5493	794	1184	171	1895	1597	368	197	691	769	2635	15123	117	367	5534	536	107	5418	55	2514	1259	61	18	70	0	4049	591	0	149	116	15	192	1216	101	657	528	201	0	1196	0	1973	3	73	619	43	0	2662	1299	556	0	2914	1251	258	20	15	408	505	0	178	192	904	1016	4361	489	815	60	13062	1096	1552	803	362	29	3606	4635	1060	137	252	3691	222	749	1078	198	27	82	796	374	573	3054	619	1371	396	1991	0	429	180	1582	0	1988	2689	9179	1382	235	34	208	379	451	285	274	1301	5649	1828	212	868	6644	1821	3113	363	141	200	3845	1324	982	2661	519	237	1047	2528	591	78	1412	329	1113	1572	113	502	121	1251	272	30	3218	1327	125	8	381	84	354	2882	823	2325	442	12	503	228	732	592	1507	2278	2565	596	10050	114	2381	420	114	1272	2151	1991	3391	2261	844	4961	360	42	745	488	515	342	0	219	121	1722	73	65	206	3	359	97	126	26	1001	5533	1359	1067	478	1285	21	333	2720	5559	6	0	230	312	12	4	301	2413	0	1515	458	0	6	1067	2555	641	51	1245	7703	705	128	4423	356	2043	227	0	5151	0	306	394	232	0	5481	1891	9004	321	0	474	27	24	717	444	178	1223	331	1101	3707	1598	5761	681	90	855	28	228	1013	234	341	0	2132	1506	6692	868	106	776	1139	1832	1344	84	3048	203	93	722	578	131	293	519	155	3147	1347	64	600	459	190	702	23	688	1029	819	668	214	211	980	181	222	64	1219	235	3159	449	1500	246	464	645	567	1502	293	1264	1565	783	320	455	283	6094	26	737	1248	4548	394	332	3308	708	251	93	1432	2858	907	573	345	2593	814	204	63	238	2165	175	52	46	1419	523	249	310	366	2454	1671	324	76	2752	54	73	3131	5512	2958	203	14	3648	1057	19	6703	437	925	0	1401	775	372	0	4526	54	241	83	347	497	95	2164	673	1313	273	526	997	0	3111	7144	87	435	13	4011	5399	1465	630	1738	423	3364	23	906	1906	1237	1295	522	83	62	217	1801	74	403	300	341	9	711	156	302	29	669	209	27	7399	3238	970	147	857	216	71	278	295	39	221	206	328	696
ASV0009	0	0	16	0	0	0	8	7	0	0	28	0	0	0	0	4	0	23	0	0	0	0	0	0	8	8	0	24	153	3	171	4	5	0	109	8	0	0	35	0	0	191	0	0	0	0	0	0	0	0	0	8	0	0	0	4	10	0	0	3470	0	0	0	11307	0	0	0	0	0	0	2161	0	0	0	0	2051	0	0	16	0	9	0	0	0	9001	0	0	8808	12	0	0	0	5728	0	0	0	0	0	218	0	2224	0	10208	26578	21346	26260	29526	0	152	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	6	0	27	9	0	0	0	0	28	0	196	0	0	5	6	6	0	0	0	20	0	0	30	0	0	0	0	0	0	0	0	0	46	6	0	0	483	55	0	0	0	7	0	13	2	0	0	3	0	0	0	0	3	0	14	0	0	5	0	0	0	63	0	0	0	0	0	0	30	0	0	0	0	0	0	0	31	0	26	0	0	0	0	5	0	0	0	0	0	8	35	171	3686	0	0	0	1755	0	0	0	16650	0	0	11218	0	0	54	0	0	0	0	12	0	0	0	0	0	10	2005	1230	3	18482	7	6313	0	3	0	0	209	3888	176	0	0	3856	0	0	3663	0	0	0	41223	396	5536	0	0	0	0	2721	0	5775	0	3	0	42	0	0	0	0	21	0	0	2	0	4	4	0	0	0	0	0	0	0	3	0	0	0	194	0	124	0	0	37	0	0	0	0	0	0	0	0	4	255	0	9	0	0	138	30	0	11	0	0	0	0	6623	0	0	0	0	3	13	0	5	0	0	0	29	0	0	0	0	22035	0	0	0	4207	10	9	0	0	20	21180	0	58	42	0	470	0	11429	0	0	0	14644	0	0	0	21967	7	0	0	0	0	3596	0	1991	9607	0	0	0	0	0	0	8959	0	386	15	0	475	0	0	0	0	7435	14990	3903	3901	0	0	0	0	19048	0	12	121	0	0	0	16537	0	0	0	0	0	6945	0	0	5111	0	0	0	3376	0	0	0	0	0	0	6	0	0	0	0	0	16	0	0	11	0	0	0	0	43	29	8	0	0	0	0	0	0	0	20	0	8	0	0	0
ASV0010	18771	103	426	626	2731	964	217	269	529	2395	652	12	384	160	400	4551	1557	3399	680	177	2497	113	448	16871	40	0	862	682	1531	2435	1156	4833	712	25	2333	283	3729	137	741	172	358	4951	1525	25	100	1297	53	461	5870	29	33	141	83	11	50	93	5	3100	0	2	36	1088	22	0	5	245	8	51	9	34	8	14	255	8	0	0	25	0	144	1	0	6	102	22	22	48	13	124	3	152	249	29	0	18	5	47	7	13	100	50	60	44	382	9	9	0	0	151	78	28	40	14	168	32	11	21	4	147	37	1193	740	738	878	4097	1239	900	2166	1220	10307	1579	1732	7237	0	1258	249	1974	677	191	485	1005	1843	8	1238	506	51	12	3239	66	993	230	1248	1292	287	3833	1548	1857	517	157	5	5821	542	375	827	837	50	1753	2388	90	1787	585	12	732	272	1435	611	74	792	218	11	93	221	364	0	229	109	3850	123	635	40	1538	7	58	298	154	4950	934	798	681	1219	4100	1539	391	0	583	369	2148	1	544	197	1297	582	394	542	1339	2267	204	148	14	18	83	1043	14	292	2271	0	0	23	14	7	9	24	21	0	112	32	0	0	46	14	12	37	5	29	0	0	0	4582	139	20	326	6	756	34	146	246	0	17	13	89	282	19	29	0	10	0	512	294	0	0	17	11	30	380	106	35	0	88	20	0	754	311	1033	35	14888	4853	1591	3863	3375	7247	0	1613	5	294	1695	2166	110	1158	772	9766	2325	397	1037	1788	190	761	7	57	559	126	97	1747	830	107	570	117	320	136	3358	89	609	2757	551	559	0	460	5333	2131	69	446	1075	13830	339	185	37	2298	11	245	5	605	722	289	1008	58	2743	1507	2418	180	589	34	298	19	207	18	107	26	200	1434	3237	3436	968	0	195	4164	1331	0	21	17	22	0	75	3	33	14	21	10	31	213	35	36	12	41	98	0	0	249	14	4	96	789	0	11857	0	0	14	18	133	416	20	308	18	61	54	0	33	52	53	35	0	34	110	13	230	0	9	6	355	127	5	212	27	22	5	100	68	14	61	8	109	30	1	74	3716	199	542	783	364	68	240	19	33	4	1397	69	84	0	601	870	791	463	197	1552	99	1670	1815	2100	126	1448	489	133	20	227	97	83	310	633	838
