ASV	SRR26945182	SRR26945183	SRR26945184	SRR26945187	SRR26945189	SRR26945193	SRR26945198	SRR26945202	SRR26945212	SRR26945214	SRR26945217	SRR26945218	SRR26945220	SRR26945225	SRR26945261	SRR26945262	SRR26945280	SRR26945284	SRR26945285	SRR26945288	SRR26945295	SRR26945297	SRR26945298	SRR26945300	SRR26945303	SRR26945306	SRR26945310	SRR26945312	SRR26945319	SRR26945320	SRR26945322	SRR26945324	SRR26945327	SRR26945328	SRR26945386	SRR26945387	SRR26945392	SRR26945394	SRR26945403	SRR26945405	SRR26945409	SRR26945411	SRR26945415	SRR26945419	SRR26945422	SRR26945423	SRR26945424	SRR26945185	SRR26945425	SRR26945191	SRR26945426	SRR26945194	SRR26945433	SRR26945195	SRR26945196	SRR26945436	SRR26945199	SRR26945200	SRR26945437	SRR26945201	SRR26945441	SRR26945203	SRR26945442	SRR26945204	SRR26945446	SRR26945206	SRR26945447	SRR26945449	SRR26945207	SRR26945209	SRR26945210	SRR26945211	SRR26945219	SRR26945222	SRR26945260	SRR26945264	SRR26945281	SRR26945289	SRR26945291	SRR26945293	SRR26945301	SRR26945304	SRR26945305	SRR26945521	SRR26945307	SRR26945522	SRR26945308	SRR26945316	SRR26945523	SRR26945318	SRR26945323	SRR26945526	SRR26945527	SRR26945530	SRR26945533	SRR26945534	SRR26945537	SRR26945538	SRR26945539	SRR26945540	SRR26945543	SRR26945544	SRR26945545	SRR26945546	SRR26945388	SRR26945389	SRR26945393	SRR26945396	SRR26945397	SRR26945399	SRR26945401	SRR26945404	SRR26945406	SRR26945407	SRR26945416	SRR26945418	SRR26945421	SRR26945429	SRR26945435	SRR26945438	SRR26945440	SRR26945443	SRR26945445	SRR26945517	SRR26945518	SRR26945520	SRR26945525	SRR26945528	SRR26945541	SRR26945542	SRR26945548	SRR26945181	SRR26945186	SRR26945188	SRR26945192	SRR26945197	SRR26945208	SRR26945213	SRR26945215	SRR26945221	SRR26945223	SRR26945224	SRR26945226	SRR26945263	SRR26945282	SRR26945283	SRR26945286	SRR26945290	SRR26945292	SRR26945294	SRR26945296	SRR26945299	SRR26945309	SRR26945311	SRR26945314	SRR26945315	SRR26945317	SRR26945321	SRR26945325	SRR26945326	SRR26945385	SRR26945390	SRR26945395	SRR26945398	SRR26945400	SRR26945408	SRR26945410	SRR26945412	SRR26945414	SRR26945420	SRR26945427	SRR26945430	SRR26945431	SRR26945432	SRR26945434	SRR26945444	SRR26945448	SRR26945519	SRR26945529	SRR26945531	SRR26945532
ASV0001	2579	2199	2715	1962	1386	3755	2835	235	1318	1367	1518	1088	1161	867	3661	2622	12000	782	8188	14699	639	930	622	1036	2215	630	2185	2449	1192	1370	2095	1246	1418	1599	12089	12807	8107	13521	8799	13330	16061	8456	9466	2546	2289	1717	2171	3428	3056	2124	1860	3007	829	3052	1959	1557	7074	717	1122	519	2145	942	1273	613	3497	966	1963	799	778	1247	802	1229	0	896	2579	2007	19136	11269	4741	990	754	2023	645	13196	2103	11820	1250	947	12219	1752	2155	10962	10657	4804	6077	6269	6189	16792	5614	13513	5497	4041	11811	9599	9136	13130	11230	13226	17519	961	10081	13784	14484	10174	10593	747	1796	613	2295	2584	1235	2308	1823	11305	8728	8133	9278	5014	12506	4645	11872	4085	2505	198	987	5544	871	1481	882	862	1395	901	836	1731	21712	4358	13258	12851	581	1504	234	756	2778	1282	1908	632	362	1629	2056	2156	7976	4195	26082	9143	1898	7515	9881	10730	9078	2829	669	595	1848	1694	1586	1726	2695	14300	8276	2236	20551
ASV0002	612	0	262	377	320	1473	437	422	1654	2	0	359	504	2365	453	1918	697	0	763	0	734	946	683	0	0	1301	518	400	854	498	1430	803	503	460	91	95	580	72	113	237	473	539	53	653	416	941	348	0	1407	445	685	747	760	1077	917	0	199	551	805	584	0	0	951	493	840	399	0	0	318	789	599	1011	0	681	1000	1009	473	114	417	776	1653	672	609	380	161	413	318	384	0	891	228	0	396	365	829	793	735	308	652	385	745	193	749	438	81	317	0	151	1181	5090	21	0	117	284	153	626	593	707	120	159	774	1312	1391	433	526	750	392	815	763	376	482	160	1166	439	551	993	529	243	730	0	621	1621	1065	1049	0	339	0	328	817	599	604	936	506	462	797	473	37	437	1758	1002	831	430	0	624	2630	286	185	104	742	970	1106	215	833	501	848	887	0	264	1304	532	315
ASV0003	0	0	60	194	860	0	770	717	0	0	0	1106	571	1098	183	150	88	75	397	0	0	0	0	287	0	714	0	0	0	0	0	232	0	51	0	129	112	25	0	0	89	133	0	118	0	405	0	0	0	728	0	747	1381	844	141	0	222	2038	0	516	0	0	0	609	0	334	0	735	123	0	0	0	942	1541	0	518	0	0	0	1046	605	0	421	0	0	0	262	475	0	0	0	43	82	0	66	0	0	0	0	135	156	68	0	163	69	137	0	0	375	233	0	47	0	71	0	182	0	791	0	0	0	0	138	88	49	129	121	558	461	0	93	0	226	99	919	274	0	225	822	617	0	0	314	381	0	0	0	0	1135	0	164	495	0	0	135	93	734	0	81	130	106	262	0	190	428	187	0	0	43	0	2008	1339	0	1065	0	0	0	86	348	124	0
ASV0004	0	0	0	0	81	0	0	460	481	775	0	561	172	0	0	0	60	0	0	0	1208	1015	1536	0	0	0	0	0	0	0	0	0	556	957	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	747	0	528	0	545	0	0	0	439	0	1030	0	297	352	1784	0	1480	0	0	0	0	324	1410	905	625	0	0	0	0	0	131	0	446	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	301	85	0	0	0	0	140	0	0	0	0	230	0	0	0	0	0	0	802	0	0	0	0	0	522	0	0	0	0	0	0	0	0	173	0	0	926	107	0	0	0	0	837	0	313	0	0	0	0	0	0	329	0	857	1738	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0005	0	0	0	304	0	0	0	129	0	0	0	899	0	467	0	0	169	0	168	161	0	452	0	359	92	0	0	0	225	211	848	373	0	0	95	162	192	146	168	139	0	99	0	0	173	0	0	439	0	0	0	223	0	0	112	260	36	324	0	419	0	643	0	0	0	0	0	737	0	0	216	0	398	0	0	788	251	0	95	0	720	0	0	126	0	0	182	240	92	253	0	81	405	0	91	171	427	199	0	118	73	155	135	283	0	221	0	0	893	0	0	61	202	155	0	0	0	819	0	0	0	0	0	104	201	202	147	174	816	92	145	0	164	0	0	0	0	0	0	0	167	0	0	1782	0	0	91	193	0	0	0	0	0	0	188	678	105	0	0	192	354	210	70	132	0	0	0	0	217	198	790	376	0	0	200	0	0	129	70	0	0
ASV0006	22	13	23	0	0	29	0	0	0	0	452	0	0	114	36	24	96	0	46	122	0	118	0	108	390	0	296	264	218	187	321	375	297	253	96	109	64	104	60	100	109	69	78	373	373	212	316	38	374	0	292	0	131	0	0	230	31	0	189	0	268	0	246	107	445	0	317	21	0	0	94	0	0	129	0	0	177	98	32	0	12	520	0	94	306	98	165	17	83	263	470	102	72	36	49	53	41	119	52	112	34	30	74	56	75	106	89	106	126	0	59	107	96	79	54	100	282	68	363	398	209	402	264	99	99	65	71	30	62	47	73	32	28	0	0	45	118	530	151	100	296	116	0	0	141	35	117	107	0	0	0	0	394	186	316	107	48	267	433	328	76	31	199	59	0	53	59	78	55	350	0	0	306	271	276	319	360	141	74	0	174
ASV0007	177	0	0	0	101	340	213	0	0	0	0	489	91	0	0	0	119	0	0	0	0	0	95	0	106	244	0	0	0	0	0	219	0	0	0	0	0	0	0	0	62	61	0	0	0	0	0	0	0	489	0	768	0	926	104	0	0	235	0	90	0	0	0	133	0	183	0	438	0	0	0	0	364	0	143	0	0	0	1392	474	0	0	0	0	0	0	0	0	66	0	220	0	0	110	0	1275	152	143	0	0	134	0	0	0	0	0	0	0	304	95	0	0	64	0	0	0	0	0	0	0	0	0	238	0	0	0	118	196	0	118	0	129	71	0	400	515	0	0	0	0	0	332	618	0	0	0	0	0	319	90	0	0	0	0	0	0	0	0	0	0	505	32	0	72	83	0	44	0	0	0	0	0	0	0	0	0	0	0	124	75	0
ASV0008	0	0	48	716	1319	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	283	0	0	0	0	0	0	0	0	0	47	0	0	0	25	0	0	0	0	631	0	0	0	251	453	0	0	462	0	0	0	1863	0	0	0	0	0	0	1583	1115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	0	0	0	0	124	248	0	26	0	0	0	0	275	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	72	0	160	0	822	0	0	0	0	314	0	0	0	0	0	0	0	204	0	271	0	0	0	0	0	0	76	0	0	206	0	0	0	686	59	0	0	0	0	0	0	0	0	0	0	0	0	520	0
ASV0009	0	0	0	116	259	0	0	0	0	0	0	0	131	0	0	0	79	0	0	178	293	103	149	46	0	0	0	0	0	0	0	0	0	0	0	0	70	33	0	0	190	0	26	0	0	0	0	23	0	228	0	61	0	0	478	0	0	0	0	154	0	0	0	52	0	0	0	259	175	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	77	0	0	295	0	0	105	0	35	31	0	0	0	936	0	0	0	50	13	55	0	406	263	58	0	0	21	0	892	0	91	0	0	122	0	0	0	0	0	99	0	0	356	0	0	0	0	213	132	0	0	937	1325	0	0	0	0	0	0	26	0	0	669	180	0	0	0	252	93	0	0	0	0	0	420	0	31	79	2398	29	0	0	0	0	0	0	0	0	0	0	0	0	45	26
ASV0010	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	200	0	161	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	266	131	242	148	241	255	158	159	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	184	101	0	0	0	0	222	0	218	0	0	221	0	0	172	198	85	86	113	114	299	100	273	104	85	203	170	169	242	208	220	347	0	180	221	264	213	149	0	0	0	0	0	0	0	0	190	147	122	179	87	235	103	230	0	0	0	0	95	0	0	0	0	0	0	0	0	389	72	240	239	0	0	0	0	0	0	0	0	0	0	0	0	144	57	486	171	0	124	179	184	160	0	0	0	0	0	0	0	0	279	167	56	321
