ASV	SRR17243429	SRR17243431	SRR17243432	SRR17243436	SRR17243437	SRR17243439	SRR17243442	SRR17243446	SRR17243450	SRR17243451	SRR17243453	SRR17243455	SRR17243457	SRR17243461	SRR17243463	SRR17243473	SRR17243479	SRR17243480	SRR17243481	SRR17243486	SRR17243488	SRR17243489	SRR17243490	SRR17243491	SRR17243492	SRR17243493	SRR17243495	SRR17243496	SRR17243497	SRR17243509	SRR17243510	SRR17243513	SRR17243519	SRR17243522	SRR17243523	SRR17243524	SRR17243527	SRR17243531	SRR17243532	SRR17243535	SRR17243433	SRR17243537	SRR17243541	SRR17243435	SRR17243547	SRR17243441	SRR17243447	SRR17243553	SRR17243448	SRR17243555	SRR17243565	SRR17243449	SRR17243568	SRR17243581	SRR17243458	SRR17243592	SRR17243459	SRR17243594	SRR17243595	SRR17243460	SRR17243596	SRR17243597	SRR17243465	SRR17243599	SRR17243467	SRR17243602	SRR17243468	SRR17243603	SRR17243469	SRR17243608	SRR17243470	SRR17243610	SRR17243471	SRR17243475	SRR17243476	SRR17243498	SRR17243499	SRR17243502	SRR17243503	SRR17243504	SRR17243505	SRR17243506	SRR17243507	SRR17243508	SRR17243511	SRR17243512	SRR17243515	SRR17243518	SRR17243521	SRR17243525	SRR17243529	SRR17243530	SRR17243533	SRR17243536	SRR17243538	SRR17243539	SRR17243540	SRR17243542	SRR17243544	SRR17243548	SRR17243552	SRR17243554	SRR17243558	SRR17243562	SRR17243574	SRR17243575	SRR17243576	SRR17243579	SRR17243580	SRR17243582	SRR17243586	SRR17243589	SRR17243591	SRR17243593	SRR17243598	SRR17243607	SRR17243609	SRR17243612	SRR17243613	SRR17243430	SRR17243434	SRR17243438	SRR17243440	SRR17243443	SRR17243444	SRR17243445	SRR17243452	SRR17243454	SRR17243456	SRR17243462	SRR17243464	SRR17243466	SRR17243472	SRR17243474	SRR17243477	SRR17243478	SRR17243482	SRR17243483	SRR17243484	SRR17243485	SRR17243487	SRR17243494	SRR17243500	SRR17243501	SRR17243514	SRR17243516	SRR17243517	SRR17243520	SRR17243526	SRR17243528	SRR17243534	SRR17243543	SRR17243545	SRR17243546	SRR17243549	SRR17243550	SRR17243551	SRR17243556	SRR17243557	SRR17243559	SRR17243560	SRR17243561	SRR17243563	SRR17243564	SRR17243566	SRR17243567	SRR17243569	SRR17243570	SRR17243571	SRR17243572	SRR17243573	SRR17243577	SRR17243578	SRR17243583	SRR17243584	SRR17243585	SRR17243587	SRR17243588	SRR17243590	SRR17243600	SRR17243601	SRR17243604	SRR17243605	SRR17243606	SRR17243611	SRR17243614	SRR17243615
ASV0001	911	21840	38494	20996	2467	26913	32345	384	13439	12339	11366	11623	42745	60139	32149	68405	1817	30501	47868	18030	76731	42695	50368	6997	51763	40087	13224	38735	47710	72145	66404	70309	43417	48689	67087	57118	57840	23739	65528	4575	9017	29701	52303	62086	18868	15471	9690	1774	15828	52463	695	47255	14413	22776	64969	31448	57405	4115	42222	2266	4077	24562	54574	3421	47654	29599	32725	47533	61272	28997	33934	7311	18411	53512	21418	18315	15691	60839	35432	1718	68783	23400	56812	40066	28900	51947	57265	35135	62138	64034	42615	58894	13761	38891	44897	3601	36181	69617	37876	77899	1843	29133	31065	29352	62144	5004	46368	2276	35978	55115	50339	42241	7345	6495	12906	1950	79449	8804	5172	8168	16371	23160	45147	1132	13337	14978	11820	51891	42185	3275	15420	6149	21554	56491	53371	34197	43532	29258	44036	10349	35540	15998	79955	20495	8005	54085	75063	72100	10831	15004	34465	3799	11	5592	1300	73458	17423	2526	13906	59828	29670	31050	9173	17579	12206	29518	31406	10788	53626	61285	26039	30149	1647	7129	7045	56881	32006	5005	9558	1083	14994	3509	13918	17356	28805	33484	26028
ASV0002	368	33872	29496	9839	17576	1504	24068	26615	46015	42593	44715	3277	1173	276	12139	841	58644	9812	22659	7536	1415	22810	18609	40575	991	3098	3799	2788	5765	1009	958	2663	5363	10180	4156	4318	10320	648	6827	4255	21847	42435	8001	9386	25846	50200	25464	40363	6436	15901	590	2748	37201	2452	6797	285	1329	11909	18465	1175	10702	19925	1414	19244	1232	3990	21502	18109	1658	2468	8475	2362	32511	13553	456	5788	275	1260	8695	394	1153	290	791	4501	21764	10374	1245	33290	2405	1033	19340	6515	824	17668	6057	820	23073	7586	11460	2850	592	16905	1699	2530	14447	2400	624	32624	27174	8316	7752	8767	20962	2422	60868	660	1981	38698	34052	9023	1145	1137	4608	1627	26204	34052	31417	8384	8881	218	25574	21336	373	9464	11334	9229	29771	11017	15041	6147	13225	5452	769	12901	11000	17850	850	711	41329	1460	584	23548	109	1127	47881	8613	22130	6283	2047	3552	17910	27610	5230	399	16224	20818	1819	36905	16937	228	12129	8913	570	7777	2494	13405	26190	20566	41681	60626	42718	49227	12824	35035	27554	1284	637
ASV0003	2288	1667	6764	1579	4733	1278	698	21993	617	442	245	6133	4452	773	1330	928	424	2550	981	30316	147	1460	225	2916	644	707	10272	1176	4502	661	68	880	669	1151	3692	187	10668	32435	2116	61152	1745	5040	13123	602	653	491	1355	201	640	801	1270	896	2148	406	806	5762	711	2732	289	2783	3917	8567	584	1192	105	2218	3932	692	226	2207	11091	221	7246	1703	446	2972	906	1793	10024	410	718	25708	2089	12899	1097	1293	1331	2325	375	275	1806	1617	11381	572	30723	773	10557	4034	1020	974	4763	1012	2162	6042	2549	1203	58	196	974	1772	2967	1662	577	1796	530	219	1190	1662	7962	17523	5958	13552	1736	1458	538	1126	3805	1509	1009	411	1370	99	2215	3002	3157	1197	1604	14534	1755	17774	6637	9846	627	336	3822	1416	687	217	6710	4572	1424	1352	0	393	1466	361	3268	30504	5767	658	3211	5388	519	24305	17868	4007	10552	590	7969	179	776	865	1454	24114	6714	3495	1466	1585	350	1307	4499	4482	2850	1070	8781	2387	2904
ASV0004	0	6726	56	14288	34241	774	504	21	208	399	983	354	23968	0	469	4690	99	212	82	248	2002	1994	185	9335	253	464	118	1069	4680	6044	9742	560	389	13138	613	954	299	198	440	166	1141	0	30	685	4041	3160	0	186	894	718	0	609	299	24070	916	227	902	1247	70	66	15	28	2934	72	544	324	13972	29	125	157	7589	29	8524	1690	0	619	184	261	3852	70	150	1153	4	0	533	640	1123	2655	6138	7562	6944	532	14503	226	69	5	27	10	60	10	417	3593	166	504	179	332	190	196	225	423	12142	297	79	347	1141	182	209	2137	448	0	804	1658	19393	87	31	75	6728	107	9417	22	0	561	536	1569	386	0	252	2313	173	340	6690	209	134	29	2319	2098	114	323	1539	136	458	252	0	0	149	135	232	323	201	4932	10909	8287	366	0	0	230	401	158	133	164	32466	267	294	161	341	404	7568	229	371	6	74	32	81	148	12275	7605	104
ASV0005	163	2367	7444	406	251	10849	17	4	343	609	341	1901	179	174	28204	416	0	88	39	1458	9	1028	539	0	12	0	0	84	0	1264	1802	889	327	616	4465	13818	921	65	77	276	30942	113	625	333	44	21	16052	114	683	352	135	842	700	129	95	48	81	299	2673	0	55	194	633	243	23878	69	843	153	48	342	138	274	160	422	111	20	217	751	743	142	4846	0	29	215	17962	12665	659	384	180	1007	44	81	2712	104	19	25	247	418	517	196	89	92	147	80	222	34	217	35	3940	205	349	330	13	77	14	315	298	12392	68	824	443	21811	1768	144	7	809	9256	20022	210	141	15150	657	7073	112	1084	2675	98	1435	169	227	3160	162	1972	36956	23774	143	336	6160	1009	36	535	30	0	13	136	233	8064	365	267	62	0	985	133	190	6075	174	527	119	9	97	61	3840	65	132	261	695	669	262	0	86	65	18	244	288	243	229	0
ASV0006	229	0	41	0	1	0	0	0	0	7	0	170	12	269	0	0	96	2	7	0	0	1	0	119	120	12444	152	9390	142	7	1	48	14979	153	99	190	111	19	127	5	7	256	430	0	196	6	0	16	5	2	222	205	0	183	0	44	6	0	0	0	360	344	22	36990	0	137	0	501	11	9	2	0	0	0	0	107	64	89	0	711	0	0	1266	2211	1	0	7	159	40	3	27	0	34	0	361	79956	580	364	1494	780	22	1549	3	463	10	2	0	7	0	74	0	3	80	503	273	934	27	972	6	256	28	3	1	523	0	0	0	47	12	66799	381	518	1	0	12	0	59	3	23	135	0	63	62	0	0	55	78	128	77	1	44	348	0	365	2	7	6	0	7	12	3	1	0	9411	186	2	105	109	291	66	7	0	17	0	2	0	0	191	11	96	352	492	73	3	11	51	274
ASV0007	1	3408	697	1999	1195	112	378	0	18	47	15	23	0	0	111	219	9646	9	0	110	0	6	147	582	61	75	42	81	71	478	6467	443	1062	447	319	606	1508	0	15	122	2724	307	191	150	10	78	0	63	46	6137	0	68	8637	7387	0	0	14226	22	43	10	14	98	390	167	544	0	4802	7	116	172	205	5363	489	184	0	349	6	29	341	5	51	935	52	5	383	501	447	173	117	55	24	1423	0	0	4	40	6	8	198	8	69	1478	68	79	309	305	34291	29	0	202	428	0	0	0	15	67	132	4407	0	0	113	8742	326	8	0	0	869	0	0	1	303	34495	11248	142	3	0	12	82	5	7	356	32	128	12115	404	2228	94	11628	3387	0	0	6	0	64	55	4411	156	108	71	23	55	174	73	0	0	351	188	49	7	289	212	313	60	33	55	85	187	11	3	3	383	14	400	115	94	1032	52
ASV0008	608	257	214	753	157	206	751	127	504	254	227	1544	879	116	312	127	194	823	102	292	2033	339	157	0	2095	197	1843	665	434	307	56	306	55	28	101	33	198	434	715	4508	1533	0	2708	148	330	57	460	331	4824	136	1261	478	716	773	586	561	627	2144	1934	102	10422	17335	224	679	60	0	74	1021	36	1927	797	129	200	1320	26	1229	715	361	1723	754	305	665	480	320	195	152	603	51	484	1504	269	160	3754	650	221	315	2443	1782	1128	769	2880	3524	149	4683	39	733	39	211	702	806	391	192	99	1886	420	570	969	1087	4779	684	1633	207	350	729	131	0	475	124	909	128	129	55	54	199	2104	444	63	141	127	303	813	2474	143	131	2416	152	0	0	104	936	1014	408	0	319	586	416	11683	307	3485	370	292	3692	1712	149	412	189	271	176	2245	75	339	3149	3668	539	5199	189	2836	2440	2212	359	1406	1181	3746	275	4423	308	515
ASV0009	7051	98	0	11	19	239	3	36	155	237	155	23679	36	167	182	5	43	154	34	69	55	240	0	40	16	90	1789	354	82	0	0	0	4	12	6	6	6	259	276	2455	6189	12	543	18	19	33	55	16	205	0	8636	154	1407	12	7	138	0	26489	739	4	48392	133	136	277	0	133	12	417	25	30	26	0	30	31	748	1284	0	0	2	0	16	4	51	180	11	6	12	28	42	109	98	579	7702	2752	38	0	410	12	0	2	74	44	22	3011	9	1179	0	19	13	64	258	45	48	149	256	11	821	40	19	4568	89	28	161	0	75	0	187	0	0	130	159	0	10	4	137	299	69	33	888	3948	32	33	0	0	152	591	5	6	9	376	223	13	0	13	752	23	46	49	10	278	330	33	315	199	1520	1121	197	82	30	4	0	11	15	79	110	66	57	5	18	411	236	598	7	25	60	0	26
ASV0010	5006	82	598	6	57	67	7	442	201	39	132	672	12	1230	113	404	103	841	167	231	41	148	0	166	11909	426	1347	803	382	156	72	558	88	249	102	370	686	4	13	527	46	90	201	38	788	132	1	523	334	389	12848	2333	130	25	95	4	648	4	8	821	84	38	29	365	100	3736	136	324	338	577	221	2374	424	204	326	582	933	2865	368	3696	425	2624	55	234	283	84	2004	48	312	448	454	8	5	44	158	529	1841	118	161	168	197	76	349	1703	349	7811	62	256	1537	757	199	591	88	42	164	5857	726	485	450	184	120	54	19	6079	7	19	42	212	21	126	321	59	293	197	88	5	168	75	228	976	346	2397	162	14	58	78	274	45	3992	1280	17	3867	0	3393	3896	303	362	1586	103	213	298	581	367	165	185	176	417	193	1599	3198	549	189	95	2374	109	232	375	3377	8	569	166	1510	78	275	208	2279	135
