ASV	SRR17282890	SRR17282892	SRR17282895	SRR17282900	SRR17282901	SRR17282902	SRR17282904	SRR17282905	SRR17282912	SRR17282914	SRR17282915	SRR17282918	SRR17282919	SRR17282921	SRR17282923	SRR17282927	SRR17282931	SRR17282935	SRR17282948	SRR17282950	SRR17282957	SRR17282961	SRR17282964	SRR17282975	SRR17282977	SRR17282979	SRR17282984	SRR17282985	SRR17282987	SRR17282989	SRR17282992	SRR17282995	SRR17282997	SRR17283001	SRR17283003	SRR17283008	SRR17283009	SRR17283011	SRR17283012	SRR17283018	SRR17283023	SRR17283027	SRR17283030	SRR17283033	SRR17283035	SRR17283038	SRR17283042	SRR17283043	SRR17283044	SRR17283046	SRR17283048	SRR17283051	SRR17283052	SRR17283054	SRR17283056	SRR17283064	SRR17283066	SRR17283070	SRR17283072	SRR17282893	SRR17282894	SRR17282898	SRR17282906	SRR17282916	SRR17282917	SRR17282920	SRR17282922	SRR17282926	SRR17282929	SRR17282932	SRR17282933	SRR17282936	SRR17282937	SRR17282939	SRR17282943	SRR17282946	SRR17282947	SRR17282951	SRR17282952	SRR17282953	SRR17282954	SRR17282955	SRR17282956	SRR17282960	SRR17282962	SRR17282967	SRR17282969	SRR17282970	SRR17282971	SRR17282976	SRR17282981	SRR17282983	SRR17282990	SRR17282991	SRR17282994	SRR17283000	SRR17283004	SRR17283006	SRR17283007	SRR17283013	SRR17283014	SRR17283015	SRR17283016	SRR17283017	SRR17283024	SRR17283029	SRR17283036	SRR17283039	SRR17283047	SRR17283050	SRR17283053	SRR17283059	SRR17283060	SRR17283063	SRR17283068	SRR17283071	SRR17283074	SRR17283075	SRR17282891	SRR17282896	SRR17282897	SRR17282899	SRR17282903	SRR17282907	SRR17282908	SRR17282909	SRR17282910	SRR17282911	SRR17282913	SRR17282924	SRR17282925	SRR17282928	SRR17282930	SRR17282934	SRR17282938	SRR17282940	SRR17282941	SRR17282942	SRR17282944	SRR17282945	SRR17282949	SRR17282958	SRR17282959	SRR17282963	SRR17282965	SRR17282966	SRR17282968	SRR17282972	SRR17282973	SRR17282974	SRR17282978	SRR17282980	SRR17282982	SRR17282986	SRR17282988	SRR17282993	SRR17282996	SRR17282998	SRR17282999	SRR17283002	SRR17283005	SRR17283010	SRR17283019	SRR17283020	SRR17283021	SRR17283022	SRR17283025	SRR17283026	SRR17283028	SRR17283031	SRR17283032	SRR17283034	SRR17283037	SRR17283040	SRR17283041	SRR17283045	SRR17283049	SRR17283055	SRR17283057	SRR17283058	SRR17283061	SRR17283062	SRR17283065	SRR17283067	SRR17283069	SRR17283073
ASV0001	64330	9060	22975	39654	82761	50253	82317	72768	56651	30878	22895	2878	27290	2832	21786	56062	81931	93362	86381	7413	77245	63081	4870	653	2228	21400	37897	48377	14671	17976	44714	4791	27375	38641	29445	2256	14217	32374	0	19786	104520	89590	27311	21215	93003	20321	5917	81288	13078	26385	3576	3500	1914	42497	66989	43071	2401	19414	81312	51059	15370	81104	4436	13677	71070	83321	50151	68839	1727	8469	78542	22208	27141	56162	16554	17730	0	87173	1845	33320	1861	44485	42557	51534	35452	37800	13020	59882	56406	761	62251	3178	5504	5509	69342	50093	31230	75984	6007	7555	20674	69805	57617	33299	3732	21362	57730	1469	46564	356	3781	73969	9114	80629	34062	57398	53060	3377	21804	39742	54154	69274	69465	35314	2717	50089	69723	20782	62284	18109	67198	3181	34387	2026	43675	34395	4555	4547	19427	9696	51262	49344	21024	66670	36336	5154	54953	54926	59636	42885	2774	3668	57139	5646	52747	93009	89305	18240	34469	11826	102887	10179	9208	64499	7122	2108	8026	49722	9280	89931	28241	42677	47030	33842	4028	62118	1280	18234	13796	87629	79013	9261	95554	343	2401	34889
ASV0002	0	2749	73	732	0	0	2302	0	0	0	0	269	0	332	190	30405	2833	161	5418	0	7451	0	4199	95346	455	0	5660	12139	8170	1109	0	73572	1759	4059	9502	0	0	0	0	15930	0	1921	150	17842	0	5152	46849	0	0	166	0	0	585	0	0	0	9375	197	0	17828	9328	0	3761	0	0	0	0	0	261	37598	817	0	1018	416	0	0	0	0	0	21030	26473	0	0	0	16354	7321	33732	0	12224	0	555	1342	0	62351	0	0	16232	0	0	0	0	10594	109	21805	0	0	0	7329	0	0	0	0	5673	0	2276	0	10592	0	0	0	5145	16459	9108	0	19645	0	0	0	3168	0	0	0	0	638	7874	0	0	0	27160	0	1849	0	65765	14594	22565	0	0	21449	0	0	0	47698	0	36458	20815	0	654	44164	1134	26932	0	24962	0	12351	27516	0	0	0	130	0	0	0	4688	0	43929	0	1911	0	2830	1440	4517	3861	0	1054	1710	12602
ASV0003	9566	0	0	0	3178	1493	0	2146	5262	45014	3154	0	4366	0	0	0	0	0	0	12664	0	3341	0	0	0	14219	0	0	0	0	10898	0	0	0	0	0	17144	0	0	0	871	0	0	0	1677	0	0	0	13524	0	314	0	0	7257	0	2782	0	0	1016	0	0	0	0	49150	11475	1619	42593	0	0	0	0	0	0	0	0	0	0	6180	706	0	0	0	21961	19349	0	0	0	0	0	5020	0	0	660	0	0	32947	0	0	0	6674	55757	0	0	0	3092	26867	1197	0	86	3822	31171	2979	0	510	0	1554	0	0	15926	0	0	0	0	0	0	16847	1130	20036	0	3178	22078	0	6004	0	0	37953	0	0	0	13062	0	0	0	0	0	2767	0	0	5890	12782	55730	0	12883	0	0	0	0	0	0	0	1247	0	11081	0	0	0	0	0	0	1106	1149	0	0	0	0	3915	0	59872	0	0	0	0	876	0	0	0
ASV0004	7870	875	0	0	0	0	0	0	0	0	0	0	294	0	0	0	165	0	2023	37	372	0	860	1285	264	1762	9416	210	2695	67	0	0	189	1628	41404	0	0	0	0	40	0	0	39	38	278	0	15	0	48	530	0	0	319	3961	195	0	0	0	175	2807	37510	402	1351	0	0	0	0	98	40	0	0	0	212	0	0	75	0	188	20	265	27399	215	279	0	0	0	33090	89	0	86451	0	79	0	0	0	194	0	0	0	0	0	0	0	0	56	12432	0	35267	0	84729	546	652	372	217	0	107	123	0	53	142	298	280	0	0	0	0	998	0	0	0	0	52	0	303	1919	0	19	19	195	4491	92	0	201	0	0	0	143	212	0	0	677	98	0	218	248	0	0	762	6913	1288	0	0	0	73	0	0	78	0	29	3086	267	79	306	0	41	0	175	348	58966	1327	4813	0	232	17	55	0
ASV0005	0	6671	87	148	0	0	48	0	0	0	0	59103	0	89537	21593	10625	9869	70	248	0	303	0	610	320	0	0	2349	0	0	0	0	0	123	266	344	0	0	0	0	59	0	0	11781	2201	0	0	0	3830	0	1779	0	0	10	0	38	0	256	18728	0	491	477	0	80	0	0	0	0	896	111	413	2433	0	2791	0	0	0	0	0	0	3716	1432	21129	0	0	32133	710	7873	0	0	0	29	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	4125	0	0	0	0	0	0	138	0	0	0	0	7210	2676	464	1864	28472	2733	0	0	0	35	0	0	1487	0	204	370	0	35417	945	970	0	315	0	579	737	571	0	0	705	0	0	0	17045	0	167	303	0	3111	314	0	409	0	97	0	1486	194	0	500	0	886	0	0	0	215	0	287	0	438	0	273	0	223	0	0	39	307	225
ASV0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2130	0	14281	11866	0	0	0	0	0	0	0	0	0	0	0	0	4076	0	0	0	0	0	0	0	0	0	2647	0	0	0	0	0	0	0	0	0	9103	0	0	75807	66436	2047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	5704	34755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	2512	0	0	0	0	0	0	0	0	3330	0	0	0	0	0	0	0	0	0	89312	0	18937	0	0	0	5954	0	12446	0	0	0	0	0	0	0	0	0	0	0	0
ASV0007	3143	0	0	0	0	0	1828	95	769	0	0	0	0	0	3444	0	0	0	208	185	646	60	814	0	0	0	349	318	3072	206	169	0	44	602	0	6159	115	31153	1736	32999	1183	116	0	0	15	141	0	0	0	152	0	13112	22	0	1603	34	0	0	49	269	934	148	338	0	0	0	982	200	12	0	0	470	506	22	0	527	448	247	113	671	1134	917	1121	208	323	5990	0	0	541	0	0	84807	45292	0	76	259	163	2103	252	34743	849	409	19	433	290	0	18	132	0	0	0	216	57	0	2722	345	534	447	111	142	1143	256	0	322	0	0	148	585	47	41	0	366	2344	0	54	27277	1342	4228	141	161	129	19	516	1802	219	80	0	0	0	0	0	0	0	660	661	0	418	0	0	1332	25	5535	230	869	0	4837	2249	0	0	0	0	0	0	0	0	28	0	1003	131	21	0	557	47	101	1247	4819
ASV0008	97	1479	1598	6124	5858	12004	2645	7	139	212	2978	221	76	64	673	276	174	193	40	202	2170	13861	39900	9	239	0	0	11	27	199	144	103	755	1049	472	10	8	26	46	0	33	0	49	1879	36	0	862	153	4529	2055	11	0	141	38	0	420	1419	469	222	900	461	336	34759	714	180	129	56	213	1601	970	75	8	568	164	45	99	17	337	66	1869	15257	976	3878	13185	4621	27818	229	37	10122	0	4	0	28	94	821	112	16610	0	16	27	1	23	5	3	2290	531	18	311	40	5	1387	6	162	20	138	1185	0	11	1	794	1512	902	3452	11	0	0	115	382	7343	12645	385	3313	96	1108	1133	544	531	267	120	412	14	2	5425	3320	12665	14439	133	129	3	3	0	2	10143	10	29	16	173	822	27	799	0	32	31	0	0	9	193	19	1564	178	54	3262	830	5	1253	965	73	39	89	5	3	8	0	58	707	13
ASV0009	395	1738	1285	9	58	46	0	6	884	96	2279	578	76	43	835	35	99	322	1404	5318	5	19	127	1144	41287	0	285	1015	172	578	228	5200	4223	662	576	22	4	128	215	4	304	0	226	29	747	1	1406	907	72	16139	17	18	45608	133	14	5505	353	439	1200	750	651	1	13	62	27	170	65	1078	710	1683	294	5	13944	871	75	100	164	979	260	30	17	0	10	56	6	2	484	47	5	99	106	138	84	36	4825	986	11	47	62	80	16	0	0	0	3567	1500	67	0	5	191	3250	35	1219	113	915	4405	0	10	1772	0	0	0	0	31	0	36	9088	2893	16	45	145	738	375	914	10103	1551	4638	2969	490	2894	147	7	6	0	22	13	1242	461	13	55	87	18	6	65	134	15	710	132	2209	1396	0	32	38	0	0	27	1054	165	4240	1218	165	7134	0	145	1261	1237	2316	24	67	120	34	21	13	101	9218	25
ASV0010	0	545	0	1946	0	9	0	298	580	6261	69	69	0	67	13	0	9	0	302	29303	179	28	0	0	0	1887	135	0	36639	120	50	0	0	524	175	85	0	0	747	235	0	85	0	1027	110	1378	0	0	34	20	0	0	0	28	1665	0	0	0	0	1344	1253	0	16	81	0	40	0	0	38	116	0	0	16	0	334	614	31	1899	80289	591	419	633	1757	0	0	181	0	0	43	0	19	599	909	148	0	0	0	88	27	0	261	106	17	246	160	51	39594	48	0	0	0	46	664	96	0	0	258	0	478	0	1816	93	0	28	0	65	47	492	29	0	233	0	347	0	183	0	598	1912	0	214	215	0	754	0	0	0	6	74	548	11655	0	0	0	2183	365	391	11	0	0	3372	0	0	825	419	0	0	723	0	406	209	185	0	41	406	0	0	0	0	50	0	68	424	12	0	27	69
ASV0011	65	324	2	431	84	9609	84	4391	8576	12794	31	125	67	23	0	0	1	0	112	145	1076	1125	842	1	0	0	0	0	6	0	0	3	8	470	594	52	124	290	101	41	3	108	31	234	177	390	24	22	5	26	0	0	0	3	8	5480	8	31	75	1638	2107	1451	1320	29	23	2058	245	0	0	2	0	0	1	3	154	85	93	194	71	39	5101	132	1009	59	14	888	156	0	270	0	1	0	11	0	22	105	128	113	104	69	38	86	8	1525	288	77	276	31324	0	0	11	2	3	0	24	122	50	19	0	586	165	119	51	0	0	0	135	406	387	158	28	27	5209	74	442	276	322	2697	264	1425	41604	46	142	72	377	80	55	2	137	0	0	250	558	0	14	0	88	0	0	23364	25	41	403	1362	1	27	362	18	3249	210	52266	548	87	3	28	66	23	191	20	2	37	5	3	2	113	2
ASV0012	185	231	377	1550	1342	6379	848	80	160	91	1521	340	305	228	703	111	204	353	199	2459	181	3436	6459	74	17	0	207	7970	78	547	80	234	256	115	45	53	246	1140	656	439	26	17	112	777	53	1069	1213	55	246	1250	7	54	798	405	5	907	404	26	311	73	71	348	7605	35	73	56	25	51	173	875	45	324	220	80	22	236	829	135	198	202	1243	940	1080	954	622	2154	151	73	7720	8	31	20	70	143	183	640	23171	63	245	115	1036	42	273	1273	740	716	11	64	261	159	9055	8	10	59	173	3850	1158	89	8	497	328	52	306	170	0	4440	1170	449	19940	5736	109	897	27	491	390	157	339	170	180	1733	17	39	1354	734	10422	26686	178	72	52	26	11	11	13308	46	138	55	201	1829	4315	130	32	1422	325	65	170	67	307	57	1896	104	61	892	549	114	1730	466	231	30	64	168	0	86	12	8	153	395
ASV0013	6	640	429	251	31	93	41	184	228	24	581	925	460	40	133	16	1057	20	63	2151	140	349	4663	0	4	5	230	330	132	4	7	4	5	639	390	171	752	814	606	2008	57	73	76	134	683	4246	374	369	849	6129	0	51	13	4	3	91	296	2890	396	474	613	276	171	783	69	30	90	292	49601	188	37	0	1518	85	52	35	191	26	75	9190	483	35	1398	110	415	36	456	92	6	1	10	1	0	67	293	9	9	181	115	1441	1771	224	605	2263	707	15	0	23	229	0	205	0	5	168	53	7	1825	339	6	99	225	126	240	284	5129	0	154	324	49	315	0	662	301	260	242	99	467	297	470	125	25	82	57	73	141	41	104	752	292	119	70	378	8	2	24	26	16	10	6	437	0	5260	4408	1434	1050	134	595	18	652	20	10	4	334	226	44	119	2	11	12	16	145	46	0	7	116	1660
ASV0014	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	21	15	19	22	110	0	65	15	3	168	0	196	10	595	8	15	11	0	0	0	0	21	2272	28	14	0	0	50063	182	0	0	39	136	0	115	0	178	0	8	259	0	0	0	0	0	0	0	0	39	0	0	0	12	0	0	0	27687	8	0	0	2174	325	36	9	0	0	0	0	0	0	0	286	1721	0	16	0	346	0	0	0	0	0	219	0	44	0	4	0	4	0	157	0	0	0	0	0	175	139	176	0	0	0	0	9	23	0	0	2	9	2457	106	3	0	0	0	4	12	39	2	0	11	0	0	0	40	32	0	0	0	0	0	11	45	30	0	4	0	0	8	16	1673	0	304	0	0	0	47	0	267	0	55	0	203	4	0	2	0	2	0	0	149	66	95	17576	175	119	194	94	0	0	356
