ASV	SRR31465417	SRR31465420	SRR31465418	SRR31465422	SRR31465423	SRR31465425	SRR31465427	SRR31465419	SRR31465429	SRR31465428	SRR31465432	SRR31465436	SRR31465434	SRR31465437	SRR31465442	SRR31465439	SRR31465453	SRR31465454	SRR31465441	SRR31465455	SRR31465443	SRR31465461	SRR31465446	SRR31465462	SRR31465463	SRR31465465	SRR31465468	SRR31465447	SRR31465470	SRR31465451	SRR31465472	SRR31465464	SRR31465473	SRR31465466	SRR31465475	SRR31465467	SRR31465469	SRR31465477	SRR31465476	SRR31465478	SRR31465481	SRR31465479	SRR31465485	SRR31465486	SRR31465480	SRR31465490	SRR31465494	SRR31465482	SRR31465495	SRR31465483	SRR31465504	SRR31465508	SRR31465487	SRR31465491	SRR31465496	SRR31465499	SRR31465501	SRR31465503	SRR31465505	SRR31465506	SRR31465507	SRR31465416	SRR31465421	SRR31465424	SRR31465426	SRR31465430	SRR31465431	SRR31465433	SRR31465435	SRR31465438	SRR31465440	SRR31465444	SRR31465445	SRR31465448	SRR31465449	SRR31465450	SRR31465452	SRR31465456	SRR31465457	SRR31465458	SRR31465459	SRR31465460	SRR31465471	SRR31465474	SRR31465484	SRR31465488	SRR31465489	SRR31465492	SRR31465493	SRR31465497	SRR31465498	SRR31465500	SRR31465502
ASV0001	2847	28064	19600	0	2675	43572	30901	4633	33322	5399	14971	31782	7353	8913	44	19	7868	6493	0	3216	8197	3950	4064	2825	1614	25	119	2068	16128	1576	2591	1994	4083	4900	3316	0	16	13	2793	100	8	0	2465	2495	921	17653	3143	907	464	4086	14429	46319	223	16198	1989	17282	822	20671	3761	18272	18992	15185	14231	44013	3252	5218	8667	21476	17116	23	9641	1345	5203	15847	1121	3192	10124	5751	8101	3752	941	1896	3252	3443	92	12415	155	4	580	27397	10649	447	20265
ASV0002	0	0	0	0	10279	0	1	0	0	0	1	0	7906	7129	61	23	13034	16886	9779	16655	10807	11752	8817	5290	14119	82	159	3456	7556	11944	8964	6175	6833	5168	10436	0	40	6650	8645	0	0	0	3	3	0	0	11857	0	0	13111	0	0	0	0	0	0	0	6	10729	3	0	0	0	0	0	0	2	0	0	9909	8258	6763	9554	10892	2777	4444	14124	4808	11533	8201	11503	14594	6661	10393	1	0	0	0	0	0	0	0	0
ASV0003	7846	4	2644	14279	1492	0	11628	0	0	13654	8411	0	0	0	0	0	3337	0	0	631	3672	0	0	2549	2968	29	265	1898	3	892	562	1442	253	4065	0	22	5	7137	2707	2	0	0	0	0	0	0	0	0	0	0	18791	0	0	2	0	0	0	13618	0	9921	12478	28930	7623	0	10035	33703	5003	11327	0	0	0	680	0	0	4310	1219	0	1193	3958	7911	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0004	4986	2221	3	0	475	11761	9491	14	50	2242	2505	3417	656	2518	2535	33805	1392	209	689	2822	212	2554	1462	2443	803	30777	0	29	512	272	265	438	122	249	0	1894	0	1433	171	39	0	8	0	0	0	0	157	0	0	489	4248	1606	0	0	0	0	0	1801	0	4320	1786	0	5462	38	6	0	1858	5648	14575	0	669	1159	0	2238	1894	871	2064	1113	3136	265	756	1225	165	0	0	0	0	0	0	0	0	0	0
ASV0005	0	0	0	0	4852	0	0	0	0	0	0	0	2387	1072	45	0	1666	10039	0	1931	7090	2991	0	1988	3748	82	0	1698	0	6135	3517	5229	2661	4671	2031	0	0	5720	9080	0	2	0	0	0	0	0	2659	0	0	0	0	0	0	0	0	0	0	7	10924	0	0	0	0	0	0	0	0	0	0	6097	8068	4076	3255	0	2619	3397	1107	0	8449	6831	6390	6224	2980	3984	0	0	0	0	0	0	0	0	0
ASV0006	0	0	0	0	0	0	0	0	0	0	0	0	4353	0	0	0	0	0	0	0	0	0	0	0	1	0	0	421	0	1141	0	2466	4706	0	5259	0	0	183	0	0	26	0	11542	2954	4796	2557	0	3696	2368	2952	0	0	8424	24	2319	8096	5573	0	1	0	0	0	0	0	0	0	0	0	0	2458	0	0	0	0	0	0	0	0	1	0	0	0	1901	0	0	1417	1548	16617	2307	774	2409	9731	1755
ASV0007	9	0	144	25	4	5	333	1	26	38	5	38	0	8	35577	1	8	0	26	10	0	0	12	1377	3857	26	0	0	0	4	9	1229	0	3682	0	0	40419	0	1	0	0	0	0	37	0	0	0	0	8	0	0	19	0	0	0	0	0	62	0	40	0	21	82	2036	104	0	0	4	14	4	65	6	0	10	6	0	77	0	77	5	2	22	0	2	0	0	0	0	0	0	0	0	0
ASV0008	0	0	0	26934	0	0	0	0	0	3085	8132	8141	0	0	3	0	0	0	0	0	1076	0	0	3539	1187	39	62	0	4975	2740	0	1408	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9316	0	0	1845	0	1258	0	1507	3143	0	0	1656	0	0	1328	2423	0	0	0	0	0	0	0	0	0	0	0
ASV0009	0	0	0	0	3256	0	0	0	0	0	0	0	3624	13	31	3	869	2189	0	2129	3283	1533	80	0	2414	0	31	505	5608	1194	13	0	749	0	0	0	0	0	505	14	0	0	0	0	0	0	3415	0	0	5650	0	0	0	0	0	0	0	2	2778	0	0	0	0	0	0	0	0	0	0	1998	0	1334	1639	0	0	1101	6807	4244	1786	3357	2248	0	1219	1470	0	0	0	0	0	0	0	0	0
ASV0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2688	0	0	0	0	0	0	0	1373	0	0	0	3286	326	2480	151	0	1579	599	0	0	0	930	2611	723	1525	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2401	0	3329	2505	2577	3	510	2828	6985	490	1167	2238	2682	960
ASV0011	0	0	0	0	523	0	0	0	0	1	0	0	3	2882	0	3	707	171	6921	2988	1814	0	0	2312	1160	45	1	348	0	1592	1653	897	0	0	1840	0	21	725	0	8	0	0	0	0	0	0	2473	0	0	1251	0	0	0	0	0	0	0	0	1514	0	0	0	0	2	0	0	0	0	0	1754	0	567	0	859	0	0	1306	1076	1160	464	829	0	257	1020	0	0	0	0	0	0	0	0	0
ASV0012	0	0	1	0	430	0	0	0	0	0	0	0	0	1601	0	0	0	0	0	0	65	1256	6118	0	1520	47	0	0	2847	167	1488	457	1318	967	0	1	0	2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	0	0	0	0	0	0	0	0	0	0	6003	0	1538	954	0	1	0	1464	2375	2097	771	21	0	628	3641	0	2	0	0	0	0	0	0	0
