ASV	ERR12050113	ERR12050114	ERR12050115	ERR12050116	ERR12050119	ERR12050128	ERR12050131	ERR12050137	ERR12050138	ERR12050140	ERR12050143	ERR12050146	ERR12050147	ERR12050150	ERR12050152	ERR12050153	ERR12050154	ERR12050158	ERR12050161	ERR12050164	ERR12050166	ERR12050179	ERR12050181	ERR12050184	ERR12050186	ERR12050194	ERR12050196	ERR12050197	ERR12050198	ERR12050199	ERR12050200	ERR12050201	ERR12050208	ERR12050211	ERR12050213	ERR12050216	ERR12050218	ERR12050220	ERR12050112	ERR12050120	ERR12050121	ERR12050122	ERR12050125	ERR12050126	ERR12050129	ERR12050132	ERR12050136	ERR12050142	ERR12050144	ERR12050145	ERR12050148	ERR12050155	ERR12050159	ERR12050162	ERR12050167	ERR12050168	ERR12050169	ERR12050170	ERR12050171	ERR12050175	ERR12050176	ERR12050177	ERR12050180	ERR12050183	ERR12050189	ERR12050193	ERR12050204	ERR12050205	ERR12050207	ERR12050210	ERR12050212	ERR12050222	ERR12050117	ERR12050118	ERR12050123	ERR12050124	ERR12050127	ERR12050130	ERR12050133	ERR12050134	ERR12050135	ERR12050139	ERR12050141	ERR12050149	ERR12050151	ERR12050156	ERR12050157	ERR12050160	ERR12050163	ERR12050165	ERR12050172	ERR12050173	ERR12050174	ERR12050178	ERR12050182	ERR12050185	ERR12050187	ERR12050188	ERR12050190	ERR12050191	ERR12050192	ERR12050195	ERR12050202	ERR12050203	ERR12050206	ERR12050209	ERR12050214	ERR12050215	ERR12050217	ERR12050219	ERR12050221
ASV0001	1408	486	311	336	172	30	4517	905	18059	1764	2534	71	185	376	7327	6763	0	19878	8238	298	41	6332	4102	11572	17168	13148	927	1360	18591	14145	16988	3330	838	2546	3887	1752	6563	1050	1868	359	696	2258	66	929	1261	5942	1496	3407	683	640	5737	238	2134	2058	101	4574	12301	17625	10060	17111	15061	327	8428	2558	4728	13675	18690	113	1113	3533	6374	141	238	163	1419	120	2309	5310	9707	6241	6477	4609	2072	6532	401	10244	6383	2056	5804	213	189	265	6220	26309	1375	5662	4473	572	552	22450	22450	11676	9004	9304	5796	7991	1222	1083	2987	1443	979
ASV0002	746	3660	4748	3132	2955	3528	972	3271	924	1246	1477	153	176	2357	725	1328	2703	707	1556	1066	593	1466	2323	575	214	822	3813	3508	663	100	452	2103	3360	2690	1908	3420	1871	3446	1640	4803	3266	4522	1561	2196	2842	892	1451	1371	2494	1414	859	2452	3015	1256	1100	2238	34	997	587	258	570	1602	1316	2371	2247	495	829	3475	4343	3299	835	4613	1353	2937	3107	3166	1836	1627	469	1057	569	691	2113	1105	1069	377	918	3175	1300	695	4476	2277	1219	427	3242	1634	1653	4715	4162	1056	1056	143	1975	1117	1349	1709	2988	1843	2687	4006	4205
ASV0003	474	2782	2917	1806	2268	3379	700	1059	716	1370	1628	69	115	2367	1050	961	2225	355	1319	852	311	801	1215	789	240	881	3790	3657	422	191	494	1766	4519	3397	1314	3444	1197	2343	658	2901	3213	1959	1694	2702	3225	869	1578	910	1057	743	703	2240	2107	884	666	2198	20	521	199	340	384	1533	1716	1238	1251	527	483	3714	2808	2545	1071	3545	1368	1757	1039	2258	1152	1522	256	789	652	533	1884	1162	1171	306	1174	2157	862	647	3598	1466	815	305	1854	846	1617	2831	2083	588	588	153	2709	804	890	1074	1698	1142	2413	2747	3910
ASV0004	264	499	258	1028	108	658	254	711	389	611	498	69	45	190	459	470	1312	261	131	335	39	418	634	212	145	398	477	1714	231	34	298	610	1681	883	523	541	507	657	558	1798	2333	1109	1036	930	1732	314	367	1021	987	360	241	427	1308	377	482	692	13	307	132	112	145	833	398	572	1172	177	180	1172	1493	934	103	1231	1448	970	2100	307	227	741	142	314	144	280	499	564	713	120	149	1089	292	227	872	1554	157	122	1019	657	623	438	1367	236	236	27	345	417	471	555	467	523	633	800	1467
ASV0005	112	1108	558	199	95	943	303	248	183	297	211	14	17	372	336	101	231	39	510	179	25	107	103	170	9	82	581	253	206	39	201	269	446	1444	217	308	228	734	223	1166	350	233	38	193	1129	269	503	144	276	217	23	117	142	260	3	144	0	265	106	34	163	320	264	719	300	131	193	608	373	849	470	1080	257	504	424	574	92	284	44	113	95	101	175	293	156	64	202	545	129	142	1315	472	215	47	164	150	348	527	666	21	21	32	565	205	252	76	1213	447	1185	706	1039
ASV0006	116	73	156	189	798	346	56	189	384	223	198	33	10	309	308	205	447	82	327	208	33	266	96	73	44	77	380	423	128	17	72	378	600	697	244	271	73	852	402	762	798	538	403	37	251	66	225	341	313	276	13	396	265	153	98	334	7	66	156	73	308	214	246	373	805	70	97	1019	1513	900	214	24	277	764	227	450	178	257	51	18	209	120	333	101	142	61	369	344	409	194	559	648	62	23	372	168	117	857	221	167	167	42	531	115	163	115	384	146	288	1275	790
ASV0007	2828	370	156	319	123	214	104	283	158	225	339	0	0	505	56	0	236	170	9	1646	5843	389	4	0	45	216	72	127	50	24	133	4	0	0	303	97	170	672	0	5	161	81	52	279	609	85	260	157	193	252	226	497	0	308	1086	0	15	94	29	763	173	533	378	268	252	70	30	0	320	0	259	0	835	24	221	91	565	215	10	371	456	82	132	279	935	267	284	27	418	716	53	630	434	622	74	35	161	302	236	0	0	31	71	203	0	117	230	85	192	0	0
ASV0008	3278	1172	370	443	4501	0	0	0	0	0	0	13	88	68	5	44	1270	0	0	1008	41	0	0	0	0	0	0	0	0	0	0	55	0	0	39	0	0	0	5118	10	5	0	1257	2	0	0	125	12	717	87	10	1462	0	13	0	0	0	666	17	7	5	0	0	0	0	0	0	0	0	0	142	0	2026	109	10	606	0	5	0	23	72	0	3	0	24	0	0	84	14	1440	0	0	416	0	0	1	0	0	0	0	0	0	0	30	0	0	0	27	0	0	0
ASV0009	627	0	56	161	0	0	425	134	365	808	190	108	378	285	458	174	33	471	10	615	1036	97	481	39	61	332	0	0	46	53	12	179	0	0	437	0	82	0	674	0	0	76	17	750	0	0	892	169	353	647	191	75	261	227	788	287	345	131	73	142	412	39	269	110	283	146	59	80	0	83	244	165	594	108	471	85	1060	163	42	81	185	111	86	174	241	393	75	152	141	374	0	880	305	170	104	64	470	0	0	63	63	153	0	677	168	372	76	298	415	0	0
ASV0010	30	8	8	0	0	0	119	23	499	46	61	0	8	11	201	158	0	476	203	9	0	167	104	342	463	364	19	31	500	361	415	78	23	67	103	46	178	17	45	11	20	58	0	31	33	162	41	105	13	17	131	9	54	58	2	121	353	451	254	441	362	0	214	69	147	361	500	0	31	91	174	0	10	0	34	0	73	129	271	146	170	136	43	188	0	284	153	43	164	0	0	0	184	715	24	182	98	8	12	552	552	275	205	226	149	185	29	21	81	45	33
