ASV	ERR6650269	ERR6650274	ERR6650276	ERR6650277	ERR6650278	ERR6650280	ERR6650284	ERR6650285	ERR6650286	ERR6650287	ERR6650290	ERR6650293	ERR6650294	ERR6650295	ERR6650297	ERR6650301	ERR6650302	ERR6650303	ERR6650309	ERR6650310	ERR6650313	ERR6650315	ERR6650316	ERR6650319	ERR6650322	ERR6650325	ERR6650326	ERR6650327	ERR6650328	ERR6650331	ERR6650333	ERR6650337	ERR6650342	ERR6650343	ERR6650345	ERR6650347	ERR6650350	ERR6650356	ERR6650359	ERR6650362	ERR6650364	ERR6650371	ERR6650372	ERR6650375	ERR6650377	ERR6650379	ERR6650382	ERR6650389	ERR6650390	ERR6650396	ERR6650399	ERR6650401	ERR6650409	ERR6650411	ERR6650413	ERR6650416	ERR6650417	ERR6650421	ERR6650423	ERR6650424	ERR6650425	ERR6650426	ERR6650432	ERR6650433	ERR6650435	ERR6650439	ERR6650440	ERR6650443	ERR6650448	ERR6650451	ERR6650453	ERR6650460	ERR6650461	ERR6650462	ERR6650464	ERR6650465	ERR6650467	ERR6650468	ERR6650472	ERR6650479	ERR6650480	ERR6650481	ERR6650482	ERR6650483	ERR6650485	ERR6650488	ERR6650489	ERR6650491	ERR6650493	ERR6650496	ERR6650503	ERR6650504	ERR6650506	ERR6650512	ERR6650524	ERR6650525	ERR6650531	ERR6650544	ERR6650546	ERR6650548	ERR6650551	ERR6650552	ERR6650554	ERR6650556	ERR6650557	ERR6650558	ERR6650564	ERR6650565	ERR6650567	ERR6650569	ERR6650570	ERR6650571	ERR6650575	ERR6650579	ERR6650580	ERR6650583	ERR6650585	ERR6650586	ERR6650589	ERR6650271	ERR6650273	ERR6650275	ERR6650279	ERR6650288	ERR6650291	ERR6650292	ERR6650300	ERR6650306	ERR6650307	ERR6650308	ERR6650317	ERR6650320	ERR6650324	ERR6650330	ERR6650335	ERR6650338	ERR6650339	ERR6650341	ERR6650351	ERR6650352	ERR6650360	ERR6650361	ERR6650365	ERR6650366	ERR6650369	ERR6650370	ERR6650373	ERR6650374	ERR6650376	ERR6650378	ERR6650385	ERR6650387	ERR6650388	ERR6650395	ERR6650404	ERR6650405	ERR6650407	ERR6650412	ERR6650414	ERR6650415	ERR6650419	ERR6650420	ERR6650422	ERR6650427	ERR6650428	ERR6650431	ERR6650437	ERR6650442	ERR6650449	ERR6650450	ERR6650452	ERR6650454	ERR6650459	ERR6650469	ERR6650471	ERR6650473	ERR6650484	ERR6650486	ERR6650495	ERR6650498	ERR6650499	ERR6650500	ERR6650501	ERR6650508	ERR6650513	ERR6650514	ERR6650515	ERR6650516	ERR6650518	ERR6650520	ERR6650521	ERR6650526	ERR6650529	ERR6650532	ERR6650535	ERR6650537	ERR6650538	ERR6650539	ERR6650542	ERR6650543	ERR6650545	ERR6650549	ERR6650550	ERR6650553	ERR6650555	ERR6650560	ERR6650561	ERR6650563	ERR6650568	ERR6650573	ERR6650582	ERR6650587	ERR6650588	ERR6650590	ERR6650266	ERR6650267	ERR6650268	ERR6650270	ERR6650272	ERR6650281	ERR6650282	ERR6650283	ERR6650289	ERR6650296	ERR6650298	ERR6650299	ERR6650304	ERR6650305	ERR6650311	ERR6650312	ERR6650314	ERR6650318	ERR6650321	ERR6650323	ERR6650329	ERR6650332	ERR6650334	ERR6650336	ERR6650340	ERR6650344	ERR6650346	ERR6650348	ERR6650349	ERR6650353	ERR6650354	ERR6650355	ERR6650357	ERR6650358	ERR6650363	ERR6650367	ERR6650368	ERR6650380	ERR6650381	ERR6650383	ERR6650384	ERR6650386	ERR6650391	ERR6650392	ERR6650393	ERR6650394	ERR6650397	ERR6650398	ERR6650400	ERR6650402	ERR6650403	ERR6650406	ERR6650408	ERR6650410	ERR6650418	ERR6650429	ERR6650430	ERR6650434	ERR6650436	ERR6650438	ERR6650441	ERR6650444	ERR6650445	ERR6650446	ERR6650447	ERR6650455	ERR6650456	ERR6650457	ERR6650458	ERR6650463	ERR6650466	ERR6650470	ERR6650474	ERR6650475	ERR6650476	ERR6650477	ERR6650478	ERR6650487	ERR6650490	ERR6650492	ERR6650494	ERR6650497	ERR6650502	ERR6650505	ERR6650507	ERR6650509	ERR6650510	ERR6650511	ERR6650517	ERR6650519	ERR6650522	ERR6650523	ERR6650527	ERR6650528	ERR6650530	ERR6650533	ERR6650534	ERR6650536	ERR6650540	ERR6650541	ERR6650547	ERR6650559	ERR6650562	ERR6650566	ERR6650572	ERR6650574	ERR6650576	ERR6650577	ERR6650578	ERR6650581	ERR6650584
ASV0001	3113	3569	36	2138	1778	84	312	173	5026	382	28078	1752	21940	646	2194	2790	2283	3048	11117	2749	10439	1782	1387	1365	7382	3777	14417	111	209	10901	15585	124	2533	2026	2290	696	3007	7263	2130	3044	5217	1626	1453	3357	16583	12505	22702	15584	8497	11830	7908	2439	15347	1230	16142	13893	172	920	21037	6349	27438	6186	5524	1178	9014	7610	43612	2169	2873	190	532	255	50	24	536	19	60	4735	3061	2821	201	675	88	383	789	1098	1055	987	76	8195	6489	4786	1857	5720	633	3540	10150	26636	8364	36837	20057	41430	1921	36794	108868	9692	4463	29365	8237	33930	19772	2976	2502	1651	7358	557	12704	25364	10042	265	1272	1126	2808	2157	4347	3441	837	2533	7004	13467	3614	3146	1993	400	1093	7212	871	3070	4456	8309	6482	6478	10200	5867	3424	133	3611	1785	2839	9489	22839	9497	5260	2808	5210	7884	21954	11973	15405	2619	16390	15213	1522	11481	30629	6206	720	14601	293	58	1100	102	10	2218	5158	2943	350	37	393	3345	10516	680	14796	4231	5911	24	1365	1316	1091	1326	14575	817	3469	8461	3798	45779	3295	11326	7721	14802	30178	73291	1490	39764	16324	33513	30242	1629	34900	1343	1945	5766	540	27516	15	132	173	71	211	563	9048	4629	1426	4719	1711	15331	11393	1062	7481	10542	1474	8098	3699	2425	15510	942	9241	12790	617	1082	1323	94	620	8110	762	7645	2729	2017	1225	17960	6934	21225	6908	6260	7859	25399	1854	8835	5392	15056	2525	12538	4964	9694	6820	17069	2800	8398	835	14178	7289	287	3224	2617	1740	9930	466	349	320	337	94	73	82	89	108	15010	5560	6262	2151	1248	5320	430	78	5161	9619	10707	1937	3545	8176	4108	2654	4485	1383	3245	1256	1554	867	290	384	27299	1566	11043	23362	38841	29417	33453	23022	25090	7621	20281	18849	22460	40354	732	20327
ASV0002	3247	825	35	1093	470	1059	785	98	992	2826	69	764	29	595	475	569	443	127	1621	468	2787	342	3411	404	3108	555	1427	2242	111	2659	1662	656	682	536	1422	617	1421	3590	1410	6758	1555	341	547	1783	196	2058	616	570	1108	152	211	29	260	4002	352	3137	1365	349	332	51	4217	759	65	4818	613	475	164	1190	984	156	936	186	81	16	1051	21	171	134	139	335	4665	2678	89	2858	1330	1411	1064	2036	7067	284	2124	913	1315	1296	374	73	3722	3701	605	485	636	3557	83	4799	4103	770	27	168	500	641	371	1632	203	654	15	166	5793	104	571	473	1737	500	741	466	1083	543	253	589	468	513	1491	327	192	892	2095	1464	581	998	642	4011	1561	5955	566	920	747	50	298	214	82	1958	2761	866	10	77	156	76	3866	3201	2146	694	1311	1924	65	138	2396	240	103	3124	147	151	1210	529	5	2508	254	480	9952	88	4588	682	117	1256	42	1866	120	13	46	596	229	438	1647	10161	245	239	3902	1141	366	2842	550	2169	491	1675	226	540	47	626	5864	59	27	46	681	2146	230	797	26	25	52	442	1556	1427	954	928	409	875	338	88	2625	1391	611	565	898	3499	550	678	2081	765	2114	1107	550	286	439	2011	623	9853	279	2823	10829	150	215	202	1066	297	477	1182	46	1039	294	17	978	266	74	139	94	392	117	532	1498	1585	191	5734	1649	84	20501	12645	246	672	324	385	288	603	174	180	38	146	83	64	27	323	104	157	45	2152	41	702	77	19	304	97	7175	175	2414	1743	921	2990	1456	2011	9299	1321	13590	167	566	376	1442	358	1845	162	2127	1737	26	3411	72	1759	739	105	26
ASV0003	3779	294	0	7	34	202	4717	36	26	8	31	141	16	597	244	147	170	5678	51	82	961	870	4060	551	582	689	15	1711	20	64	67	607	1513	1103	6773	838	5197	712	3364	2896	2552	1339	1166	8019	1191	449	114	62	1896	259	1103	5852	8535	132	9361	1089	44	87	306	10236	430	293	41	334	71	0	873	268	123	44	77	430	1952	117	604	6600	1300	3181	4916	684	599	752	5913	804	789	138	126	296	0	39	77	259	146	200	20	29	125	549	79	134	373	1143	122	1778	2556	178	5099	210	65	513	706	534	5542	62	2719	50	317	1206	967	330	2433	7	35	66	113	60	191	97	5848	180	1276	630	984	64	230	69	919	2987	1817	971	1816	419	91	295	143	20	572	3957	4350	288	95	104	827	145	647	847	96	131	107	757	214	60	2893	10168	731	12681	39	573	38	349	71	325	48	1135	547	658	1318	2017	17	37	53	49	17	111	1598	12	25	83	148	408	58	36	30	94	145	921	357	1772	250	3450	584	1279	75	548	7891	505	56	81	13791	25	78	3224	143	278	22	10	9	3156	1604	31	8	14	116	160	298	10	156	1959	4169	137	428	683	445	806	288	400	91	45	320	262	469	408	382	3542	7703	858	223	8333	8984	533	744	226	472	306	4315	231	137	81	1665	555	390	1548	465	988	574	956	75	23	3407	366	473	51	3731	3651	712	1928	87	826	71	36	304	1807	700	704	712	1680	1038	1012	1291	151	1372	417	2467	21	31	23	25	1810	124	2820	248	181	110	167	147	164	79	28	38	173	1808	651	295	366	453	12134	273	196	12470	813	870	138	486	20	817
ASV0004	3	61	6428	29	281	10307	22	10057	13	28	0	108	0	196	22	392	270	12	49	248	69	17	0	64	20	53	236	3	8415	690	17	0	1565	929	123	1041	152	5	18	129	0	16	11	36	16	0	0	18	54	65	136	0	15	650	16	23	62	46	23	0	298	465	1282	506	21	49	0	8	0	17	111	10	205	5	26	1010	82	33	12	10	6	57	0	9	102	171	109	37	5	10	0	19	24	50	7411	8	130	76	43	4	54	8989	7474	6191	14	14	3	7	4	39	3686	2104	18	126	16	90	1726	7	5	37	3	64	183	58	74	54	15	567	8	330	55	32	8	577	1724	536	886	60	1033	12	15	2	9	136	0	20	52	4	17	118	32	1591	0	147	240	15	173	674	1361	7	0	16	30	34	479	96	34207	7	11	5	71	61	10	97	76	172	13	0	131	37	148	445	121	26	8	15	19	148	524	67	27	3150	21	25	0	22	22	24	218	11	10	1165	2409	235	31	8	47	6	6	3830	107	310	190	106	4	0	29	0	103	85	28	119	65	63	64	140	198	11	8	341	48	124	50	103	19	1892	1118	8	1196	567	602	14	1890	91	8	48	140	0	0	0	43	27	4	808	4	5	751	0	98	75	18	5	0	274	50	580	6369	1621	15	561	1808	18760	17	3	709	66	45	0	8	140	9	21	3	24	10	1	1	46	10	56	0	17	0	15	0	19	254	5	7	9	33	3	582	91	0	69	120	8909	2406	14	193	22	37	5	0	8	7	3	20	0	6	24	417	5521	5
ASV0005	0	322	0	529	129	0	0	0	1586	51	0	0	0	0	24	105	147	2016	0	71	0	399	0	33	41	368	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	42	0	36	0	0	0	0	0	7353	325	700	700	30	109	53	0	48	74	733	320	71	28	64	0	52	0	0	0	6	0	0	0	0	0	0	0	0	0	0	32	80	401	92	90	0	32	91	8	0	65	130	65	316	0	0	52	325	30	0	15932	586	116	282	0	90	20258	143	0	0	390	146	0	43	6028	32	71	6217	11993	0	0	0	44	25	23	63	0	65	2091	0	327	3424	706	0	0	0	0	18	0	0	0	0	65	194	0	0	209	15	397	0	0	44	4087	41	82	4969	0	0	0	0	0	112	8766	194	0	1867	0	2805	0	12	11	49	0	0	0	0	33	96	0	129	0	0	951	38	1151	0	0	17	18	13	0	9	42	90	4900	231	134	1420	162	986	0	390	116	218	6564	0	0	184	0	17	46	112	50	245	0	0	19	0	0	60	732	0	19	0	0	3542	0	0	1837	51	88	0	252	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	97	151	0	0	0	8042	0	57	1382	86	61	50	166	6820	210	213	220	0	0	0	246	370	0	3684	14187	0	165	27	237	0	10	0	0	0	0	10	106	204	0	0	0	1098	405	48	58	2687	2962	21	348	76	660	34	175	0	199	13	1604	11	0	5	0	41	80	221	0	0	0	655	0	2336	86	2244	0	113	16	1565
ASV0006	953	1330	15	4	213	243	1839	79	0	45	78	723	27	3684	273	1506	1010	35	599	684	2034	360	611	588	1705	387	322	598	183	1609	15	1729	1826	2080	645	1246	807	688	1334	314	294	20	8	280	40	0	27	9	117	52	1081	0	13	66	8	0	83	138	21	6	523	1476	225	22	146	396	24	363	693	359	937	20	140	11	70	1317	500	803	177	250	239	197	19	49	439	445	410	174	0	0	321	1243	414	384	393	0	367	540	644	29	3	204	132	159	0	87	13	13	44	20	52	635	208	122	9	263	62	30	9	1557	788	92	96	814	970	560	691	1047	24	963	1030	180	135	2650	598	431	959	259	2880	1198	72	3524	48	305	55	60	358	7	49	302	23	204	3	506	968	99	33	1128	35	12	0	77	9	82	1046	261	483	80	402	262	494	277	39	1928	578	930	2255	0	88	48	46	132	67	1124	16	5	29	1723	510	1190	2211	453	62	383	18	564	3457	109	2181	96	29	181	180	36	6	28	38	273	0	7	190	292	517	154	5	1	31	190	909	155	4	113	943	713	751	38	1111	2238	90	591	648	2268	648	913	8	492	244	35	1776	1395	1068	675	3497	155	102	179	100	193	57	32	325	58	30	202	5	19	109	0	133	122	84	1120	405	147	500	787	528	26	98	894	1154	126	17	24	203	260	727	524	423	585	33	118	246	97	62	215	139	544	140	907	44	109	7	56	35	5	81	98	635	343	463	136	1330	434	19	1627	722	1894	273	20	500	172	801	350	3	3	190	22	2	0	3	0	0	35	10
ASV0007	1147	53	0	0	0	0	274	0	0	0	0	31	0	166	70	26	0	4	6	11	8	21	176	35	7	10	0	60	3	8	3	127	3	13	0	7	0	2141	0	91	1025	55	6698	187	26	0	0	0	24	0	0	0	1	4	0	0	5	3	0	0	46	9	0	0	0	0	47	803	648	2447	1276	87	273	4960	48	14	160	18	14	176	94	1760	267	2241	1908	399	278	2689	273	20	573	752	1323	445	0	0	0	0	0	40	0	14	0	17	1	2	0	0	0	0	3	0	0	0	0	0	4	0	2	984	347	0	0	137	16	37	16	117	3	29	78	2	0	200	30	23	0	6	6	3658	266	174	57	65	752	13	26	12	4	183	11	30	0	5	0	0	1	3	0	0	6	0	5	4	3	11	2	1	4674	1798	3165	3224	16475	97	3053	83	585	2554	511	28	7	20	17	86	0	1	10	0	0	41	8	0	3	0	0	0	0	7	5	8	65	79	1	77	0	4	0	0	0	0	0	2	0	7	3	0	9	4311	2010	2	0	0	34	60	18	0	649	218	0	26	54	6	19	10	0	14	6	5	10	3	26	59	11	84	166	2313	93	62	79	22	186	9	0	0	0	85	8	6	393	19	0	0	0	11	0	0	0	0	3	50	130	4	0	0	0	16	3289	3103	3199	7845	958	2595	2639	1717	325	10	0	27	13	2746	9	5877	181	237	3	36	5	367	30	26	39	22	2	2586	192	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0008	938	43	0	4	0	0	102	0	0	0	0	0	8	57	11	45	82	5888	42	31	148	612	930	21	69	248	12	12	0	10	48	38	775	553	3702	320	3102	101	0	175	143	1655	333	2959	158	181	14	19	1045	61	63	1688	398	58	667	30	0	27	424	3026	155	37	0	83	5	4	514	0	0	0	0	0	0	0	9	29	0	139	207	111	32	103	1602	75	97	6	0	19	0	13	10	47	0	54	0	0	68	168	59	160	391	343	81	366	1078	58	6039	334	9	182	84	0	38	0	15	33	45	2163	1751	18	525	0	0	0	0	18	0	26	6020	85	722	459	446	0	9	63	566	1756	854	120	63	96	45	91	73	15	242	6688	1376	116	21	12	20	22	72	0	26	12	15	0	35	60	3288	3291	98	3438	9	639	0	0	0	0	0	0	37	59	48	478	8	11	0	11	0	31	290	4	0	0	5	0	0	0	0	0	164	357	85	1317	55	2608	72	598	19	310	7722	163	9	108	4919	0	78	53	53	321	0	0	10	17	35	0	0	0	0	0	11	0	55	30	4360	51	91	44	78	105	514	0	0	59	149	122	202	6	132	45	54	100	33	49	25	772	229	430	0	0	499	33	74	52	663	217	110	66	63	506	21	853	12	0	28	80	28	0	585	1285	0	201	0	0	0	0	13	0	0	0	16	1869	1177	283	194	6	1478	33	558	0	0	0	8	466	13	387	13	20	0	45	0	33	0	0	0	119	0	234	105	699	179	4101	303	71	354	44	575	74	62	0	1723
ASV0009	0	0	0	0	11	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	35	4396	0	41	23	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	28	0	23	10	0	158	272	33	0	26372	27747	0	1050	896	118	215	0	0	0	0	0	0	0	0	0	126	1011	3750	167	842	178	144	103	0	4	0	0	0	0	27	0	517	0	22	54	0	39	0	0	33	8275	0	4	16326	0	12	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	507	1508	4422	0	0	0	0	0	0	0	0	0	16	146	0	0	179	15	0	74	0	0	0	0	0	0	0	0	0	0	919	0	0	0	345	18	2580	0	102	22	1067	18	0	0	0	0	221	4971	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	4	23	0	0	0	15	0	0	0	0	0	0	17	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	21	127	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	365	1008	69	79	17	583	172	230	72	54	0	0	0	0	0	0	0	0	0	0	0	258	4167	0	0	5	0	0	0	0	0	0	0	0	26	0	0	15	0	0	0	649	0	280	0	0	0	18	0	12	0	139	0	0	0
ASV0010	349	43	0	6	6	0	0	0	5	0	0	37	0	13	26	13	15	207	37	32	1085	666	56	288	808	711	0	0	0	11	21	0	698	565	3831	398	3035	203	0	819	813	769	73	514	1187	181	11	0	1126	52	39	0	678	0	1008	33	0	33	244	0	42	40	12	0	10	4	82	0	0	5	0	79	376	40	173	1271	336	4908	7404	433	862	343	345	444	232	221	109	185	0	1	0	44	0	38	0	0	20	357	13	89	379	286	41	542	571	12	2702	187	4	9	10	0	991	14	0	0	22	1297	929	0	92	0	6	21	14	8	6	9	103	68	1167	495	462	0	10	3	516	1698	853	307	670	97	21	39	28	6	137	3682	0	169	5	9	0	0	57	5	20	8	24	0	55	37	1474	0	7	0	9	330	0	0	0	14	17	419	638	268	1718	268	20	2	7	0	0	13	755	0	0	0	0	52	9	0	0	0	59	165	31	1097	89	2128	588	510	23	383	6467	0	17	28	0	0	93	151	25	1000	0	0	0	0	0	8	0	4	17	30	66	8	78	0	216	48	433	1037	557	906	261	12	5	31	175	85	189	0	147	1084	2772	283	39	2932	3350	383	110	140	0	76	0	0	49	29	564	238	56	21	37	376	51	843	0	0	847	0	110	0	26	317	161	159	18	0	0	0	65	400	147	118	318	3593	2377	734	1472	43	3159	307	229	0	0	7	0	282	7	395	10	21	0	18	1	8	0	7	0	9	557	148	21	386	246	0	61	12	0	34	338	24	29	0	891
