ASV	ERR6650591	ERR6650592	ERR6650593	ERR6650596	ERR6650599	ERR6650604	ERR6650605	ERR6650612	ERR6650616	ERR6650620	ERR6650621	ERR6650623	ERR6650624	ERR6650628	ERR6650629	ERR6650631	ERR6650633	ERR6650635	ERR6650645	ERR6650646	ERR6650648	ERR6650650	ERR6650651	ERR6650653	ERR6650654	ERR6650655	ERR6650657	ERR6650659	ERR6650664	ERR6650666	ERR6650668	ERR6650669	ERR6650670	ERR6650672	ERR6650675	ERR6650676	ERR6650678	ERR6650682	ERR6650683	ERR6650685	ERR6650688	ERR6650696	ERR6650700	ERR6650701	ERR6650702	ERR6650704	ERR6650705	ERR6650706	ERR6650710	ERR6650712	ERR6650713	ERR6650714	ERR6650718	ERR6650719	ERR6650721	ERR6650724	ERR6650730	ERR6650731	ERR6650733	ERR6650741	ERR6650742	ERR6650743	ERR6650744	ERR6650745	ERR6650748	ERR6650752	ERR6650754	ERR6650761	ERR6650765	ERR6650771	ERR6650775	ERR6650781	ERR6650782	ERR6650785	ERR6650790	ERR6650793	ERR6650797	ERR6650798	ERR6650800	ERR6650804	ERR6650808	ERR6650810	ERR6650812	ERR6650819	ERR6650820	ERR6650837	ERR6650839	ERR6650840	ERR6650842	ERR6650846	ERR6650847	ERR6650848	ERR6650852	ERR6650855	ERR6650856	ERR6650857	ERR6650864	ERR6650867	ERR6650868	ERR6650870	ERR6650871	ERR6650876	ERR6650878	ERR6650879	ERR6650882	ERR6650885	ERR6650889	ERR6650891	ERR6650897	ERR6650908	ERR6650911	ERR6650912	ERR6650913	ERR6650915	ERR6650595	ERR6650598	ERR6650603	ERR6650607	ERR6650611	ERR6650613	ERR6650615	ERR6650617	ERR6650625	ERR6650626	ERR6650627	ERR6650630	ERR6650632	ERR6650634	ERR6650640	ERR6650641	ERR6650643	ERR6650652	ERR6650656	ERR6650658	ERR6650660	ERR6650662	ERR6650663	ERR6650665	ERR6650667	ERR6650673	ERR6650674	ERR6650677	ERR6650681	ERR6650684	ERR6650686	ERR6650687	ERR6650689	ERR6650691	ERR6650692	ERR6650695	ERR6650697	ERR6650699	ERR6650703	ERR6650709	ERR6650720	ERR6650723	ERR6650725	ERR6650727	ERR6650728	ERR6650734	ERR6650736	ERR6650737	ERR6650739	ERR6650740	ERR6650747	ERR6650750	ERR6650751	ERR6650756	ERR6650759	ERR6650762	ERR6650770	ERR6650772	ERR6650778	ERR6650786	ERR6650787	ERR6650788	ERR6650791	ERR6650799	ERR6650805	ERR6650806	ERR6650809	ERR6650813	ERR6650815	ERR6650816	ERR6650823	ERR6650826	ERR6650833	ERR6650835	ERR6650836	ERR6650841	ERR6650844	ERR6650845	ERR6650854	ERR6650860	ERR6650865	ERR6650869	ERR6650874	ERR6650877	ERR6650880	ERR6650881	ERR6650887	ERR6650888	ERR6650890	ERR6650893	ERR6650895	ERR6650896	ERR6650898	ERR6650906	ERR6650907	ERR6650916	ERR6650917	ERR6650594	ERR6650597	ERR6650600	ERR6650601	ERR6650602	ERR6650606	ERR6650608	ERR6650609	ERR6650610	ERR6650614	ERR6650618	ERR6650619	ERR6650622	ERR6650636	ERR6650637	ERR6650638	ERR6650639	ERR6650642	ERR6650644	ERR6650647	ERR6650649	ERR6650661	ERR6650671	ERR6650679	ERR6650680	ERR6650690	ERR6650693	ERR6650694	ERR6650698	ERR6650707	ERR6650708	ERR6650711	ERR6650715	ERR6650716	ERR6650717	ERR6650722	ERR6650726	ERR6650729	ERR6650732	ERR6650735	ERR6650738	ERR6650746	ERR6650749	ERR6650753	ERR6650755	ERR6650757	ERR6650758	ERR6650760	ERR6650763	ERR6650764	ERR6650766	ERR6650767	ERR6650768	ERR6650769	ERR6650773	ERR6650774	ERR6650776	ERR6650777	ERR6650779	ERR6650780	ERR6650783	ERR6650784	ERR6650789	ERR6650792	ERR6650794	ERR6650795	ERR6650796	ERR6650801	ERR6650802	ERR6650803	ERR6650807	ERR6650811	ERR6650814	ERR6650817	ERR6650818	ERR6650821	ERR6650822	ERR6650824	ERR6650825	ERR6650827	ERR6650828	ERR6650829	ERR6650830	ERR6650831	ERR6650832	ERR6650834	ERR6650838	ERR6650843	ERR6650849	ERR6650850	ERR6650851	ERR6650853	ERR6650858	ERR6650859	ERR6650861	ERR6650862	ERR6650863	ERR6650866	ERR6650872	ERR6650873	ERR6650875	ERR6650883	ERR6650884	ERR6650886	ERR6650892	ERR6650894	ERR6650899	ERR6650900	ERR6650901	ERR6650902	ERR6650903	ERR6650904	ERR6650905	ERR6650909	ERR6650910	ERR6650914
ASV0001	36	4472	2391	21	6977	3720	13189	12321	8344	9216	9751	10087	592	2800	24504	1837	33883	4188	6849	419	3175	12337	182	20534	9663	9038	19080	8011	6501	21137	9554	39889	23161	6346	17548	8154	4368	5473	61	4577	23647	2873	2751	1407	4415	2534	15893	8610	5587	1185	567	2304	13250	1437	1351	27346	5356	4432	4040	5035	0	4370	3061	703	463	0	11734	6604	10954	5732	3674	3416	26066	7981	4707	262	0	754	3112	1294	2347	605	1406	816	4470	5231	4306	1676	7756	8021	2045	1457	64062	464	609	8490	536	3202	984	5705	12694	8710	10775	2653	858	986	6874	2785	1477	575	3001	3406	5089	3482	2081	936	5436	199	41408	6137	35830	45903	6885	6403	2306	5891	5469	4614	31720	6302	16077	4229	13387	14930	5803	3693	6283	3652	37720	653	3349	7233	3669	2396	8999	6540	6703	6105	1182	268	9393	364	764	946	5180	2937	7832	3531	0	2373	22206	1946	10204	0	660	7263	2047	0	4624	8687	24343	22023	24334	90	7227	8689	277	5208	29067	2597	8427	9980	1210	5160	14850	11896	470	503	62	1111	97277	452	25601	34763	4853	11028	11415	2635	8118	1246	1402	1763	772	426	3026	386	32	333	572	3040	678	2039	48	24353	14719	16253	2576	3402	555	3066	6861	10628	11681	36494	31430	2342	37172	3119	661	11627	29439	12895	10383	5554	20257	4587	340	20653	4483	6234	293	5558	11606	5963	10391	3045	9148	15087	4613	2445	542	3690	1293	215	0	1570	0	1601	9204	7003	19300	13986	2029	13552	9827	10700	31807	25406	3821	3686	14236	6859	1850	220	12	2540	139	1822	10107	3115	3276	6427	4729	973	1317	3363	1523	411	3386	2240	2066	58	2060	1282	690	1521	318	2349	476	612	3143	44442	48506	1858	826	30535	2278	1862	371	2798	8554	6291	501	3402	1975	1272	11	183	7406	1205	98	435	425	1454	2701	1258	7604
ASV0002	10	16436	2187	7	295	1549	3134	1808	2415	1507	1245	0	0	5	206	37	21	194	3709	23232	4281	5379	23285	1143	974	372	689	1169	6026	253	87	0	86	5013	102	608	613	7758	23	0	0	1636	185	168	0	0	203	1271	0	369	21359	0	0	135	0	65	1682	2249	1745	1281	8428	4632	1567	1497	6	0	12	871	325	1021	436	2119	1041	2492	63	259	37	3924	395	304	340	924	215	424	0	127	519	333	42	10	0	0	2574	21	41	15	0	0	1	36	579	112	3277	724	99	0	167	205	1753	917	0	102	88	333	1499	50	0	16335	1116	3279	243	810	766	0	185	487	553	232	4508	11134	9524	8473	1334	15	778	128	497	476	53	2794	7716	602	16114	0	0	0	0	0	0	15181	0	0	125	671	31	234	887	129	3519	10285	1275	513	1547	2779	2885	26	0	0	1988	90	53	89	784	24	0	3517	132	332	1499	463	0	523	1182	355	1007	63	3344	228	1277	320	1536	56	5401	8228	6	127	950	133	39	0	15	3411	156	841	1005	629	5663	0	0	447	599	1202	19	494	422	1424	3008	3312	659	0	2061	753	1635	0	0	0	197	83	14989	6770	11	1991	521	6779	6410	4101	0	274	440	0	7274	0	1063	602	125	575	106	29	1916	1896	2933	7921	7386	99	24	1709	44	131	951	353	50	51	119	9	416	8	231	520	1203	1522	3532	956	11249	121	1464	235	0	1895	264	798	418	284	56	466	403	25	0	182	26	78	86	2179	119	52	1765	1044	1155	205	99	0	0	2622	1109	7	0	51	86	0	12	365	120	693	10	14	17	1163	2637	403	1020	857	11339	794	35	0	0	0	476
ASV0003	11	75	51	0	427	1263	0	318	13	2694	3105	162	33	20014	11202	1292	2570	14027	245	94	26	670	38	224	1218	19	275	1833	401	2020	7730	716	2834	0	94	690	1464	48	3	314	92	0	0	39	0	316	0	0	266	15	49	187	0	1	194	15	129	621	187	0	0	0	0	393	0	0	107	0	2	1214	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	763	128	22	178	595	0	447	6261	172	31054	23004	11956	8433	0	0	3	2465	57	1742	8	59	1676	29	3837	6	344	1402	573	2098	1112	217	0	1105	30	0	1049	55	0	0	21	198	81	41	91	0	0	0	0	0	187	0	0	985	2	8	767	10311	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	12	27	1581	419	180	58	1053	1625	43	225	5160	10	1004	30736	10877	39704	21	72	1554	1743	296	274	1595	77	0	0	1	334	1	745	6	6	0	0	181	22	0	0	0	0	317	2	1	1058	16	6	0	2	0	221	368	6189	954	1862	0	1	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0004	5	118	191	0	0	157	20	0	1842	0	896	143	0	562	10	9	0	43	40	16	0	0	0	22	82	0	30	196	19	0	0	0	0	144	0	2113	2515	0	0	123	0	0	74	458	16	125	0	2233	65	1219	67	720	164	3482	102	0	227	946	381	732	53	897	501	618	126	175	1252	325	904	1998	141	0	181	269	89	2226	39	0	1710	828	434	162	242	468	0	58	179	1875	22266	0	336	141	515	0	16	5	17	6	75	23521	0	0	0	0	390	688	450	1227	0	20	7	169	13	58	259	77	5304	147	14	216	161	111	1723	0	11	722	823	790	0	64	0	0	248	0	0	0	133	0	0	0	339	223	0	0	527	109	0	916	365	0	524	256	376	0	84	1115	234	1363	136	57	202	450	823	95	1341	107	338	1070	649	139	0	508	0	0	0	16	174	106	36441	901	0	83	259	68	43694	3134	17	37	0	37	1511	149	282	4497	0	0	0	0	5513	1743	2210	0	39	0	0	0	0	0	23	1174	13	274	0	36	157	214	511	0	0	20	69	15	1302	141	0	139	0	268	9	0	0	19	98	0	461	375	0	0	903	40	18	234	75	1018	279	1717	120	18	745	1287	3980	0	55	0	7758	525	9307	29	1200	759	79	20	534	5	1624	1337	0	0	0	0	159	0	0	2273	6	43	7	0	772	2015	494	33	64	47	22	9	0	20	0	0	35	7	86	0	0	0	89	2179	47	203	10	3904	95	0	44	284	244	588	0	0	0	0	160	131	3288	0	0	0	0	0	16	0	0	299	6	7	67
ASV0005	0	562	572	0	97	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	9	0	0	0	0	2	0	0	387	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	48	98	110	41	31654	0	0	2	11	19	0	39795	0	5	0	40	0	0	0	0	0	17	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	122	0	0	0	0	0	0	52	62	0	31	167	0	14	0	43	8	0	0	12	0	0	0	0	17	15	0	20	0	1806	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	135	158	219	0	80	0	0	0	0	0	37	138	0	31517	147	0	0	36637	58558	53287	26	57	10	10	0	0	0	0	0	0	0	0	1	0	4	0	21	0	33
ASV0006	0	102	354	0	102	86	9184	1816	82	529	237	5010	39940	61	5	29	0	11	6210	131	94	299	19	1498	843	614	2166	1404	2185	0	0	49	231	296	551	3536	2341	5470	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	217	110	7	65	0	92	3	219	44	13	421	829	1019	170	0	0	32	642	19	47	20	20	40	94	106	0	38	9	93	0	1	0	0	35	37	21	141	0	37	247	103	0	14552	404	1361	5	235	68	5165	231	0	218	164	6	284	0	0	786	91	2506	4499	1130	10403	87	93	345	2762	1419	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5313	819	2	15	101	84	0	0	42	65	14	14	490	75	67	387	432	200	15973	27144	9	65	67	70	19	9	40	15	3	114	110	134	28	187	63	43	55	0	0	425	670	132	5828	7734	175	256	104	2841	3817	5048	0	0	15	16	0	2238	27	763	1277	455	6914	4053	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	156	1945	102	28	2876	0	0	30	115	27	15	159	0	5	0	9	0	57	15	49	377	150	450	91	628	260	39	27	769	569	29	67	22	27	34	42	107	91	100	0	40	22	86	56	152	71	214	478	215	12	134	129	0	150
ASV0007	0	0	0	0	0	796	1354	1942	922	721	382	225	578	4	0	0	0	0	1605	641	1137	1063	738	68	121	459	124	416	1431	0	0	7	0	658	0	17	92	3087	9	461	167	5082	192	159	1214	1014	1168	1205	2749	13	66	384	6498	347	173	41	364	749	205	238	0	58	108	0	280	36	88	85	0	107	587	1854	1687	12005	0	0	0	0	112	91	143	0	18	0	12	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	14	0	15	98	0	0	24	4086	1098	7782	38	1005	292	228	0	0	0	17	1501	3261	3075	3029	133	0	194	55	377	584	0	779	3411	234	3269	299	205	2609	130	334	6	17264	1108	306	233	2416	12	123	212	0	104	0	0	0	76	140	173	104	543	492	345	17	6	0	476	11	44	0	0	93	0	181	7	0	0	88	0	18	397	0	558	38	175	61	1346	2253	0	0	0	0	20	0	0	0	0	110	91	204	483	0	35	189	0	0	0	529	657	2807	901	1947	182	652	12802	209	3582	702	95	0	0	0	4233	1907	6	562	67	1680	2470	747	582	1683	1760	2014	4797	636	0	19	251	357	45	4	0	24	159	365	146	0	32	0	88	20	0	109	0	18	4	0	0	0	247	655	1041	493	4977	1240	11402	0	0	0	1	0	43	341	75	0	24	23	0	0	5	0	0	0	0	986	34	27	516	79	701	0	42	0	0	136	0	0	0	0	0	0	0	0	0	17	0	4	0	246	761	101	0	260	1240	313	15	221	80	345	97
ASV0008	0	0	21	0	144	0	651	91	1055	618	1978	69	0	1989	0	15135	149	23479	45	0	34	178	0	0	0	0	33	279	286	78	0	0	87	0	0	0	113	1597	5	264	0	0	0	0	0	270	0	175	34	284	30	104	14	13	11	49	155	661	100	0	0	0	10251	139	0	213	8561	51	36	132	0	10	1608	0	0	0	0	0	349	158	1636	91	1197	616	0	0	0	0	0	0	60	53	6501	0	0	0	0	78	0	163	0	140	114	72	0	0	0	0	0	0	50	240	0	228	0	0	0	25	0	0	0	209	938	75	19753	8360	3455	7303	425	0	123	83	0	88	0	26	137	0	0	0	0	68	28	0	526	58	66	381	120	11	376	22	0	0	17	26	0	9	0	0	339	350	877	37	160	6188	1351	1379	0	0	2337	0	40	0	0	0	0	313	0	260	0	0	0	435	0	0	0	0	11	43	5035	0	1492	2190	0	183	96	108	0	0	0	0	15	138	238	109	0	0	27	195	0	176	0	40	396	1140	235	511	44	52	0	0	0	0	0	2397	373	4777	10	354	0	282	0	0	2876	1278	9	0	29	0	11	595	311	596	34	0	0	0	0	9272	0	0	11	0	674	675	784	0	16	51	0	320	97	0	548	282	0	0	0	315	41	0	163	0	0	0	0	569	0	266	316	1358	598	270	1011	0	0	27	0	25	0	0	0	28	0	0	42	0	0	0	0	5320	4208	0	0	1039	76	0	0	63	137	100	11	0	0	164	0	73	462	155	0	181	0	50	56	31	875
ASV0009	0	77	129	0	855	0	235	0	3846	1012	1285	1414	182	0	118	0	123	80	0	0	0	0	0	2134	5278	3309	1181	1368	2184	23	327	17	44	157	0	540	0	2024	0	885	139	3290	0	0	0	463	50	0	425	206	0	2301	0	0	73	177	166	232	0	0	66	3088	417	220	0	4	59	5601	5271	3230	2929	3508	161	412	171	667	883	0	723	185	1114	581	218	1048	0	0	99	0	0	0	0	0	1275	0	0	28	0	0	0	1347	0	68	58	672	2155	0	44	0	33	121	140	100	172	99	31	0	3365	39	0	0	1093	1380	1286	7177	179	313	190	370	0	0	0	0	7830	0	2978	0	2488	0	42	0	390	0	81	76	584	195	505	3399	0	33	529	9785	0	1389	0	408	155	370	0	72	114	411	280	0	158	51	0	73	2168	510	34	0	1831	4	3656	72	119	593	34	545	0	0	34	0	0	47	0	131	34	67	1469	47	286	373	0	110	43	323	1908	102	104	0	0	0	0	0	13	0	0	547	0	87	0	223	112	243	294	1120	0	95	872	0	0	423	0	757	98	0	0	0	0	27	4275	82	0	923	123	125	272	430	173	0	84	79	0	0	0	0	12	777	264	0	36	0	52	124	54	101	12	3595	227	113	188	10	1038	1466	1499	462	3771	1268	443	0	0	308	156	140	33	26	975	1754	378	0	0	494	427	0	0	16	0	0	110	342	87	10	52	41	113	123	0	0	0	1237	474	0	19	0	88	1140	0	1318	99	712	92	81	870	0	0	0	0	0	0	0	0	0	20	36	414
ASV0010	5	4698	23346	6	0	61	349	166	118	1	200	12	1	165	62	0	93	394	249	15	261	0	0	2	1200	0	2	307	377	1048	307	102	199	0	0	5	87	584	0	44	107	18	0	42	3	448	5	231	0	194	0	3	1	60	10	272	941	3545	612	338	92	322	0	0	0	223	140	3	821	63	1520	37	1	6	175	153	0	70	103	43	658	11	131	0	198	5	0	0	67	3	485	62	42	80	2	183	469	1833	1967	44	0	0	113	3	0	2	0	0	1156	136	227	306	121	27	6375	89	0	5	35	63	0	147	70	34	11	2785	351	278	0	0	0	3	16	14	0	0	0	3	577	8	10	74	314	423	35	33	124	28	2109	1	126	0	1	3	7	28	0	0	1859	921	271	966	174	1029	37	446	1984	136	59	234	43	0	0	0	68	98	364	99	509	123	14	588	37	189	219	3	0	0	9	134	13	63	295	719	2525	0	0	0	43	0	30	98	0	27	0	17	0	1716	6385	38	822	1813	2	39	660	420	960	338	5	1373	48	1	370	58	0	133	15	0	4	366	1	25	0	273	457	0	0	27	20	18	0	193	0	94	25	3	26	0	4244	1017	2069	2279	37	0	1175	93	278	8	1413	508	138	1	5	0	0	121	192	25	110	0	0	0	0	0	22	74	66	261	0	49	32	75	1	0	16	126	31	284	101	126	0	0	46	29	11	0	63	13	126	0	295	142	29	608	440	227	420	603	755	0	0	3	0	2	2	4	0	6	84	290	0	128	4144	152	170	400	14
