ASV	SRR6360568	SRR6360570	SRR6360572	SRR6360587	SRR6360590	SRR6360594	SRR6360598	SRR6360601	SRR6360602	SRR6360603	SRR6360604	SRR6360608	SRR6360611	SRR6360612	SRR6360617	SRR6360621	SRR6360626	SRR6360629	SRR6360631	SRR6360634	SRR6360635	SRR6360638	SRR6360639	SRR6360643	SRR6360646	SRR6360649	SRR6360651	SRR6360653	SRR6360654	SRR6360656	SRR6360661	SRR6360662	SRR6360666	SRR6360671	SRR6360675	SRR6360677	SRR6360680	SRR6360681	SRR6360684	SRR6360685	SRR6360687	SRR6360697	SRR6360700	SRR6360706	SRR6360709	SRR6360715	SRR6360719	SRR6360720	SRR6360723	SRR6360724	SRR6360726	SRR6360729	SRR6360730	SRR6360732	SRR6360737	SRR6360742	SRR6360748	SRR6360759	SRR6360766	SRR6360768	SRR6360769	SRR6360770	SRR6360775	SRR6360776	SRR6360783	SRR6360789	SRR6360791	SRR6360792	SRR6360796	SRR6360800	SRR6360801	SRR6360804	SRR6360805	SRR6360809	SRR6360810	SRR6360813	SRR6360816	SRR6360819	SRR6360820	SRR6360822	SRR6360824	SRR6360830	SRR6360831	SRR6360833	SRR6360839	SRR6360841	SRR6360845	SRR6360849	SRR6360851	SRR6360854	SRR6360861	SRR6360863	SRR6360864	SRR6360866	SRR6360870	SRR6360872	SRR6360873	SRR6360876	SRR6360879	SRR6360883	SRR6360886	SRR6360890	SRR6360892	SRR6360893	SRR6360897	SRR6360905	SRR6360906	SRR6360907	SRR6360908	SRR6360913	SRR6360917	SRR6360924	SRR6360925	SRR6360928	SRR6360929	SRR6360930	SRR6360934	SRR6360936	SRR6360940	SRR6360944	SRR6360945	SRR6360956	SRR6360957	SRR6360958	SRR6360960	SRR6360961	SRR6360968	SRR6360969	SRR6360982	SRR6360983	SRR6360985	SRR6360988	SRR6360994	SRR6360996	SRR6360997	SRR6360999	SRR6361000	SRR6361006	SRR6361007	SRR6361009	SRR6361011	SRR6361015	SRR6361018	SRR6361019	SRR6361020	SRR6361021	SRR6361024	SRR6361028	SRR6361030	SRR6361032	SRR6361035	SRR6361038	SRR6361042	SRR6361045	SRR6360565	SRR6360567	SRR6360569	SRR6360575	SRR6360577	SRR6360578	SRR6360585	SRR6360595	SRR6360597	SRR6360605	SRR6360607	SRR6360609	SRR6360614	SRR6360615	SRR6360616	SRR6360618	SRR6360619	SRR6360622	SRR6360623	SRR6360624	SRR6360625	SRR6360632	SRR6360633	SRR6360640	SRR6360642	SRR6360645	SRR6360647	SRR6360648	SRR6360655	SRR6360657	SRR6360659	SRR6360660	SRR6360667	SRR6360669	SRR6360676	SRR6360679	SRR6360683	SRR6360686	SRR6360688	SRR6360689	SRR6360690	SRR6360692	SRR6360693	SRR6360694	SRR6360695	SRR6360696	SRR6360699	SRR6360702	SRR6360704	SRR6360708	SRR6360710	SRR6360711	SRR6360713	SRR6360716	SRR6360718	SRR6360722	SRR6360727	SRR6360728	SRR6360731	SRR6360733	SRR6360739	SRR6360740	SRR6360745	SRR6360747	SRR6360752	SRR6360754	SRR6360756	SRR6360757	SRR6360758	SRR6360762	SRR6360763	SRR6360764	SRR6360765	SRR6360772	SRR6360773	SRR6360777	SRR6360778	SRR6360780	SRR6360781	SRR6360784	SRR6360788	SRR6360790	SRR6360797	SRR6360798	SRR6360799	SRR6360802	SRR6360806	SRR6360808	SRR6360811	SRR6360812	SRR6360814	SRR6360815	SRR6360817	SRR6360818	SRR6360825	SRR6360826	SRR6360827	SRR6360828	SRR6360829	SRR6360835	SRR6360836	SRR6360842	SRR6360843	SRR6360844	SRR6360846	SRR6360847	SRR6360848	SRR6360855	SRR6360857	SRR6360858	SRR6360859	SRR6360860	SRR6360867	SRR6360868	SRR6360871	SRR6360874	SRR6360878	SRR6360880	SRR6360881	SRR6360891	SRR6360895	SRR6360896	SRR6360898	SRR6360899	SRR6360900	SRR6360901	SRR6360903	SRR6360909	SRR6360911	SRR6360916	SRR6360920	SRR6360921	SRR6360922	SRR6360927	SRR6360932	SRR6360933	SRR6360938	SRR6360939	SRR6360942	SRR6360948	SRR6360949	SRR6360950	SRR6360952	SRR6360953	SRR6360959	SRR6360962	SRR6360964	SRR6360965	SRR6360966	SRR6360970	SRR6360973	SRR6360980	SRR6360984	SRR6360987	SRR6360989	SRR6360998	SRR6361002	SRR6361005	SRR6361008	SRR6361010	SRR6361014	SRR6361017	SRR6361026	SRR6361033	SRR6361034	SRR6361036	SRR6361039	SRR6361043	SRR6360566	SRR6360571	SRR6360573	SRR6360574	SRR6360576	SRR6360579	SRR6360580	SRR6360581	SRR6360582	SRR6360583	SRR6360584	SRR6360586	SRR6360588	SRR6360589	SRR6360591	SRR6360592	SRR6360593	SRR6360596	SRR6360599	SRR6360600	SRR6360606	SRR6360610	SRR6360613	SRR6360620	SRR6360627	SRR6360628	SRR6360630	SRR6360636	SRR6360637	SRR6360641	SRR6360644	SRR6360650	SRR6360652	SRR6360658	SRR6360663	SRR6360664	SRR6360665	SRR6360668	SRR6360670	SRR6360672	SRR6360673	SRR6360674	SRR6360678	SRR6360682	SRR6360691	SRR6360698	SRR6360701	SRR6360703	SRR6360705	SRR6360707	SRR6360712	SRR6360714	SRR6360717	SRR6360721	SRR6360725	SRR6360734	SRR6360735	SRR6360736	SRR6360738	SRR6360741	SRR6360743	SRR6360744	SRR6360746	SRR6360749	SRR6360750	SRR6360751	SRR6360753	SRR6360755	SRR6360760	SRR6360761	SRR6360767	SRR6360771	SRR6360774	SRR6360779	SRR6360782	SRR6360785	SRR6360786	SRR6360787	SRR6360793	SRR6360794	SRR6360795	SRR6360803	SRR6360807	SRR6360821	SRR6360823	SRR6360832	SRR6360834	SRR6360837	SRR6360838	SRR6360840	SRR6360850	SRR6360852	SRR6360853	SRR6360856	SRR6360862	SRR6360865	SRR6360869	SRR6360875	SRR6360877	SRR6360882	SRR6360884	SRR6360885	SRR6360887	SRR6360888	SRR6360889	SRR6360894	SRR6360902	SRR6360904	SRR6360910	SRR6360912	SRR6360914	SRR6360915	SRR6360918	SRR6360919	SRR6360923	SRR6360926	SRR6360931	SRR6360935	SRR6360937	SRR6360941	SRR6360943	SRR6360946	SRR6360947	SRR6360951	SRR6360954	SRR6360955	SRR6360963	SRR6360967	SRR6360971	SRR6360972	SRR6360974	SRR6360975	SRR6360976	SRR6360977	SRR6360978	SRR6360979	SRR6360981	SRR6360986	SRR6360990	SRR6360991	SRR6360992	SRR6360993	SRR6360995	SRR6361001	SRR6361003	SRR6361004	SRR6361012	SRR6361013	SRR6361016	SRR6361022	SRR6361023	SRR6361025	SRR6361027	SRR6361029	SRR6361031	SRR6361037	SRR6361040	SRR6361041	SRR6361044
ASV0001	6248	10765	6912	48	2	1228	5892	571	1176	23370	8407	18408	8001	9920	7945	1370	21356	30876	28106	25003	11719	7836	4914	7790	11092	9639	3752	8189	11109	18455	16668	20941	6405	6783	13284	9615	7211	5853	5272	5329	6590	7557	3441	9624	9057	4101	1450	6063	17817	1198	7249	5579	8192	8329	10118	20644	2147	3674	7715	2933	1883	6036	5733	10370	23549	9081	24493	14466	12992	879	3267	3242	64	2863	5894	5861	10937	2496	5412	7167	6768	3292	5514	6851	2330	8400	14951	23718	7532	6155	10299	10412	9283	12492	6956	1849	47244	4675	10772	3761	6249	3394	4624	3625	855	3601	4450	3407	4976	4994	4083	3321	787	30589	1648	8486	1587	1325	945	7920	429	3459	3834	3765	3175	6999	5013	6042	7616	11554	6409	4734	26321	19096	1919	25105	19028	5241	2870	21664	34895	1170	7525	4929	7988	3806	18366	1150	3328	27379	6889	7682	134	46	7499	5812	8667	5957	7415	6729	262	26688	1682	14344	1988	8622	13723	10289	42571	712	15581	14030	8749	16961	9441	5788	10045	6186	1293	6530	6188	26246	16990	496	11698	28047	10053	4077	7288	7626	5431	3375	5508	6397	5331	8176	7959	1531	6593	6589	6452	10674	8136	7228	4674	8289	8120	6892	2234	474	6862	6422	7030	6621	133	5894	16637	17066	6995	6736	8215	7381	7582	5751	8310	7104	6059	6761	5787	6506	25641	35415	606	4309	4263	18039	23103	1333	2969	1120	6645	695	9639	5484	6065	9466	2740	8743	8923	8569	4360	7189	8893	7828	5236	18888	11359	11906	26509	29528	30622	7050	5108	4404	8837	8818	5497	6031	3321	5788	12542	8811	600	1046	54386	141	1099	1026	49921	8755	4110	2915	5085	4982	8088	7467	7839	6463	10190	53	25779	1050	833	849	235	1038	299	1255	7671	4342	6225	7597	7686	15303	4703	5349	6451	3992	2508	2819	16371	19691	2516	87	4184	7479	8781	7037	9738	5385	2923	6803	7593	6651	6553	5023	9969	5255	3959	9017	1064	12	3147	355	0	612	19	1252	3334	5212	431	677	17732	7787	12556	11004	16598	15020	21044	20925	13538	8089	13259	23540	17437	473	6394	8894	15080	6500	8938	11048	8571	165	6579	14887	7521	9097	3995	7693	8085	11324	3818	8627	8705	527	3826	8532	7501	8903	274	22844	11038	17376	23700	20817	5272	5384	4353	9110	1899	7266	4757	4089	4441	22420	19883	52587	9495	1710	8248	26772	8989	57	811	6817	6343	7566	5681	3831	5838	11119	17102	5767	4214	5291	8256	8732	1491	5123	3817	4329	5761	4157	3991	9575	10205	3131	4325	5712	3176	20382	9053	7364	1057	5617	248	5486	15943	970	2776	2418	1815	5160	5711	555	2328	5140	4355	3397	9035	6504	6868	5700	3666	8232	7550	2399	4898	9191	3930	23759	2674	21933	16061	20610	2591	2819	11386	3155	85	5212	11853	8758	3397	2880	1130	5771	34	66	6395
ASV0002	0	0	17	0	0	0	429	0	0	0	5813	0	0	0	0	0	5	0	89	0	0	0	0	38010	37142	498	329	892	0	0	0	15	787	0	0	0	0	0	0	0	0	0	14	0	0	115	42	0	0	0	0	0	0	0	0	0	3	50	0	15	0	0	0	0	0	160	17	109	435	128	0	0	0	26	0	0	0	0	0	0	0	2062	65	0	2	0	29297	180	372	0	0	44	0	0	10	20	0	0	0	0	2315	0	19	16	3720	0	0	0	0	0	0	0	0	0	0	0	21702	940	0	0	0	9	543	284	0	0	0	0	0	100	1	0	614	3	60	3053	2666	0	0	183	546	96578	218	673	371	57	9	0	61	0	0	0	0	0	0	0	10	0	0	0	0	61	71	47	10	0	0	0	0	0	26	0	82	0	104	4	10	0	0	35498	101	3349	50	11	0	5	0	0	0	268	0	0	176	0	0	0	0	0	47	0	181	0	0	402	0	0	0	0	34	0	0	0	0	0	0	15	0	10	4	11	13	0	0	0	1	10	0	0	265	0	24	2	21	0	19	424	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	31442	33823	10099	5475	47	40	0	21	21	0	0	0	0	0	0	50	0	32	0	0	1162	1082	1349	653	0	100	0	0	0	0	0	0	0	149	22	1630	0	0	0	0	0	0	0	0	0	324	0	0	0	40	0	23	0	9	177	5295	10627	0	214	82338	542	0	101	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	343	0	0	32	7	0	8	0	76	0	79231	1125	2521	11	502	125	12	0	0	7	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	0	13	0	0	0	15	0	0	85	0	0	0	0	27	0	104	0	0	107	0	0	0	0	873	572	0	0	0	0	126	0	1	0	0	0	0	52	0	1089	2	1254	1598	0	0	0	0	0	0	0	153	0	0	126	0	0	0	290	39	118	0	83	190	0	0	307	771	26	0	0	0	0	0	0	0	56	0	2315	269	0	21	178	0	592	0	0	110645	58555	150537	446	77	0	0	0	2	0	0	0	0
ASV0003	1126	1304	1007	0	3	16	222	0	613	7597	2016	8792	3322	2017	1556	162	3150	4074	1490	1933	55	755	802	1545	2170	1545	613	2081	1321	3789	3826	3879	1332	2340	3670	2016	269	648	964	1847	1492	606	1063	1276	1547	489	188	33	2386	682	741	1219	1298	1621	885	4138	318	684	1806	307	155	506	873	984	7619	1307	541	2947	2082	0	158	0	0	379	968	947	1258	291	697	578	526	884	190	1212	412	1819	2136	4141	1507	717	1447	6585	5223	10282	0	55	403	9	2404	655	625	876	859	840	126	949	550	259	637	307	423	268	10	212	76	58	751	206	22	414	200	265	383	452	82	406	1182	921	1240	1921	1398	3349	3595	1312	238	21332	9635	285	594	3693	4048	166	1414	1002	759	259	4280	213	1045	25640	616	2189	28	12	200	988	932	1054	731	173	0	0	0	237	0	1351	1861	1024	0	0	2448	836	830	1072	1085	527	1762	293	252	1394	868	4613	3210	125	1504	3302	1826	853	2378	574	783	747	1832	219	1269	788	1100	465	1013	1440	1165	1138	845	1072	559	650	1768	794	315	212	1074	622	676	536	0	747	2285	2641	1350	1361	1322	1237	1393	1154	3047	342	754	512	664	744	7799	4135	180	137	341	2792	2793	141	77	0	1340	399	2067	1151	1371	1221	372	2036	717	954	451	695	1882	383	1007	280	1520	1578	4523	3719	4711	441	731	473	2113	1238	1209	486	139	1060	155	1361	79	608	9888	0	195	606	3214	2144	987	543	681	166	807	789	352	448	608	4	613	0	0	30	0	148	0	97	525	353	386	1549	1641	288	901	799	1453	629	526	288	11289	15364	616	36	718	604	14112	5556	7845	788	546	748	1866	863	1112	951	1446	592	300	1535	0	0	606	131	0	0	0	0	0	0	12	0	2654	3216	1636	1115	1418	1969	1800	3331	1046	146	676	5817	3621	44	586	1562	3580	475	982	649	1738	0	1563	1175	590	1275	280	818	1231	1452	269	1547	346	144	22	1673	1604	1551	61	3018	1801	3101	7182	3426	824	868	670	120	429	635	398	573	274	6454	4395	264	446	0	1663	2657	1842	0	54	899	2086	712	801	542	651	1732	4188	372	416	801	7846	4459	0	64	726	3705	1182	870	358	1108	2001	271	539	965	291	10587	780	927	108	266	0	69	258	301	388	0	341	433	554	234	445	677	468	671	843	808	1339	862	215	690	1937	543	1370	2291	630	4708	423	4394	3177	28967	294	466	1602	649	20	951	1780	7737	3980	1276	4616	1858	8	0	636
ASV0004	380	1771	14162	0	0	0	0	0	0	0	3	88	719	822	3	9027	0	0	22	434	1	17	18	1124	99	7	4	2	24	117	139	0	0	2401	86	17063	0	1219	11741	652	4242	415	1107	0	794	149	470	7	24	6319	1561	15	0	449	48	0	34	0	3771	24771	0	266	42	985	0	268	44	532	49	2394	0	0	0	0	62	28	0	227	1208	0	0	27	49	0	8	0	27116	111	458	297	185	70	592	9	0	0	0	0	0	0	5	2170	0	46	159	0	43	49	40	2415	132	0	16	4	0	45	854	921	0	0	0	51	88	104	0	0	53	0	540	164	176	168	1	0	0	500	72	57	489	0	1	10	34	0	23	0	69	0	0	323	0	5189	22301	22324	830	10014	3067	10171	26	0	483	0	0	180	0	0	2	30	0	1	58	238	81	0	105	13	0	27	14191	506	0	128	877	35	24	460	162	14	522	89	1871	14543	1200	71	3987	0	365	277	1772	355	271	118	1373	3958	93	2117	2	52	273	1272	52	0	19	181	0	532	172	145	0	146	30	0	14	1559	2470	114	0	0	0	331	7811	0	29	186	47	249	6	0	96	718	0	86	1	47	4790	0	3484	0	93	2	143	0	0	0	0	10197	18839	7719	1350	23	604	0	101	0	14	132	106	0	48	2	0	4461	0	0	29	0	0	1411	365	180	47	0	0	152	4	1385	0	3243	621	8	762	40	393	0	0	0	0	0	0	54	103	158	75	0	0	94	41	26	6	0	32	280	2006	0	43	36	2158	2711	2602	197	14107	0	1267	286	758	19310	0	2	0	140	0	0	11	0	0	0	0	0	100	128	11	0	0	2363	16	0	35	23	77	82	271	15	51	0	12	0	24	2219	278	298	0	180	1257	0	2751	137	50	111	22	360	27	0	1	0	160	201	158	68	4499	26	61	377	347	69	1390	46	91	0	17	2	13456	3299	123	0	73	0	398	53	391	56	75	1129	146	26	40	0	34	0	0	19	9	0	78	88	163	2	883	75	0	0	7	0	0	33	0	261	398	9	0	0	23	246	258	634	105	1011	0	295	437	461	325	0	12756	0	0	0	11013	97	153	0	0	0	201	0	8	0	608	2187	3919	239	7	240	16	0	166	99	629	653	0	1	13	0	0	295	0	0	0	2979	21671	6176	0
ASV0005	0	0	0	37	87	0	456	5294	0	0	50	600	113	275	79	0	0	0	146	418	13	0	0	0	23	217	74	0	269	0	0	0	207	345	536	0	25	0	0	0	0	0	229	0	0	10	626	1018	2080	723	389	0	0	0	262	0	0	0	0	163	0	346	0	0	139	610	205	0	0	0	0	618	0	0	0	0	0	0	11	0	0	0	0	292	3190	0	53	3	649	0	9565	3080	1395	2184	0	405	0	0	223	68	5	304	26	177	0	114	0	0	0	2	372	1218	0	22369	0	0	33	114	115	2	0	42	5	1	0	0	0	0	362	88	10507	1105	0	0	0	2025	23976	712	366	10	149	0	102	237	120	34	136	78	78	2756	314	14	0	0	9302	0	0	1	0	0	226	403	0	504	92	142	543	0	939	0	0	57	97	20	304	0	0	0	0	42	82	0	0	33	55	0	0	489	2001	434	0	0	157	5119	0	0	0	0	0	0	63	0	334	216	0	315	52	745	27	327	0	0	0	0	0	0	0	0	49	456	46	0	92	0	0	0	0	0	222	0	0	0	0	0	185	987	0	0	82	0	0	0	0	0	0	0	25	0	183	275	1800	0	0	541	9	0	0	1	0	121	568	32	142	693	1499	413	2066	71	0	561	0	238	5	0	219	267	0	0	0	35	173	0	0	791	0	782	438	0	264	18	62	297	0	0	0	25	0	0	0	0	0	0	65	12	81	44	4	8589	0	0	23101	2404	206	13	0	275	6097	9346	4063	0	0	328	0	24	0	0	0	12	41	1	0	0	778	105	753	4113	104	57	290	321	3702	0	0	11	6346	0	0	26	64	0	130	7103	17	1116	1376	0	125	0	0	1380	257	1525	2	0	0	0	133	47	14	0	199	0	0	100	666	265	0	0	0	31	0	0	0	0	0	0	192	11479	7520	105	0	0	174	5831	0	0	201	0	0	0	0	0	176	0	0	0	5	0	104	4095	203	171	2354	52	421	0	3163	2712	0	5377	536	5	440	16	0	1646	295	59	3	0	0	0	0	368	43	383	38	2402	0	0	0	494	0	2863	2773	167	0	174	73	0	16	0	0	0	35	313	117	152	101	95	83	0	19	0	0	1666	508	360	6	0	0	111	0	4574	0	136	0	0	0	0	93
ASV0006	0	0	0	0	0	288	224	0	593	6589	0	0	0	0	37	0	3	114	63	0	0	20825	18343	566	888	59	0	477	0	0	0	106	95	0	0	62	0	0	0	0	0	0	265	0	97	567	250	0	0	366	0	0	0	0	0	0	20	22	0	13	0	13	76	282	0	0	0	897	0	368	0	0	0	0	0	3	0	2667	504	0	0	0	0	336	4639	0	2619	6031	136	0	0	0	0	0	0	0	0	19	0	0	5	0	318	3381	4979	16	0	0	0	4379	0	398	151	12	109	0	11087	11835	40	0	0	0	2967	1697	0	0	0	0	0	0	0	0	0	297	0	4	0	0	10	891	0	1	30	206	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	84	0	0	0	31	5	35	13	0	0	0	21699	21538	0	0	6227	0	208	211	0	23	19	0	0	0	70	0	0	0	0	0	0	0	0	0	0	228	0	0	5	0	0	0	0	32	1216	0	0	0	0	0	63	105	194	16	60	0	0	0	0	0	0	0	0	0	0	0	5	19	209	14	0	0	0	0	29	0	0	0	0	30	11	1512	0	0	0	6	0	0	12	3007	35	2096	5539	2962	930	510	15	0	380	0	10	0	0	29	0	40	0	28	71	615	0	402	1824	386	644	132	0	1968	0	0	723	0	239	53	59	11148	0	0	0	0	100	0	30	0	0	2335	140	0	0	86	0	0	0	0	0	42	30	96	0	0	93	0	12	0	0	0	64	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	18	39	201	1582	0	0	56	0	0	7182	0	0	20	80	48	4	0	118	0	0	33	0	0	0	0	0	0	66	27	0	0	36	0	0	0	0	32	0	0	188	23	0	567	14	88	0	231	59	0	42	22	0	42	0	0	0	0	70	35	191	1582	720	0	5	0	0	0	0	0	1698	5364	5604	0	1834	0	0	0	0	0	0	107	28	22	0	267	0	0	27	178	56	19	0	2646	363	0	0	1074	0	179	0	2553	131	0	0	186	269	24	0	1833	2114	128	65	105	0	0	0	0	0	0	53	0	0	41	0	0	373	5	3	0	15	0	11	51	0	0	0	0	0	0	0	0	0
ASV0007	160	606	2658	77	0	0	0	0	0	0	19	0	88	14	40	668	106	112	416	293	17	25	0	55	122	88	21	54	114	383	4328	295	0	27	19	97	195	269	127	123	267	719	0	35	0	153	0	0	783	112	1987	186	32	49	1173	534	44	17	151	85	14	228	371	1471	49	75	44	14	0	0	17	1762	0	145	848	3711	347	32	0	282	732	0	473	120	0	0	73	0	317	1784	875	28	27	14	186	0	0	20	0	51	0	0	0	0	0	98	863	289	307	149	144	2889	713	0	1051	2854	233	139	227	57	109	67	21	110	24	109	0	67	95	11	181	667	286	164	68	11200	2235	0	16	99	376	7	0	0	0	0	927	29	146	0	717	140	0	0	2784	401	730	479	1092	530	0	0	27	84	14	53	0	21	0	3	29	332	118	18	205	21	0	4435	193	90	0	0	6146	0	5490	1442	20	38	56	500	106	69	157	5531	2300	0	2289	0	2333	841	295	536	1700	14	10	67	61	629	66	0	296	8	182	308	0	60	1099	1533	0	0	0	0	24	126	96	11	164	0	0	468	159	195	54	188	33	330	85	0	0	0	184	350	679	146	70	510	18	25	0	47	0	200	131	7	0	0	117	0	154	340	979	380	4343	0	211	22	252	33	0	118	101	0	0	0	0	0	0	0	0	0	42	148	0	1191	0	78	752	8161	4679	0	0	1328	687	0	45	0	0	0	0	0	17	41	63	0	25	0	43	120	13	260	1487	3854	0	11	86	27	176	53	0	118	42	798	96	513	2320	93	91	760	931	7	514	0	215	164	245	0	99	0	35	0	0	0	0	100	402	0	39	0	62	177	287	2578	35	249	86	3	0	104	436	279	60	1958	42	4	305	520	271	0	72	595	69	14	1115	204	416	0	0	13	77	7	0	0	8498	965	716	92	0	0	0	124	1698	361	78	0	14	563	397	266	274	79	68	0	98	0	15	11	15	0	30	0	0	144	328	707	891	372	52	36	51	15	79	0	74	6	6	6	0	0	0	81	274	0	0	220	152	98	55	3230	17083	0	1053	661	265	13	494	134	585	106	48	40	46	62	12	106	149	385	0	34	20	0	181	287	39	342	1201	2656	0	0	97	82	1	0	115	70	170	103	120	57	4	13	321
ASV0008	392	669	440	0	0	0	258	0	127	696	456	687	389	491	409	71	1405	1602	1124	1312	402	383	325	423	567	440	169	444	604	853	1015	1079	338	377	594	546	457	338	346	350	472	600	216	581	471	250	37	147	0	33	0	287	0	506	610	1128	127	211	484	169	158	607	435	529	711	433	878	812	623	47	0	124	0	94	377	325	597	132	270	449	500	198	306	375	135	657	669	1481	315	303	430	615	607	499	187	0	0	111	753	213	380	228	0	0	0	223	245	138	225	270	317	82	26	813	46	268	69	0	38	644	10	164	262	229	82	440	296	301	529	614	350	202	1503	1095	111	1061	1019	211	166	1586	1482	49	353	337	546	156	1423	0	0	725	489	473	0	0	414	349	373	337	393	513	0	751	0	492	61	540	705	738	1472	0	894	522	340	621	361	242	629	256	62	296	282	1525	1010	20	668	1591	656	228	478	425	270	184	379	367	371	535	513	68	299	386	633	633	497	383	308	447	492	221	136	0	558	398	459	384	0	294	964	906	606	441	414	381	485	319	493	368	339	491	316	416	763	1079	0	141	158	829	1744	0	0	31	493	34	549	317	371	564	149	701	593	615	250	602	645	309	294	663	549	778	1381	1161	1834	477	351	194	485	721	290	330	0	0	308	644	0	0	0	0	0	0	0	493	229	157	148	374	415	336	541	194	329	0	775	31	0	0	0	42	0	68	602	303	368	432	454	613	272	345	310	220	124	141	805	832	151	0	213	371	225	175	300	432	272	387	547	424	388	300	438	300	0	658	38	0	88	0	0	24	0	31	84	146	0	0	561	542	727	460	1172	632	930	1204	460	348	388	1174	815	0	311	564	961	297	586	449	483	0	398	651	551	469	119	496	0	631	185	573	0	0	0	571	419	438	0	1460	473	1219	1068	1155	281	343	336	305	63	396	329	260	344	662	584	1263	275	39	550	1297	446	0	0	529	395	444	359	249	287	552	870	319	299	335	422	487	43	208	113	239	380	287	125	447	623	0	273	296	100	612	655	478	48	432	0	168	492	0	96	73	126	430	394	0	104	236	236	202	446	314	491	331	251	499	437	163	311	441	180	1067	195	1279	835	781	136	145	575	153	0	361	838	260	0	0	39	324	0	0	427
ASV0009	0	0	0	0	0	20128	142	830	0	0	0	0	0	0	0	0	38	0	0	0	0	22	36	1877	2413	26813	20782	0	0	0	0	0	50	39	0	0	0	3	0	0	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	9	0	0	59	0	12650	10021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	75	0	0	0	0	0	0	5	0	0	0	0	0	0	15	0	20	0	0	0	0	0	0	0	0	0	616	848	0	0	0	0	113	176	0	0	0	112	24	0	0	0	0	130	0	0	0	0	3	453	130	0	183	1744	8336	539	55	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2424	387	737	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	150	0	0	0	0	0	0	5	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3270	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	19	8	0	4	10	0	0	7949	116	0	27	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	575	0	0	0	0	268	0	0	0	26	0	1	0	0	0	39	0	114	139	0	0	0	0	0	0	43	1321	0	0	0	349	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	9	161	3665	0	0	0	0	0	0	0	0	0	0	0	12007	17009	0	8810	0	0	0	0	22	0	0	0	0	0	0	0	0	212	0	839	1756	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2875	1175	0	0	0	0	0	0	0	119	5	0	8	0	0	0	0	0	0	49	0	0	0	118	0	0	12	0	0	0	0	0	50	0	0	17	0	0	0	0	0	0	0	5	125	0	0	85	86	0	491	984	0	0	0	0	0	11	32	0	0	0	0	0	270	39	0	0	241	14	0	4216	2555	0	0	0	0	0	0	0	0
ASV0010	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	79	52	0	74	25	17	47	0	25	0	0	0	125	0	0	30	0	0	20	0	0	0	0	0	0	0	0	23	19	0	0	219	0	45	0	51	0	0	24	0	0	0	0	0	0	7	0	0	0	110	94	0	0	0	0	0	62	58	492	0	0	0	0	0	0	0	0	0	142	37	0	0	11	10	0	14	0	0	0	0	0	3	0	0	0	0	0	0	17	0	46	0	0	0	0	0	0	119	62	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	27324	5804	1213	0	133	0	0	105	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	25	0	0	0	93	0	0	87	0	0	0	6	0	190	0	8	208	0	0	0	13	0	0	279	0	167	43	59	6	0	0	0	0	27	0	0	0	0	0	0	0	62	0	0	0	0	0	0	18	0	69	31	0	0	83	0	109	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	36	0	31	29	0	40	0	0	0	0	0	0	0	8	17	67	51	36	74	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	34	0	45	0	0	0	45718	39058	1473	2011	112	0	0	0	200	48	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	700	0	7	0	0	49	9	0	0	994	0	55	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	12	11	0	0	0	16	0	48	0	0	0	0	0	0	0	0	76	61	13	0	0	0	0	0	0	0	0	0	339	0	0	0	100	0	26	0	0	0	0	28	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	75	0	0	0	0	0	47	0	6	0	0	0	0	0	0	0	0	0	0	31	0	26670	0	22461	0	107	984	0	47	0	0	106	0	15	0	0	0	0	5	0	0	0
