ASV	SRR26973708	SRR26973709	SRR26973714	SRR26973715	SRR26973716	SRR26973722	SRR26973726	SRR26973727	SRR26973733	SRR26973741	SRR26973742	SRR26973749	SRR26973752	SRR26973753	SRR26973759	SRR26973763	SRR26973764	SRR26973770	SRR26973771	SRR26973772	SRR26973776	SRR26973780	SRR26973784	SRR26973788	SRR26973789	SRR26973790	SRR26973791	SRR26973694	SRR26973697	SRR26973699	SRR26973700	SRR26973704	SRR26973707	SRR26973710	SRR26973711	SRR26973712	SRR26973720	SRR26973721	SRR26973723	SRR26973725	SRR26973729	SRR26973730	SRR26973731	SRR26973734	SRR26973747	SRR26973751	SRR26973755	SRR26973756	SRR26973758	SRR26973761	SRR26973766	SRR26973774	SRR26973775	SRR26973782	SRR26973783	SRR26973785	SRR26973786	SRR26973695	SRR26973696	SRR26973698	SRR26973701	SRR26973702	SRR26973703	SRR26973705	SRR26973706	SRR26973713	SRR26973717	SRR26973718	SRR26973719	SRR26973724	SRR26973728	SRR26973732	SRR26973735	SRR26973736	SRR26973737	SRR26973738	SRR26973739	SRR26973740	SRR26973743	SRR26973744	SRR26973745	SRR26973746	SRR26973748	SRR26973750	SRR26973754	SRR26973757	SRR26973760	SRR26973762	SRR26973765	SRR26973767	SRR26973768	SRR26973769	SRR26973773	SRR26973777	SRR26973778	SRR26973779	SRR26973781	SRR26973787	SRR26973792	SRR26973793
ASV0001	21944	23114	20573	18303	19376	17012	31742	28122	30232	43	56322	34547	14247	30853	15722	30724	56555	41427	43217	70229	0	104309	47988	27820	54476	20865	0	36112	32605	49058	29016	12982	25103	23210	31840	21755	20939	29946	29190	25391	0	28663	27785	71141	98013	36316	39171	31703	28730	22701	56555	36229	43493	105117	74512	13116	32185	118965	38037	33524	26600	0	12751	16073	16953	0	19784	17730	19943	25179	30823	24463	59602	33643	33430	18	30	0	55751	158943	41	57	83	192403	22712	22910	0	33276	0	41796	43343	25975	58766	29925	42112	33685	85446	0	0	0
ASV0002	0	47	0	0	0	0	0	0	49	953	0	327	70	209	61	0	65	90	50	0	49092	85	42	78	90	17	4974	156	0	615	120	183	64	39	0	39	427	0	0	19	7671	44	44	93	0	37	0	88	0	119	0	117	0	0	15	158	0	123	187	2768	64	41800	0	42	43	26298	0	0	0	15	35	0	0	0	35	0	11813	45171	43	0	0	5458	4328	26	93	0	4128	48	29078	19	0	37	0	0	130	35	0	92618	8450	11202
ASV0003	2237	2542	2500	1508	2026	1869	3979	2297	3512	0	4037	2498	960	2788	1371	4522	8304	4702	5793	8745	0	6015	4200	2798	5319	2166	0	3383	2468	4484	2064	1456	2396	2698	3675	2286	1955	4220	3381	2309	0	3256	2650	6867	7110	2784	3545	2534	3042	1953	7255	3785	5028	10338	7094	1115	3266	11887	3353	3083	2268	0	1329	1757	2070	0	2185	1449	2163	2466	4000	2302	4875	2599	3539	0	0	0	4295	14989	0	0	0	13250	2015	2238	0	3076	0	5712	5337	3586	6667	2666	4177	2877	8653	0	0	0
ASV0004	194	237	85	101	94	103	194	55	99	27809	8880	116	184	454	57	190	614	157	192	419	1140	549	84	231	72	84	203	102	80	365	0	61	683	284	59	0	99	167	144	108	0	84	88	545	298	208	498	476	96	124	274	83	112	65	97	10280	90	981	240	128	209	916	52	107	69	782	137	0	132	86	114	127	208	322	201	23428	56956	0	266	46	35121	16997	37898	716	54	38	573	102	1294	247	366	78	270	106	224	132	204	1455	19476	8199
ASV0005	3482	2267	2885	0	1118	0	4051	2177	0	0	0	1724	1154	0	821	5314	0	0	6002	11309	0	0	1200	1603	0	2326	0	1343	1227	2190	2023	2134	3870	0	4369	1997	1993	0	3335	3292	0	3750	3583	7146	19	2225	0	6025	2020	2199	0	7460	5922	424	0	0	1594	7253	3351	3420	3714	0	1130	0	1784	0	2155	0	1088	0	1823	0	0	4323	5699	0	0	0	0	0	0	0	0	0	765	0	0	2042	0	6073	4461	0	11129	1169	0	3151	0	0	0	0
ASV0006	936	961	1110	937	677	1049	1543	1107	974	448	3918	1498	730	1242	759	1716	2858	1409	2575	2436	0	2916	1653	1188	1480	1159	0	2734	1460	4949	1364	565	1216	1089	1413	927	936	1051	1511	1184	0	1475	1881	2315	4659	1301	1995	2329	1617	1275	1813	1407	1408	2529	1562	743	1742	5597	2281	1770	1221	0	462	856	873	0	1001	765	955	978	900	969	2607	1099	1258	276	0	0	4083	3513	0	0	0	9301	808	1098	0	1304	0	1706	1976	1530	1335	1012	1323	880	2709	0	0	0
ASV0007	1191	1145	1290	1086	1103	782	1437	1160	1251	0	2902	1338	702	1381	946	923	1625	1321	1673	1724	0	3195	2442	1388	1953	836	0	1780	1643	2290	1767	735	1236	1167	1654	1267	1294	1115	1192	944	0	1328	1245	2287	3751	1547	2230	1407	1443	1069	1949	1000	1285	2754	2771	811	1738	4686	1619	1780	1395	0	749	850	1056	0	1130	1155	1166	987	1195	1184	1479	891	1056	0	0	0	2630	5225	0	0	0	6253	1206	1047	0	1604	0	1459	1635	1275	1653	1510	1814	1661	2674	0	0	0
ASV0008	27	0	0	7	48	0	0	0	0	6789	0	0	0	0	0	11	0	30	68	55	0	98	0	0	12	0	0	0	0	0	0	0	0	0	0	51	28	0	0	0	0	20	0	0	0	0	0	0	0	0	18	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25174	31196	0	0	0	24195	16852	24793	0	0	0	0	0	0	0	0	0	0	0	16	27	0	0	0	0
ASV0009	813	788	843	663	614	738	1262	1129	1272	0	1959	1298	587	1149	850	1197	1527	1410	1570	2214	0	3050	1694	1188	2193	867	0	1278	1484	1865	1495	501	959	808	1164	777	858	1086	1220	994	0	1172	1313	2517	3083	1321	1519	1398	1053	1115	1728	1241	1571	2775	2206	591	1305	3636	1290	1504	1046	0	566	618	643	0	762	673	839	1009	1082	1173	1613	1156	1335	0	0	0	1970	4258	0	0	0	5911	974	1183	0	1236	0	1313	1378	1085	2097	1265	1298	1197	2342	0	0	0
ASV0010	1106	1170	2152	1755	927	417	503	369	720	0	675	927	477	1345	630	685	1336	1431	4357	1914	0	1964	1628	1354	773	1427	0	1519	1475	2082	739	1028	2067	1649	1820	1608	1270	636	782	1411	0	1053	775	3842	772	1069	1297	2140	1134	873	1775	1137	1116	304	1462	587	835	3742	1259	2092	1906	0	809	1037	1153	0	1300	1671	1541	344	516	821	2345	3484	1775	0	358	0	829	284	0	0	390	1274	842	571	0	1931	0	973	1486	772	1573	717	2821	2355	2121	0	0	0
