sample_accession	sample_alias	sample_title	isolation_source	collection_date	host
SAMN08142179	ADMA3zFOHWINT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Forehead Winter	2014-01-10	Homo sapiens
SAMN08142180	ADMA3zLFWINT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Left Forearm Winter	2014-01-10	Homo sapiens
SAMN08142181	ADMA3zLPWINT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Left Palm Winter	2014-01-10	Homo sapiens
SAMN08142182	ADMA3zRFWINT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Right Forearm Winter	2014-01-10	Homo sapiens
SAMN08142183	ADMA3zRPWINT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Right Palm Winter	2014-01-10	Homo sapiens
SAMN08142539	ADMa3zFOHAUT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Forehead Autumn	2014-12-04	Homo sapiens
SAMN08142299	ADMa3zFOHSPR	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Forehead Spring	2014-04-11	Homo sapiens
SAMN08142419	ADMa3zFOHSUM	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Forehead Summer	2014-08-20	Homo sapiens
SAMN08142540	ADMa3zLFAUT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Left Forearm Autumn	2014-12-04	Homo sapiens
SAMN08142300	ADMa3zLFSPR	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Left Forearm Spring	2014-04-11	Homo sapiens
SAMN08142420	ADMa3zLFSUM	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Left Forearm Summer	2014-08-20	Homo sapiens
SAMN08142541	ADMa3zLPAUT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Left Palm Autumn	2014-12-04	Homo sapiens
SAMN08142301	ADMa3zLPSPR	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Left Palm Spring	2014-04-11	Homo sapiens
SAMN08142421	ADMa3zLPSUM	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Left Palm Summer	2014-08-20	Homo sapiens
SAMN08142542	ADMa3zRFAUT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Right Forearm Autumn	2014-12-04	Homo sapiens
SAMN08142302	ADMa3zRFSPR	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Right Forearm Spring	2014-04-11	Homo sapiens
SAMN08142422	ADMa3zRFSUM	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Right Forearm Summer	2014-08-20	Homo sapiens
SAMN08142543	ADMa3zRPAUT	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Right Palm Autumn	2014-12-04	Homo sapiens
SAMN08142303	ADMa3zRPSPR	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Right Palm Spring	2014-04-11	Homo sapiens
SAMN08142423	ADMa3zRPSUM	Metagenome or environmental sample from human skin metagenome	ADMA 3Z Right Palm Summer	2014-08-20	Homo sapiens
SAMN08142544	FH3zFOHAUT	Metagenome or environmental sample from human skin metagenome	FH 3Z Forehead Autumn	2014-12-17	Homo sapiens
SAMN08142304	FH3zFOHSPR	Metagenome or environmental sample from human skin metagenome	FH 3Z Forehead Spring	2014-05-12	Homo sapiens
SAMN08142424	FH3zFOHSUM	Metagenome or environmental sample from human skin metagenome	FH 3Z Forehead Summer	2014-08-19	Homo sapiens
SAMN08142184	FH3zFOHWINT	Metagenome or environmental sample from human skin metagenome	FH 3Z Forehead Winter	2014-01-28	Homo sapiens
SAMN08142545	FH3zLFAUT	Metagenome or environmental sample from human skin metagenome	FH 3Z Left Forearm Autumn	2014-12-17	Homo sapiens
SAMN08142305	FH3zLFSPR	Metagenome or environmental sample from human skin metagenome	FH 3Z Left Forearm Spring	2014-05-12	Homo sapiens
SAMN08142425	FH3zLFSUM	Metagenome or environmental sample from human skin metagenome	FH 3Z Left Forearm Summer	2014-08-19	Homo sapiens
SAMN08142185	FH3zLFWINT	Metagenome or environmental sample from human skin metagenome	FH 3Z Left Forearm Winter	2014-01-28	Homo sapiens
